Df	SumOfSqs	R2	F	Pr(>F)
Model	3	5.40650254086007	0.0575794539186422	6.15047254495687	1e-04
Residual	302	88.4898818968818	0.942420546081358	NA	NA
Total	305	93.8963844377419	1	NA	NA
