SampleID	Kingdom	Phylum	Class	Order	Family	Genus	Species
22A11_25_13_Y124	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Parabacteroides	Unassigned
22A11_25_13_Y56	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Paeniclostridium	Unassigned
22A11_25_13_Y97	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Ligilactobacillus	Unassigned
22A11_25_13_Y95	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Unassigned
22A11_25_13_Y55	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Pseudescherichia	Unassigned
22A11_25_13_Y135	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Unassigned
22A11_25_13_X48	Bacteria	Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	Facklamia	Unassigned
22A11_25_13_X47	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Pseudescherichia	Unassigned
22C_A9_621_C_X200	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Leucobacter	Unassigned
22C_A9_621_C_X142	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Unassigned
22A11_25_13_X6	Bacteria	Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	Facklamia	Unassigned
22C_A9_621_C_X379	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Brevibacteriaceae	Brevibacterium	Unassigned
22C_A9_621_C_X164	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Unassigned
22C_A9_621_C_Y204	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	Unassigned
22C_A9_621_C_X111	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Unassigned
22C_A9_621_C_Y319	Bacteria	Actinobacteria	Coriobacteriia	Eggerthellales	Eggerthellaceae	Paraeggerthella	Unassigned
22C_A9_621_C_X270	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Brevibacteriaceae	Brevibacterium	Unassigned
22C_A9_621_C_Y267	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	Unassigned
22C_A9_621_C_Y420	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Odoribacteraceae	Gabonibacter	Unassigned
22C_A9_621_C_Y167	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	Unassigned
22C_A9_621_C_X309	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Brevibacteriaceae	Brevibacterium	Unassigned
22C_A9_621_C_Y166	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	Unassigned
22C_A9_621_C_X224	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Unassigned
22C_A9_621_C_X172	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Leucobacter	Unassigned
22C_A9_621_C_X144	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Unassigned
22C_A9_621_C_X281	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Leucobacter	Unassigned
22C_A9_621_C_X180	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Unassigned
22C_A9_621_C_X132	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Unassigned
22C_A9_621_C_X239	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Unassigned
22C_A9_621_C_X122	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Unassigned
22C_A9_621_C_X288	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Leucobacter	Unassigned
22C_A9_621_C_X103	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Unassigned
22C_A9_621_C_Y311	Bacteria	Synergistetes	Synergistia	Synergistales	Synergistaceae	Cloacibacillus	Unassigned
22A11_25_13_Y12	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Pseudescherichia	Unassigned
22C_A9_621_C_Y107	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Unassigned
22C_A9_621_C_Y177	Bacteria	Firmicutes	Negativicutes	Acidaminococcales	Acidaminococcaceae	Acidaminococcus	Unassigned
22C_A9_621_C_Y292	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	Unassigned
22C_A9_621_C_X253	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Unassigned
22C_A9_621_C_X304	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Unassigned
22A11_25_13_Y67	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Paraclostridium	Unassigned
22C_A9_621_C_X286	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Leucobacter	Unassigned
22C_A9_621_C_X158	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Unassigned
22C_A9_621_C_X209	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Unassigned
22C_A9_621_C_X300	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Leucobacter	Unassigned
22C_A9_621_C_X271	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Leucobacter	Unassigned
22C_A9_621_C_X112	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Unassigned
22C_A9_621_C_X241	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Unassigned
22C_A9_621_C_X202	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Brevibacteriaceae	Brevibacterium	Unassigned
22C_A9_621_C_X292	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Unassigned
22C_A9_621_C_X280	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Unassigned
22C_A9_621_C_X360	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Brevibacteriaceae	Brevibacterium	Unassigned
