SampleID	Kingdom	Phylum	Class	Order	Family	Genus	Species
22C_A9_621_C_X349	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Brevibacteriaceae	Brevibacterium	Unassigned
22C_A9_621_C_Y121	Bacteria	Actinobacteria	Coriobacteriia	Eggerthellales	Eggerthellaceae	Paraeggerthella	Unassigned
22C_A9_621_C_Y269	Bacteria	Actinobacteria	Coriobacteriia	Eggerthellales	Eggerthellaceae	Paraeggerthella	Unassigned
22C_A9_621_C_Y02	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Parabacteroides	Unassigned
22C_A9_621_C_Y168	Bacteria	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	Dialister	Unassigned
22C_A9_621_C_X96	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Unassigned
22C_A9_621_C_X59	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Unassigned
22C_A9_621_C_X191	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Unassigned
22C_A9_621_C_X78	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Unassigned
22C_A9_621_C_X265	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Unassigned
22C_A9_621_C_X193	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Leucobacter	Unassigned
22C_A9_621_C_X342	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Brevibacteriaceae	Brevibacterium	Unassigned
22C_A9_621_C_X318	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Leucobacter	Unassigned
