#OTU ID	D06	G22	G29	G31	G43	H03	H05	I02	I04	I06	I14	M08	M20	P02	P14	P23	X02	Y07	Y09	Y19	Z10	B02	B08	B09	B13	B15	B19	B23	B25	A12	A20	A22	A24	C04	C14	E04	E06	E07	G27	G37	G39	K15	K27	M02	M14	P27	X04	Z06	Z07	OA11r1	OA13r1	OA7r2	OA9r1	OB03r2	OB05r2	OB18r1	OB24r1	OM15r2	OM17r2	OM21r1	OG24B2A
Sg_CE19A_36	160	315	747	2104	812	597	1816	710	1466	6849	2051	1391	711	410	972	879	287	12193	614	1552	2100	1008	3780	2133	2035	3055	1151	1219	1457	1902	1448	347	1075	1559	2213	2415	1424	2711	2085	1124	2059	2734	2403	2843	1620	3428	5279	2912	1234	1945	1933	1185	4651	3639	3244	1161	801	4288	2337	2257	1699
Sg_CG50A_22	246	925	690	845	239	317	1301	886	1121	787	51	1013	425	159	714	558	141	564	100	390	1577	283	2519	1234	479	342	648	442	77	670	1220	111	550	624	465	53	505	142	822	736	498	766	477	226	227	835	359	489	989	633	606	654	416	615	555	1266	64	406	535	1066	517
Sg_CG50A_49	2604	9135	1314	2291	586	15	228	8388	4	16	37	14	3054	72	194	137	4089	193	174	19	595	37336	111	161	65	2	3007	581	218	1426	4885	11	6752	203	74	68	466	485	761	2484	12743	29	26	7	65	126	4170	148	627	4750	582	98	112	641	31	3574	17	0	222	2438	15
Sg_CG50A_74	6163	4579	1605	88	3479	79	1155	1789	1896	1	1	39	12	22792	898	226	1380	132	4	397	3259	849	353	30064	803	876	3942	14097	4025	1363	379	34670	92	250	369	1919	863	224	990	694	789	239	4567	1522	395	242	32	698	746	46	2007	1081	423	1249	1048	24598	48278	496	61	188	205
Sg_CK05A_18	119	112	2374	18940	14925	386598	2301	1238	5266	1563	12494	4260	656	520	3518	1623	1474	17720	17279	1587	4009	845	16738	293	2201	16392	1689	355	16012	451	6578	13280	9574	1712	282	13791	14266	53127	8567	8594	6252	461	3682	625	9396	1837	23277	10609	3643	1325	2880	6146	4739	3407	2067	2122	279	290	3051	15435	6394
Sg_CK05A_21	128	217	3032	4582	182	1214	750	270	691	425	1	684	226	122	2980	673	63	94353	334	478	546	101	3120	197	1179	545	238	140	36	733	817	6	685	144	274	17	519	129	1142	197	164	364	784	853	35	2178	283	192	170	127	546	446	300	16027	431	234	5	1861	1036	1250	89
Sg_CK05A_46	359	3497	1801	869	174	245	5611	3248	7081	231	203	1712	867	225	634	3575	501	915	210	536	1181	378	5993	689	176	533	490	219	119	292	11954	26	2139	206	354	196	481	452	412	403	230	316	423	256	244	526	537	352	1114	268	978	687	393	395	144	777	8	593	324	907	217
Sg_CK05A_56	214	633	1733	272	194	74	1929	7354	398	1236	2612	406	583	77	2080	664	382	1380	262	341	190	594	1867	225	723	330	2007	736	7480	594	1470	321	1340	2784	118	1511	772	1386	2647	562	798	364	1044	342	398	177	10213	1106	578	620	220	294	709	892	444	1348	65	162	414	524	241
Sg_CK28A_36	19	12	272	514	142	1868	17	2	70	326	6818	1400	15	5	100	26	5	82	184	7559	61	25	107	49	238	253	71	55	3926	46	43	93	27	125	29	16981	156	997	111	58	59	95	239	46	632	36	724	962	69	23	52	79	118	93	108	136	12	188	622	25	1025
Sg_CK28A_47	4	5	18	15778	2956	5	5	2188	243	9	0	15	2201	0	1107	23214	34804	11	1004	4	1	4	662	43	75	37	0	0	2558	9	2	1	4	0	1	5602	3	40	275	15	1047	154	0	14	3	3	3199	0	12	3	633	1501	1	200	1	441	1	1	9	132	0
Sg_CK51A_47	3983	633	1930	6057	1290	1341	2573	2887	481	2682	3956	746	624	233	552	849	2030	765	246	7035	1219	3567	1308	993	726	545	1918	1936	1131	6729	2432	441	2044	1629	514	1422	2042	2854	2156	3587	1952	1191	929	2352	3120	1208	2334	2151	1408	7014	2257	1429	11385	1102	1105	1693	235	2255	2470	1487	4524
Sg_CK52A_43	57	1082	453	722	6	64	881	199	1842	177	1	160	275	169	90	1803	87	610	22	7	936	48	560	168	2	61	264	154	10	222	1245	0	888	106	73	0	171	27	483	1486	328	154	47	32	36	66	34	27	1231	116	1574	1535	37	88	11	2624	5	24	104	234	30
Sg_CK52A_74	90	53	825	230	44734	77	577	631	4410	337	430950	316	124	28	44	47	195	321	2031	586	151	227	6143	18	182	113	9806	66	2177	100	278	1041	763	2579	107	3141	868	9339	334	826	968	34	172	100	65987	224	706	1037	1018	177	118	125	929	84	436	449	12	81	241	357	3266
Sg_CM17_16	2190	778	2177	3746	539	0	3799	4638	3	10	2	2	3852	79	400	120	2296	249	23946	14	525	13209	78	212	2518	1	1389	664	227	1365	5252	0	10984	135	76	78	8721	538	1554	1763	10207	29	46	4	63	110	4150	224	344	5458	1214	113	13	714	62	1072	51	0	17	643	2
Sg_CM17_58	9	2486	983	86	20	147	3700	331	34162	35	6	48	16	17	29	250	32	87	5	53	102	16	67862	83	29	47	86	19	0	37	1440	43	53	64	2221	16	69	15	66	3547	35	82	34	70	37	64	50	36	15026	55	2566	246	31	63	91	817	2	31	75	426	58
Sg_CM17_7	556	6013	1520	382	129	543	9049	2233	13284	215	4	777	1034	617	897	3424	200	1200	81	81	1548	598	4756	1162	34	130	600	240	89	1558	1885	7	1111	796	347	7	775	398	1702	5794	325	339	254	227	308	372	357	435	3507	665	1447	2814	545	426	200	1978	18	349	323	1063	110
Sg_CM21_15	4	8	1054	706	243	18	402	96	89	994	16	78	116	8	17	260	19	65	2	362	44	14	545	6	68	46	1026	68	746	47	611	2577	529	3367	45	3745	53	3864	715	665	697	5	39	33	28577	181	526	2000	20	39	44	67	161	7224	33	20	6	70	162	258	660
Sg_CM21_57	143	36	1199	4869	1997	3959	665	691	495	1061	72020	1140	324	306	31	1988	482	1160	311	10846	606	242	5693	50	1601	1902	1286	232	21447	254	1394	1282	2442	10924	1433	4883	16242	39836	6809	1909	3330	33	1598	85	7232	1353	8901	11139	52	2064	448	109	13683	2212	832	342	13	496	1915	208	870
Sg_CM29A_16	493	14694	298	486	29	561	11198	579	16436	45	2	743	773	50	255	7261	98	3777	44	27	1028	111	591	527	30	41	286	34	21	85	4134	2	800	67	81	7	1844	42	82	140	80	326	883	62	19	137	97	307	5900	64	1084	3125	48	61	66	3060	3	98	154	1324	39
Sg_CM30A_3	533	436	4902	13215	2068	2128	2281	9885	427	58482	410	1062	2188	2269	3282	30425	3095	3913	2130	2579	3725	8853	2446	33853	3128	10493	128249	48451	656	4940	3581	951	32799	12160	4448	606	16682	1081	156316	5635	79648	12428	7949	6438	16737	45199	3045	7984	15872	6385	15987	32543	57969	41583	7689	17036	484	8289	11967	4534	33406
Sg_CM31A_43	3	3	18	10027	5	32	42	62	5	68	33	12	76	6	286	23	768	23	16	5	11	690	241	1108	1011	1283	379	35051	65	13526	125	617	135	2416	780	248	170	130	354	305	484	11275	553	1812	3429	1874	1247	524	52271	955	287	344	144	2012	214	1713	487	1248	3139	84	1661
Sg_CM31A_52	4377	405	1562	125	5670	412	654	1800	1708	2	0	112	57	7861	1318	368	1139	498	68	608	4322	250	701	3677	1842	1369	1124	2878	4491	487	258	5013	408	218	1532	2030	652	599	1600	363	528	254	447	269	1463	175	117	1240	1403	238	2253	1430	592	500	1466	1156	6566	1083	113	297	194
Sg_CM32A_26	997	1736	27585	1692	1162	347	5405	3380	11127	403	95	4060	1182	758	2364	5221	672	2745	605	1669	3931	967	4522	1789	669	1281	1286	973	254	1158	2881	128	2023	1751	1765	168	1053	246	1503	2049	516	2052	2209	1201	552	1005	1127	796	12222	1047	2576	2018	1087	1472	617	1433	232	819	1180	5154	579
Sg_CM32A_49	687	96	399	6051	2387	331	3384	1294	248	2242	1111	441	1566	95	2009	1040	448	665	144	3610	4069	3930	4694	1727	2337	1851	3559	3230	4770	2623	583	2072	1080	713	948	1956	1174	3564	1567	628	1030	4487	960	1670	1074	1521	854	1158	2070	1344	1595	1328	2552	6154	3027	4107	3400	2166	1864	3987	1968
Sg_CM33A_39	3	30	2356	745	3	139	3	103	10	9	5	3	1	61	3	32	30	4	3	0	2	1	467	11	0	0	6	18	3	4	4	0	2	1219	0	0	0	0	6	29	31	37	5	3	0	2	0	277	116	1	16	17	230	2	8	3	0	1	5	378	3
Sg_CM33A_60	244	1312	1758	1250	18	74	3756	859	1010	40	5	1842	169	177	564	3336	323	1910	1485	81	4006	149	6980	1879	28	32	3495	38	55	201	1076	32	587	49	220	20	381	36	143	326	197	625	223	34	19	264	46	48	1523	171	3939	1899	73	64	62	2325	2	105	574	1529	48
Sg_CM33A_9	1952	33536	2619	5790	1696	1117	56453	2837	14985	3264	183	10683	5644	2368	4188	4220	3401	3808	512	5206	5459	1564	2934	4551	1387	3838	2859	2186	2360	4163	10843	508	2133	4244	4118	835	3607	1304	5803	2830	2519	4164	5724	5436	2945	4002	4326	3440	3033	4206	5156	9552	4309	4236	2201	3750	1505	3862	5296	2508	2853
Sg_CM35A_15	82	1132	289	197	82	151	2382	1178	1555	73	4	522	306	75	182	888	70	771	94	67	536	222	1190	571	84	94	411	86	21	421	4225	6	501	188	138	3	267	33	180	231	97	197	346	86	6	214	264	147	772	419	1000	783	187	165	125	709	16	150	175	1149	61
Sg_D02_31	31	277	2562	573	111	1121	973	3090	226	190	4	302	129	153	45	3713	551	1195	14	1019	7941	548	1343	251	166	3055	4240	222	89	180	3607	23	1023	1641	587	9	4679	121	1777	2209	11700	670	2058	373	1163	3181	59162	1225	2059	643	2030	652	483	3712	175	3136	27	1255	452	772	5706
Sg_D02_32	18	14	31	370	149	166	223	48	61	1087	489	193	81	171	143	155	31	235	27	2697	97	367	195	224	1649	6830	856	870	62	729	180	832	124	1498	610	703	446	295	948	135	227	1090	1264	2237	1058	625	399	337	650	813	329	307	1907	1345	2010	928	172	4699	1089	440	5125
Sg_D02_44	144	63	3469	129	9319	146	358	48315	587	179	6	54	6747	38	246	146	20	519	19103	23	133	1973	396	385	528	126	36732	4535	5	102	1747	11	18733	74	57	9	169	40	4062	342	267	14483	9185	70	34	311	26639	30	199	1523	38832	4090	126	372	496	2038	13	181	22023	202	119
Sg_D02_9	68	28	66	1248	77	56	502	384	56	1717	36	64	681	447	7048	605	232	1744	204	84	481	3122	510	4730	2862	925	8090	4325	1475	7336	791	251	812	2221	7060	273	1044	77	2032	341	1478	6026	2445	13623	133	9326	105	626	4628	1479	3358	2461	505	15409	6095	4941	807	488	4697	8450	633
Sg_D03_75	38	312	100	503	62	175	962	390	809	315	34	318	293	135	206	262	41	205	26	492	1203	402	1038	326	540	421	559	344	54	797	702	59	232	992	398	20	347	202	671	348	387	635	506	883	253	412	508	415	480	715	573	470	799	718	524	705	81	848	520	1100	611
