#OTU ID	D06	G22	G29	G31	G43	H03	H05	I02	I04	I06	I14	M08	M20	P02	P14	P23	X02	Y07	Y09	Y19	Z10	B02	B08	B09	B13	B15	B19	B23	B25	A12	A20	A22	A24	C04	C14	E04	E06	E07	G27	G37	G39	K15	K27	M02	M14	P27	X04	Z06	Z07	OA11r1	OA13r1	OA7r2	OA9r1	OB03r2	OB05r2	OB18r1	OB24r1	OM15r2	OM17r2	OM21r1	OG24B2A
Sg_EM30_38	51361	4800	126479	22949	4874	362	3717	103382	629	1564	1180	1266	17410	1101	14900	9930	110454	1994	5030	1853	5011	281899	1261	3897	1655	3191	47213	3318	1078	7308	167496	602	38398	8889	932	670	2658	4861	3903	13794	23027	4676	2061	1992	1638	2741	179918	1769	13331	20509	2020	1846	13736	5222	1170	27691	921	5481	1533	4312	610
Sg_EM30_40	58	138	211	910	194	387	2903	26125	590	12044	106	618	324	150	419	13441	621	354	286	846	15811	331	28107	2124	1062	379	25493	292	80	1063	3189	235	740	3493	1939	180	34916	424	807	884	15327	1311	1783	985	416	820	882	685	679	1022	32490	10207	2647	673	31220	22616	584	1595	18450	845	918
Sg_EM34_4	339044	15182	181104	46222	718001	88980	59711	197833	183162	5355	694	9245	2682	10090	102274	20718	107788	38117	62172	85293	712308	26423	79630	103327	228144	206155	25243	261027	729674	49277	23886	103498	21043	8461	9058	178214	39824	38644	182257	24218	27552	29224	7515	16787	130208	6868	8865	159557	162677	8767	351596	191645	77457	61112	222210	10754	595139	118171	13442	9227	13702
Sg_G06_49	213	4351	53	12598	429	75	13246	23876	791	36	1	156	489	276	535	2289	17179	92	2938	82	1931	3168	103	22157	176	346	956	2875	605	75	522	116	6056	206	393	5900	124	6875	204	12922	10930	85	96	29	61	140	6380	127	11416	80	3818	45852	72	6605	142	844	223	170	75	9932	34
Sg_G06_9	8	27	16561	15	37596	828	12	7	4	10	2974	3939	423	3	16	5	9	8	17	740	6	45	17399	26	9916	3489	35	46	5	72	95	15036	15	1923	39	78	195	24	11750	22	12	79	103	1250	2747	90	421	4696	46	96	28	18	8345	52	1540	49	113	242	7610	45	135
Sg_G09_4	4275	1249	2857	1028	3074	293	5279	869	5091	7831	468	53308	6762	3999	5716	13893	841	77070	12727	2205	1725	89	14086	179	2005	1232	686	577	8669	1730	367	452	1749	11735	2012	891	4040	8149	724	30776	1034	712	1734	202	176	740	8420	620	1023	4375	12013	1039	1899	5496	1305	406	1050	205	411	5290	78
Sg_G10_35	97	46	6	3380	17	6	2549	351	14	84	354	17	136	49	2019	924	73	255	11	83	438	6323	4428	785	114	54	3443	1539	847	2364	449	18	2144	67	88	78	706	140	7121	203	184	4100	87	54	84	1639	106	173	1272	546	892	370	162	7442	42	4304	362	182	38	39211	38
Sg_G11_20	6071	103814	12	9691	3	27	34252	17768	1891	67	13	24	17	1	20	117929	22	12	9	7	15	693	1965	23	8	8	23	11	5	912	42	2	7	6	9628	9	21	1	15	11126	13	3126	122381	12	3	86929	9	1	31	3509	4620	16642	10	19	15	31	1	32	40	240	9
Sg_G18_1	1292	10289	19	82	27488	420	4896	8620	7890	7	4	0	5474	3014	15457	28620	678	19427	10070	5	3488	3632	5018	10342	322	461	1115	409	75	15	6462	49	8149	7	1179	32	2125	9	3526	4561	2837	37	62	1181	13	51539	9832	5	3592	15	2602	1658	517	355	52	45	6	8	8	220	11
Sg_G18_19	2276	1476	3781	4450	6219	644	4368	1870	3518	13439	11112	6515	874	827	1529	2665	2409	6697	630	2652	1757	826	4867	940	1159	1221	2032	762	7092	1590	2120	1075	2095	1986	1010	3182	3193	6284	2070	2415	1956	1044	1625	918	3480	2363	2694	4165	2607	1449	2224	1496	2922	1159	1264	1524	5160	923	1873	1896	1339
Sg_G19_41	21	49	71	613	41	2489	929	335	183	910	21	627	211	454	158	228	35	165	23	523	440	477	3791	38849	429	1248	6048	497	70	1020	2786	296	3314	13343	468	157	1444	171	462	589	765	1161	646	1347	454	1695	424	374	896	1478	917	393	912	897	893	1166	90	1154	3691	20859	2023
Sg_G21_58	1317	2385	1256	3817	113	68	1096	502	36	775	0	785	1181	395	62	580	1690	254	134	17	402	244	162	630	12	25	154	47	73	3042	102	0	283	472	300	1	562	397	1429	609	999	175	2048	756	331	1789	584	701	1117	3071	1067	2438	306	7863	412	688	14	43	1970	142	347
Sg_G22_16	9511	33051	2329	65	9428	105	747	3369	3437	1	1	47	6	12857	2486	691	5999	546	91	337	4890	190	643	12972	1335	2226	2595	4914	2889	324	760	5597	7620	44	8453	3766	1765	223	2408	395	1570	201	270	361	221	59	53	998	1442	693	2216	1336	247	391	1631	920	3394	657	46	849	220
Sg_G26_10	713	2341	123291	1440	7	5040	9341	14481	10748	691	0	94	1258	370	3035	8789	84	13205	32	28	6039	129	1547	38815	18	2283	358	341	734	70	248	0	725	33	1665	2	366	7	39	1612	499	313	4390	2	8	235	1533	6389	261	233	1017	1496	281	15919	7	1462	1	35	3118	2870	92
Sg_G26_22	9	114	98	350	465	138	744	84	237	680	4153	413	81	22	13	223	63	225	49	134	81	72	1091	14	153	363	277	24	2746	75	387	171	1104	386	87	1553	911	6632	20051	811	890	27	283	22	533	205	982	929	569	115	136	50	273	35	97	34	20	66	489	414	129
Sg_G26_28	81	388	948	4697	238	2655	1821	6620	1131	802	39	5893	522	271	2778	1915	1160	1512	204	1206	2892	758	1059	2628	700	1223	1624	1896	220	895	1645	225	1011	1024	1567	163	530	774	783	1950	750	1294	1781	1270	461	1107	2017	706	2519	898	3417	1495	1031	992	878	858	235	1679	1212	822	635
Sg_G29_33	721	770	17585	256	42	22	38	27	66	21	0	46	132	150	3063	321	120	2105	98	3	45	95	832	10	0	405	203	170	81	722	49	0	23	1332	2	118	98	204	116	17	36	523	207	107	14	304	37	20	124	86	303	36	341	735	516	454	113	13	255	1528	8
Sg_G33_7	387	8898	1401	1959	109	951	17480	1534	997	275	129	6353	420	430	1923	25754	274	2034	45	40	4841	318	792	1753	37	119	533	72	825	571	1019	32	471	148	392	109	474	286	621	673	294	1252	313	205	240	507	70	482	1023	1358	1679	1693	109	140	123	1507	22	78	514	778	107
Sg_G37_59	73	74	639	8545	38	10938	2582	375	48	262	1266	164	705	64	78	536	237	133	1401109	180	243	19118	421	269	2130	551	471	318	487	625	841	125	818	6711	12216	826	419	721	836	70056	743	485	303	524	1327	307	740	1408	21598	1308	721	304	427	627	359	742	51	549	459	1338	1858
Sg_G39_28	86	250	1640	111	2289	7442	26973	798	31523	18953	225	167495	471	26461	12592	141039	338	227377	7184	54958	4466	1081	9922	2023	2025	5872	214	3722	7041	10222	16574	22	31373	2828	10146	604	22650	50575	23876	9788	9119	461	27517	892	113	40659	28694	62819	552	16682	53096	5903	22	25	6748	88	16	1	24979	5886	43
Sg_G43_29	657	38462	600	362	183198	24	335	1208	92	1097	64	243	195	54	9654	126	929	388	150	222	39	1317	304	15	70	56	458	42	268	63	724	142	582	80	42	472	254	1775	292	276	465	20	37	5	466	41	498	1096	1715	112	107	40	126	71	38	101	4	12	197	205	9
Sg_G46_28	69	146	360	1157	940	378	1637	316	1143	1279	305	1028	226	166	293	640	1014	2268	171	1578	1808	461	1783	853	580	908	1212	3635	694	5884	2143	454	943	865	441	627	2018	3131	1143	1046	806	842	779	408	554	1393	1241	1267	13089	875	1257	830	646	542	768	1129	129	580	1082	1547	232
Sg_G46_34	2000	2077	946	13796	207	170	5151	4747	5273	1108	157	1165	890	487	2120	2400	1040	2076	366	989	1777	528	1949	15669	241	4140	1534	206	880	633	1254	296	1551	3525	1710	146	660	431	5409	790	1635	456	2309	353	270	595	2587	2138	1528	667	3472	1250	1182	335	231	1135	94	395	2305	1249	428
Sg_G46_4	9	20	155	23	53277	414	3628	4	541	316	4	153	6	5	180	24	3	40061	4	10	2	6	29	2	16	12862	3	1693	4	51	5	0	2	1958	8	1277	4	3	2	0	6	39	134	152	5	9	4	1	18	8	6	15	93	3175	52	10	3	40	82	11680	8
Sg_G47_17	5	1	451	243	942	147	52	96	18	187	19302	47	5166	16	94	108	498	269	103	437	119	103	3775	128	754	145	305	235	650	317	60	1908	1066	255	140	8173	164	540	1015	128	258	557	198	178	1735	5565	3059	125	160	237	1771	4243	844	1175	318	267	176	365	270	1558	242
Sg_H04_45	3877	14844	4025	6784	552	520	18223	7526	382	3753	0	4651	77582	1336	525	9657	84805	3233	127	380	52939	1740	6749	74376	77	164	8170	414	498	7766	1929	7	1174	1209	2139	5	14865	1454	7222	2871	7210	959	2818	3389	1518	11433	2497	3465	7088	14749	52407	36554	1749	4722	706	35630	169	113	6114	533	1723
Sg_I01_33	3	11	11	9	147	4	359	76	9394	1761	57	3	38	1	1	758	4	3811	3	6	0	1819	162	139	0	1	99	134	22	4	964	7	793	10	5359	45	16134	10226	2120	3274	5063	62	2067	1	39	6	13	30	132	4	100	183	15	3	0	155	0	1	5	3049	6
Sg_I05_27	3209	36682	2884	1146	2423	519	27025	3224	74566	636	268	2663	1361	2110	1158	21049	768	2667	233	1408	11638	446	22310	1897	830	786	1521	573	1773	5726	3981	264	2241	483	329	459	1647	760	7481	1371	302	591	471	384	263	607	1008	806	13584	1810	1965	2802	348	579	840	5326	1218	365	499	3301	147
Sg_I05_65	96	23	54	51	16	39	107	1136	12100	162	2	48	45	14	404	671	18	24	100	11	955	31	1317	2133	955	22	2047	35	0	9526	6981	13	205	416	159	15	1677	12	94	28513	935	153	96	64	41	13282	385	42	183	7296	1826	538	799	161	706	1631	3	482	321	169	49
Sg_I06_25	21	44	92	825	153	119	420	90	133	29466	191	67	1085	160	255	66	80	106	13	24673	173	1582	222	253	2749	1778	888	1074	326	2554	930	221	271	478	706	903	583	194	2448	2109	1229	466	7521	4374	261	1241	293	725	352	3700	1617	1723	5202	1440	1039	356	998	2784	2514	2248	336
Sg_I07_11	53331	2621	29576	1803	112219	3567	7713	32262	28311	32	26	1106	138	1940	16609	1233	17538	4851	98	10223	107181	3473	10327	13957	32157	31108	3794	35284	96289	6352	3306	15008	2960	828	1537	25758	5566	5250	25320	3141	3908	3882	418	1802	5097	667	1178	23504	22117	854	24117	27389	7800	8696	32320	1122	81121	10147	1101	1084	1689
Sg_I09_29	38179	41257	209490	4259	6439	594	18952	8716	266	22055	1	991	80863	4841	2558	37292	67348	2154	1538	264	2670	3009	1639	1232	1655	3229	3169	10000	892	7540	2475	32	916	2898	1634	11	4383	27648	35250	35647	9468	485	8862	8266	22374	21081	6834	54554	8464	4493	33368	11284	5657	1564	1711	8280	87	983	10838	631	343
Sg_I12_32	732	741	1123	1411	2790	428	1472	885	2859	1442	326	2637	856	390	1707	1005	709	1745	139	6204	2103	539	1078	796	1957	1533	1164	642	648	1140	1027	1708	649	1337	1146	2431	966	919	1623	809	723	1451	1806	2015	899	1207	1193	2471	1057	805	1077	1151	2045	2535	1512	1259	353	2034	1997	1914	2078
Sg_I12_44	562	1258	75238	807	1361	3926	1239	1801	3123	7826	56	1233	15299	135	161	11952	781	17852	4816	179	1313	562	942	380	49	127	501	45	4863	117	633	44	3138	9694	1133	218	2121	1316	322	1319	147	61	518	33	110	902	1435	272	250	294	2466	1380	2654	170	211	88	33	11	6299	829	41
Sg_I12_6	4051	159	170	979	377	6	352	242	296	542	1	128	702	647	7678	2685	443	7989	371	53	252	681	486	233	95	1162	1019	923	256	1675	72	322	45	1387	277	341	379	9	483	53	143	2847	284	1062	9	943	160	68	290	194	992	302	216	4618	1333	1225	474	82	1299	2825	1
Sg_I13_16	5	171	1816	7	37	34	36	7	2512	5	0	5	5	3	10	196	7	6	96	8	9	6	5571	19	8	2	8	1	0	6	5	2	89	4	3	1	5	0	3	193	3	26	18	8	0	4	207	5	4	6	4	9	2	4	15	8	1	2	1	259	10
Sg_K01_3	593	409	2168	352	162	700	586	210	85	284	14	230	618	686	546	8093	36	200	52	85	269	173	2713	1592	235	669	5804	434	44	233	7777	15	431	295	2422	25	531	99	609	46479	379	2573	588	517	1919	611	49430	12558	435	1204	1751	7511	2854	802	2897	5374	209	394	341	614	3299
Sg_K01_5	1909	216	339	542	126	27	114	76	123	509	1	58	630	1055	5791	1108	283	6688	239	118	83	284	456	42	16	644	475	383	187	1480	45	10	65	1387	14	225	152	43	265	27	43	1651	400	488	35	634	87	38	324	178	649	124	498	1734	871	908	288	48	826	1639	32
Sg_K09_1	22	59	50	431	16147	122	184	78	66	405	329	199	116	62	379	200	13	154	1515	925	424	655	300	301	1048	728	877	2777	38	761	376	303	252	657	880	117	501	207	3223	274	194	1712	1521	1557	453	536	365	430	513	1187	456	269	1281	1120	1835	1196	230	1843	1252	12026	533
Sg_K09_61	4415	811	1190	289	3519	476	579	2611	2118	1	2	31	18	10749	911	198	2300	407	72	454	1548	167	237	10309	1166	1446	2780	11336	9141	190	366	3205	128	40	4206	8282	895	103	1336	600	1431	103	467	301	612	59	23	407	1683	534	3849	680	380	1563	1795	1484	16514	812	37	784	168
Sg_K10_28	7519	13984	6869	4929	1339	4	180	11880	12	1	3	0	6999	219	930	585	61497	600	124	5	2700	30690	412	2950	190	0	9772	2139	280	1718	16604	1	20288	533	172	27	516	88	1406	7816	13327	164	66	0	29	350	12331	59	930	7048	237	107	1	3749	127	7712	118	1	22	1072	3
Sg_K14_18	499	15	12	4882	15	73	5369	776	67	79	5	90	159	18	7960	1664	264	865	5	149	1974	25233	7394	1278	347	45	12156	2804	2160	10759	1727	66	8646	62	222	14	1423	32	1691	475	255	125020	130	260	80	4220	44	36	4721	2310	3185	2941	98	39888	133	18255	881	235	225	14269	139
Sg_K15_44	184	131	236	1870	187	375	982	289	186	5079	72	2729	2639	272	1113	481	72	1384	43	5523	1257	13677	2782	1477	22715	5977	6295	17432	534	11059	523	743	1154	15532	15665	658	3979	305	1842	910	2307	28757	52844	29713	831	7626	3050	1178	4538	8632	2775	2811	26635	20681	24472	9781	4997	14799	19941	7869	2473
Sg_K16_17	164	2371	7	22040	0	70	5641	11	110	2	2	3	3	9	10	3	130	7	10	0	1	56	82	105	20431	22048	158	0	0	3174	456	0	19	130	17	0	34	587	18098	282	184	42	11	4	5	2762	570	1	174	11367	87	655	5	8764	7	34	0	932	18751	162	154
Sg_K16_50	1	8	15	4	41	579	7	231	8	2	4	54	10	0	540	101	98	7	7	3	1	85	1738	2331	21	1283	798	31	38	25586	187	2174	2801	74	83	2694	1642	14	12708	40	10909	1923	225	24282	24	73	13723	3461	32038	39	13605	982	179	35	163	11315	165	86	1987	132	555
Sg_K16_53	8734	15630	514	80941	183	980	43746	32166	14650	19628	2	1193	19726	18966	3984	67477	15189	1669	8975	166	46109	6532	3065	13195	130	929	3105	9242	2111	20521	2680	10	496	4044	33682	148	7570	297	1617	1549	1436	1613	1690	674	243	4042	13694	2193	8443	3182	14613	4615	575	5624	2107	3306	867	3200	10285	1304	760
Sg_K17_22	368	1365	905	413	546	12415	1593	851	1294	1597	1186	886	422	389	425	1673	124	862	114	385	491	465	458	843	51	141	199	34	80	151	203	95	733	289	109	223	1175	483	189	478	361	188	185	16	418	1579	190	328	269	151	137	222	154	58	75	227	12	506	100	1332	33
Sg_K22_12	47	0	0	2914	2	16	7	139	0	13	0	1	17	0	93	2	6181	4	10	22	0	95	9	5	2454	2589	628	73	316	1529	155	2206	1973	26510	8	124	1222	226	41	15	93	5	48	2	481	12	430	31	8602	305	1	4	78	34	7	14192	107	9	291	38	14
Sg_K22_14	81	195	5339	1117	57	2961	1434	877	242	415	75	473	274	340	432	1403	332	845	135	3814	29293	1917	513	1415	739	16694	2605	1374	59	897	27050	1106	2989	4859	4213	1002	5018	575	16327	16356	11046	1392	1861	967	10765	2993	11499	2670	16833	3530	3145	1668	2919	2418	1628	2800	73	895	1768	1026	55074
Sg_K22_66	157	623	383	697	120	135	823	489	776	615	29	957	427	258	763	1294	429	1818	133	416	963	985	845	1121	2724	1490	2291	1690	96	725	1025	185	521	1305	4417	71	694	769	1801	619	647	852	1514	1412	533	4078	431	802	857	631	1712	810	810	1269	766	1411	58	707	3854	742	1112
Sg_K22_8	12	17	49	349	319	202	480	202	13	3617	383	232	160	48	63	1128	19	105	38	286	290	484	406	190	378	1301	965	392	435	926	262	314	369	488	902	286	229	497	229	267	288	757	1275	1555	771	1042	787	183	392	1106	440	354	1073	855	1231	417	314	26120	1561	557	2029
Sg_K31_45	32	41	6	76	1	31	46	32	21	647	3	28	11	6	27	8	7	88	3	436	27	178	9	15	4	25	4886	19	27	397	12	2	22	13430	7	2	10	7	8	98	16	5027	31	160	156	19	6	2885	33	11	16	7	190	79	25	2070	27	13	329	344	3
Sg_K32_30	601	36	203	1146	348	41	22	508	86	1	8	13	4	108	32	23	138	11	1	39	153	4	50	320	175	44	135	36	270	32	85	470	5	1	142	136	71	6	127	35	44	8	32	18	0	5	3	39	13	15	1105	92	6	20	40	62	389	14	4	14	7
Sg_K34_1	82	261	131	298	251	82	628	434	38357	171	10	982	221	178	259	575	46	211	120	820	603	133	50887	524	268	334	318	186	33	311	14651	50	461	277	520	59	246	36	530	219	195	336	478	430	233	275	282	214	342	298	366	464	440	395	166	709	30	267	482	717	213
Sg_K36_16	430	104	159	8363	406	1371	503	161	81	25083	21	2054	13299	1113	1412	641	114	3753	73	28387	764	76345	8787	4972	111142	20595	19835	98018	1963	40810	740	1019	1692	60122	85875	2680	17341	552	3104	1644	9776	39542	290646	167331	1896	31773	10914	4237	5525	41428	4327	6276	144384	110500	132022	28037	28891	160889	101674	37853	4547
Sg_K36_17	33629	8522	11965	8	5977	98	1914	5714	12363	11	3	15	13	72301	7492	58	23201	228	391	304	5024	197	997	54133	933	5747	10001	4107	14198	242	1358	21370	1530	165	39739	11551	7735	117	8060	2032	41301	239	24741	552	527	1320	30	712	2779	5439	6605	1119	193	449	2197	11605	11973	1541	18	8551	1251
Sg_K36_27	105	127	51	1121	3203	225	710	465	997	1305	107	6811	926	291	5339	691	82	5264	422	3440	647	1865	2668	486	2428	30033	10873	9638	199	7035	580	726	5352	31509	10122	489	2039	181	461	1022	1071	40496	5344	4845	569	3608	1272	282	21314	3783	2201	1869	2369	13270	13311	16506	666	2554	9523	3547	1064
Sg_K36_29	111	151	226	4109	642	300	451	368	788	4284	50	1523	4718	718	915	1025	96	1951	725	6421	2230	5471	1462	2948	6179	20697	3496	4822	433	16838	1447	286	1452	33900	19592	109	4863	865	6530	3637	6908	39688	22104	19267	1640	17725	7026	2376	4232	14314	7732	2661	30375	28945	16326	8155	668	30972	21145	15272	9293
Sg_K36_3	29	19	93	2202	96	63	1880	742	2090	3167	1291	234	44	14	8	166	17	1653	35	102	118	142	9652	15	112	436	129	65	531	60	428	184	386	309	46	1682	676	8591	676	7066	225	6	466	32	133	85	6961	1251	495	120	170	157	1067	42	36	27	5	140	1387	730	16
Sg_K36_6	59	224	202	980	855	1330	1145	220	2741	3656	1620	1028	611	198	750	496	99	1878	254	47484	1301	923	1054	948	45275	7095	1236	1240	1923	1303	784	16011	659	2078	1111	1321	800	887	1384	510	764	2731	1975	2018	1768	1400	1770	2124	1350	1486	846	663	10225	2378	2218	1641	885	9647	2239	1886	1566
Sg_K36_8	64	8231	31	59	10	217	748	40	48	828	0	11132	17297	596	130	2369	42	326	0	50	8354	76	1360	6	4640	10155	7152	337	6	1605	60	3	124	1191	42	0	2751	1	467	953	2066	5492	3813	84	6	3613	6511	23	392	68	1247	2917	13	428	26	206	1	130	19	423	7
Sg_K40_29	35	51	170	458	25	83	1046	1653	87	211	0	66	351	157	87	1316	67	86	117	41	7130	248	2172	1149	199	4228	543	932	27	350	20021	10	393	756	228	17	3100	77	2783	7805	24244	563	4059	329	1005	1034	658	499	3572	830	783	1261	1082	494	264	447	48	431	2820	358	1310
Sg_K40_38	69	43	113	126	102	38	289	451	162	59	20	108	38	82	24	258	15	34	135	3	86	31	262	278	4	77	47	24	10	48	1693	4	841	135	55	6	43	6	60	75	34	170	90	64	50	117	152	44	109	79	91	165	57	92	12	56	9	17	121	59	172
Sg_K40_4	49	1560	3413	182	111	65	4402	5691	29497	26	29	192	32	439	1509	861	29	330	109	33	9743	3294	15016	438	20	128	1824	32	31	663	1138	5	5303	107	90	3	316	61	270	267	44	175	1902	12	9	490	97	238	1668	677	4440	410	50	260	24	2400	1	56	102	7395	89
Sg_K40_76	14	15	69	1831	16	71	452	180	12	236	18	222	66	56	161	184	58	345	22	153	1142	956	152	7142	343	960	1180	399	56	452	11636	103	2146	731	295	36	1914	134	1328	382	267	718	417	1089	478	534	310	416	11868	4377	761	953	915	946	450	413	180	910	675	350	766
Sg_K46_34	4269	48069	3976	6767	345	394	57767	26911	152	24078	0	2111	13512	1449	790	29787	155468	22596	273	16	7483	8901	2185	3888	22	79	761	109	1763	12823	383	4	3512	500	1464	1	11071	546	4548	6264	15367	3572	1039	1045	611	29574	1012	2260	21302	66642	61209	48077	1179	11566	458	4683	1505	30	18576	282	635
Sg_M01_13	40	4938	129	194	20	35	1265	20911	20364	23	0	214	32	32	139	1481	42	907	17	9	21624	393	1367	343	50	120	124	21	15	1336	14961	2	178	54	235	1	169	5	117	3674	36	108	5048	104	31	262	36	35	215	571	6530	2815	57	140	108	183	0	51	85	1100	64
Sg_M01_30	4065	8684	516	619	72	146	13072	5154	3799	191	10	934	385	261	516	1237	365	728	62	235	995	253	3652	1028	82	200	322	82	80	396	1711	18	3542	279	237	17	555	165	510	767	228	302	348	193	186	694	422	315	4527	420	1603	5668	206	511	116	653	16	203	334	1777	379
Sg_M02_37	3465	109	53	1018	306	7	229	131	251	278	0	16	851	457	9158	2664	486	9054	414	49	116	501	552	50	7	1316	1063	910	266	1759	55	2	78	1713	10	441	217	7	428	48	79	2770	294	33154	23	1548	142	42	357	226	922	182	372	3918	1373	1461	335	50	1062	2947	4
Sg_M02_5	6	13	16	185	28	30	103	295	13	147	107	38	459	334	52	219	174	373	3	496	266	180	1212	166	306	1458	8172	260	31	423	83	37	76	348	1513	21	1012	45	176	709	454	485	401	102367	120	1810	99	158	3394	300	582	2834	6880	327	655	450	160	401	979	298	111
Sg_M02_8	255	292	51	1127	16	6	306	196	129	293	3	81	771	356	291	170	71	1306	6	87	273	588	298	903	469	385	280	69	69	3899	166	35	269	2982	3096	17	713	59	118	565	941	795	338	10940	63	4873	844	94	759	2727	752	513	3706	2696	378	2023	33	246	1611	229	104
Sg_M03_37	22	131	37	152	48	82	483	112	54	59	2	34	39	10	41	75	142	459	4	72	193	373	228	226	179	110	1036	1018	55	325	247	119	176	87	81	16	145	26	2263	117	459	451	110	142	169	262	320	165	775	261	265	8294	179	116	378	1365	64	119	255	271	312
Sg_M03_38	13168	81	97	77	111	17	3	13002	1	2	22	2	77	11	27	7	7767	1	3	0	9	227	16	10	7	1	28102	15	2635	33	205	5	276	31	3	6	30	37	27	63	326	4	3	7	10	7	111	10	150	93	14	5	14	45	5	3234	108	2	135	27	3
Sg_M07_23	21	185	1181	252	22	432	3513	833	135	210	4	8589	45	50	92	951	1800	417	29	69	3520	352	396	215	162	1871	1518	142	27	114	2342	24	524	704	475	26	1491	119	1571	1518	2965	465	766	197	876	908	13953	497	1294	502	711	347	560	1172	139	1163	24	533	288	458	4596
Sg_M07_27	16	102	52	88	29	148	141	120	456	19	7	197	42	8	22	79	16	23	26	0	54	25	109	148	49	40	56	16	2	36	379	0	64	27	44	1	44	9	35	37	30	32	68	7	8	53	67	39	132	62	100	55	145	22	14	56	0	39	85	181	23
Sg_M07_39	160	13	294	55	1860	1276	1312	40	8884	1060	23	205	680	445	2402	3164	40	7258	1443	32	1619	5	68	18	773	435	191	2	122	208	27	3	95	122	733	12	671	432	34	540	1386	51	1314	4	5	36	385	77	9	121	1385	143	4	37	927	114	1	1	3907	418	1
Sg_M07_4	504	568	34	65	168	10	600	6948	5389	270	321	76	32	19	115	959	11	2305	15	164	5	2214	2941	9	9	16	2972	114	141	4793	63	35	125	32	34	114	5184	210	51	961	56	897	87	5	438	81	49	291	4	1318	3430	361	28	6	15	1815	0	1	45	14010	23
Sg_M08_36	170	10474	263	8332	33	292	4407	5908	18426	63843	7	111986	27475	414	3671	32112	1832	16793	2185	437	20868	1302	730	4920	231	253	4058	198	737	6488	606	40	3597	6329	867	213	2617	41	573	777	2613	2645	9024	429	106	23897	7154	856	3000	2595	6671	4429	1874	5104	301	3875	332	1577	791	1857	746
Sg_M11_5	7855	7815	4207	6741	17222	666	851	4603	4389	0	4	113	18	2581	2210	508	2763	1137	49	2739	15998	1286	2253	3832	4931	5687	758	6109	16172	1473	626	3096	460	179	246	4110	1539	1253	4598	528	565	684	110	450	498	146	186	3433	5776	144	4479	4367	930	1442	5060	287	13393	1556	153	8744	329
Sg_M11_7	8	219	508	91	41	2648	873	47	5148	151	3	97	64	23	42	197	13	116	4	95	199	42	784	129	99	125	57	39	8	74	92	10	47	63	194	22	60	26	177	53	40	111	152	112	67	173	138	85	89	96	62	91	95	68	98	109	7	101	141	202	37
Sg_M12_17	435	3274	14135	61980	34	52	2948	408	206	13916	30	123	3012	552	2596	1471	23	2685	19	1541	199	697	2222	246	422	331	504	564	30	4677	17395	172	14660	9924	7263	61	46832	296	7511	1077	38282	2209	56535	17305	17938	21623	23105	80823	16197	8116	7535	878	1382	11647	980	4236	110	1134	922	29786	2199
Sg_M12_21	566	480	7326	46705	7195	2671	27513	1267	9143	43539	317350	5573	4014	1712	789	10922	1471	17188	2312	18301	2043	6638	108074	950	5729	7430	17277	8619	179978	4201	31311	101065	62985	10777	8731	232072	21377	352562	52498	77410	96979	673	4450	5029	330260	11731	54050	363811	2783	4461	7575	9316	22312	5362	2415	2604	1046	1285	22134	25580	31205
Sg_M12_39	994	1244	8418	9291	17979	1201	27734	805	24855	48015	95463	66467	1475	3176	400	4787	1112	23081	2780	3642	5577	652	143352	853	18331	77344	3789	1226	19532	4665	14206	7791	47958	47193	6099	8535	52970	210212	11396	91998	25650	1348	9031	1592	30521	18205	66918	59150	4124	7673	1070	980	17398	882	2375	846	5	6313	18117	11379	3238
Sg_M12_6	435	80	125	3009	1608	134	815	757	209	17036	141	1991	1583	820	2674	2348	237	5975	144	1058	675	21404	5219	2397	159078	34144	29810	35867	3930	90627	862	488	4643	3525	8674	429	7680	389	3859	2336	2751	77905	5223	69821	507	17189	15955	1975	25266	16721	20004	34519	36010	23218	73997	77057	7504	37230	58864	16376	1179
Sg_M14_27	9479	2796	10076	3890	1256	771	2803	3139	1774	4831	4	23349	47301	11513	66220	5903	14224	9380	2768	273	1624	2170	437	9843	98	984	2481	4633	2487	9284	1219	20	2269	7650	807	63	1494	1369	5283	1549	3613	2101	1229	2606	12513	15648	3250	8592	1869	5578	4829	18587	12768	10469	3032	3831	693	7271	6953	4055	934
Sg_M14_34	20	1	27074	21	4	1	8	4	3	0	2	5	24	0	2	2	1	2	1	0	1	1016	2	1	19	1	24	2	15	3	2122	1	27	138	1	65	1	2	559	488	27	9	9	3	221181	9	21	12	98	1	2	5	1	41	0	17	0	2	4	47	5
Sg_M15_10	885	11055	1124	3164	98	620	14237	2608	3126	48	4	10462	1084	844	146	13336	1775	2714	27	1172	16277	762	536	1227	51	370	744	63	1025	401	9635	8	1373	102	2193	3	3615	215	699	2359	630	1630	1395	128	53	841	131	170	5655	833	6299	2109	845	1977	1889	3825	7	71	361	958	107
Sg_M15_17	202	135	168	1057	400	2396	829	14614	853	227	19	6519	306	3448	115	1101	57	379	278	276	1892	1467	1137	293	142	1687	9009	4004	157	887	3929	27	6114	5725	11060	17	12045	232	6558	39508	7895	643	2929	1036	233	1086	33542	2340	367	1594	1777	7187	553	398	508	3310	1721	805	2624	6423	1341
