#OTU ID	A04	A18	G11	Z16	B04	EA44	EA47	EA48	EA49	EA50	EA51	EA53	EA54	EA55	EA57	EA58	EA60	EA61	EA63	EA68	EA70	EA72	EA73	EA76	EB01	EB02	EB03	EB04	EB05	EB07	EB08	EB09	EB10	EB13	EB16	EB17	EB20	EB21	EB24	EB28	EM03	EM12	EM22	EM25	EM27	EM30	EM32	EM33	EM34	E12	K16	M12	P24	P31	CA40A	CD21A	CD24A	CD25A	CD27A	CD28A	CD29A	CD30A	CE19A	CM28A	CM29A	CM30A	CM31A	CM32A	CM33A	CM34A	CM35A	CM36A
Sg_CA11_3	44078	32224	75283	53278	381	7	6342	10876	43233	1109	137	26964	17606	2202	2289	9500	1798	1286	4637	9755	1999	756	7618	3656	13209	22460	337	20803	34807	1397	1846	16713	197	52481	24060	9368	6624	188	13907	26545	9344	48394	42	6501	279	5377	79	13361	59	92	12633	1461	11646	462	15107	7098	1418	4756	206	4791	33022	5024	161	5625	2656	1284	414	17103	1159	813	10672	56745
Sg_CA11_45	245	30	201	6546	16424	0	109	144	125	86	365	1461	45774	1134	17	80193	35764	25832	114	155	353	88880	66	239	63	63	109	136	138	72	9798	104	5099	76	59354	120	1914	630	1404	1170	2468	1181	480	19711	50	96	42	179878	93	9	511	1924	1889	99639	49	3859	35	78	36	59	168	53	7	132	245	2126	16638	15088	103	569	537	3241
Sg_CA11_52	229	5	1489	529	6947	15927	28694	12	1151	50896	1341	4500	7812	37	94337	3814	178	396	30010	2239	2361	1994	4435	7172	744	140	5555	72	1874	297634	37557	5801	11187	3619	6920	56	4937	7911	1100	923	538	258	4141	63	4298	610	19728	16183	214	996	286	311	465	16093	31	347	338	6808	29	141	337	88	56	104	530	1573	2430	601	20	22	1922	8
Sg_CA13_9	1912	1150	18127	706	809	0	4418	709	486	1574	54	461	359	158	350	173	718	6426	4045	621	4894	677	57	4531	644	1217	451	1613	97	473	1364	2858	40	1855	845	1739	2411	961	973	14680	636	665	75	4910	57	4688	14	1922	16	12	364	99	1635	4428	5727	420	570	1514	138	222	1945	243	64	166	398	132	7150	3325	3058	3401	639	2159
Sg_CA25_14	4086	437	512	383	378	5	100	4089	2128	107	61	62	90	51	30	65	86	248	87	392	195	316	141	100	3226	63	217	4949	63	122	109	159	52	224	125	124	2470	158	144	156	998	278	53	226	37	63	22	102	81	25	440	122	5645	357	1271	9084	146	16157	792	4591	4020	229	165	2658	2715	28	1853	16687	1859	88238	122	146
Sg_CA25_21	575	2022	182	402	65	47	406	10015	8045	238	2432	683	16391	586	16	43	1908	152	705	2596	175	197	53	25	412	578	47	14633	975	52	138	110	50	704	265	4318	1021	358	704	549	6179	246	49	203	37	3299	101	195	4	1877	2690	1184	296	3058	33788	281	4000	4745	8188	11510	223	23912	5324	1328	8751	5169	3346	474	2134	1726	1837	4197
Sg_CA40A_55	31	34	348	145	8	0	55	476	107	8	0	33	40	7	4	15	17	1522	42	15	1705	16	42	108	52	7	12	703	58	10	7	1426	2	17	9	43	474	114	6	36	24	13	10	25	5	7	7	24	4	6	33	7	150	42	10009	22	19	3450	13596	99	6115	104	29	4209	8379	15	115	99	25113	2179	9993	29
Sg_CA9_20	8952	728	668	3705	50101	14	33629	3177	3892	3352	16361	39739	2470	5600	1129	15612	23570	27788	23409	8723	29845	7260	5868	14137	11457	2610	58794	3638	2461	17466	24878	15433	5768	4532	11421	4229	34983	112048	12145	15799	6000	30825	3708	5487	4949	14750	2651	7018	6601	337	48398	1185	21312	142559	841	494	2153	649	927	245	1150	899	351	510	1107	1092	4396	1977	1033	564	653	747
Sg_CA9_31	1937	3145	105	3229	2119	3	3150	6515	97	29	257	4203	5588	36	33	14	7095	16451	3256	9201	22	16558	62	4620	873	44	5681	1970	45	881	12986	2585	72	298	6505	131	42	17541	7807	9337	8333	6488	10	25119	8	39	11	47	28	14	23922	55	11598	3288	111	23	192	628	1850	80	479	444	4146	106	298	19	5952	1333	131	1352	56	183
Sg_CB03_1	2879	2042	697	1	476	0	1361	366	486	2	230	2158	2917	1162	787	5687	74	1681	410	638	421	467	2	512	12	87	4759	377	4	5	8	410	332	20	1868	30	79	4213	1792	2417	326	3	5	346	2920	7	4	1115	50	872	3331	3	237	4653	25	3	20	14	3	499	12	95	7	34	118	122	183	65	56	28	50	191
Sg_CB03_2	279	239	120	587	499	2	153	313	1584	41	145	188	390	2376	390	243	108	952	196	334	443	405	853	246	96	91	245	304	1566	136	167	173	225	698	331	262	220	175	261	14401	472	265	441	226	814	374	348	89	18	178	16647	213	187	246	115730	143	892	103	61989	119649	335	482	469490	1017	130	793	847	9992	7303	390	740	4233
Sg_CB03_44	0	0	1	7	17	56484	11	124	5	53	5	33	21	34	385	833	8	45	70	390	1120	21	7	18	111	3	4	2	23	834	18	4	19	5	61	8	81	4	5	11	396	45	36	66	12	9	41	73	28	20	22	2	23	2	100	1	4	0	0	0	3	5	1	15	0	1	6	0	5	7	5	1
Sg_CB03_47	1868	676	2454	1713	1139	225	1700	1041	1239	483	333	915	952	1552	1157	2443	1664	2125	1240	1237	1344	898	1367	1668	1226	595	2701	1357	802	696	861	1715	2721	1106	1045	1182	1612	2481	2150	1309	842	974	742	1512	623	618	2793	1380	663	876	1878	713	1538	1017	1216	464	440	1069	289	552	1252	850	267	1045	589	469	985	1807	1159	2307	643	973
Sg_CD22A_27	21	15	10	11	32	25	11	33	300	12	13	27	142	8	25	16	23	29	30	99	29	20	41	20	7	5	94	39	25	3	30	36	4	4	38	8	36	62	9	25	39	19	3	17	48	13	1	22	0	16	5007	18	21	185	34	16	18	56	110	106	48	45	5	71	86	48	29	57	233	24	352	77
Sg_CD22A_44	131	1194	1126	262	103	253	131	609	408	126	66	122	2702	351	4351	177	14604	6480	731	6059	246	5373	83	561	431	64	155	675	78	99	74	267	97	210	220	463	206	301	2866	462	5187	834	17	413	82	165	421	4460	50	2400	281	30	434	240	875	253	909	2145	278	326	960	2790	112	4724	741	96	1771	1277	1412	288	313	220
Sg_CD23A_20	2664	2003	2068	5164	2680	29	2216	2859	3768	1590	4071	2055	2016	2389	721	1583	1495	2829	2066	2207	2210	3150	6285	3195	3478	5283	3985	4739	14095	1897	2166	2620	3407	4416	2565	5457	2830	4324	4179	2873	1686	2734	3719	2264	3297	3468	3665	4565	4595	687	2610	715	2523	3522	4685	2529	1506	3897	2063	1228	3287	4931	691	6743	3386	1537	3114	3669	5860	2485	3411	7444
Sg_CD23A_32	562	85170	2871	16261	446	130	1171	1939	9375	166	1980	21384	1775	22405	1265	741	797	540	305	1476	230	642	98	371	1233	14365	841	4228	272	357	508	593	1589	1864	1035	3657	253	1109	537	1133	2039	468	633	848	398	21778	1899	300	74	42234	1142	151	643	309	533	376	499	1454	708	811	335	1118	2861	554	1395	231	3397	760	1035	859	1791	13725
Sg_CD24A_1	325	437	2018	2510	849	6	797	827	695	771	1361	2408	935	1089	149	444	398	2346	1361	2845	1308	1034	693	2747	14344	683	1538	1639	572	647	494	847	597	897	832	1531	2681	1170	3720	915	708	25399	821	649	409	1275	926	903	1189	45	525	330	14879	948	1932	1641	33865	659	109	88	2534	182	133	616	998	441	555	1982	613	128	793	2097
Sg_CD24A_10	422	5076	180	12	48	15	202	245	4682	18	766	235	815	252	10	31	1141	187	215	846	74	27	12	12	211	156	10	607	2777	5	53	204	28	462	35	978	166	28	622	447	852	287	23	519	10	2826	26	74	3	14007	143	61	71	90	318	2375	23845	1400	883	717	67	1653	1648	97	511	135	1834	2559	987	1437	1161	478
Sg_CD25A_53	70	35	166	15	4	0	30	254	262	0	22	7	50	43	7	7	26	4	19	24	9	10	3	293	141	746	2	148	387	3	3	11	0	120	6	62	7796	1	3	86	23	12	2	10	0	91	1	11	1	3	3	322	242	3	97	344	642	365770	46	43	144	189	356	231	41	9	49	17	50788	45	55	21
Sg_CD26A_19	346	2138	261	3	65	0	42	13126	625	32	484	7737	7021	15421	43	487	1737	439	936	127	695	262	90	80	347	4327	38	5060	279	51	270	570	2	666	211	939	761	156	447	4127	4649	1214	8	1095	1	25497	19	3668	1	145	2492	748	4681	676	18635	4823	4904	23647	821	7459	61	12654	14514	4243	857	823	8677	6576	8895	5515	16696	1069
Sg_CD27A_46	937	57	641	160	53	180	72	138	188	215	35	69	128	38	33	63	52	109	99	86	152	120	101	88	75	73	115	252	55	76	78	128	69	38	89	87	114	127	79	80	62	65	89	95	66	35	141	45	10	8	69	26	49	360	19820	20	72	57	73064	44	297	58	26	185	15155	46	27	561	200	62668	71	29
Sg_CD28A_40	82	72	1048	5038	28	2	72	338	79	25	10	70	57	31	5	31	209	6115	124	230	64	2202	94	328	17	18	73	61	31	44	24	53	127	39	52	29	126	313	37	84	135	542	49	84	48	19	61	97	13	14	919	13	185	4617	198	20	72	82	12495	12172	341	74	93	77	1035	39	69	166	636	2916	989	67
