#OTU ID	E11	G33	I09	M18	B27	A02	A28	A33	A37	C02	D02	D10	D18	G02	G47	K43	M04	M16	P15	YA02	YA03	YA04	YA06	YA07	YA10	YA11	YA12	YA13	YA14	YA16	YA19	YA21	YA23	YA26	YA28	YA29	YA30	YA31	YA32	YA33	YA34	YB31	YB32	YB34	YB35	YB36	YB37	YB38	YB39	YB40	YB41	YB43	YB45	YB46	YB47	YB50	YB52	YB54	YB55	YB56	YB57	YB59	Z04	Z12	Z14
Sg_B14_1	3	0	0	89	370	71021	17	334	6717	219	3248	29	3625	99	7	38	397	1959	15	21	30	18	189	17	74	111	32	1604	22	9	4	171	6	136	255	11	9	2	2762	1645	886	16	8323	8	25	46	97	26	393	46	509	2	34	53	22	6920	59	245	90	11	144	22	113	54	84
Sg_B14_13	1152	2400	4018	603	1068	384	3047	30	2677	2100	205	9533	2309	9173	180047	10669	279	209	15630	565	58	367	49	239	1092	179	39	103	808	0	89	8	34	79	290	68	52	734	505	215	1246	75	93	772	1368	853	554	17	231	420	55	682	197	114	13	653	190	32	795	22	108	979	312	188	863
Sg_B15_22	293	171	155	1287	11135	14	19	124	292	251	1954	122	271	1161	15	549	59	1830	152	1564	79	2648	892	3159	9787	1814	16235	253	464	38707	36144	2025	1498	1771	386	580	450	381	71	740	2095	4004	3750	7811	9392	184	142	1856	1372	22595	375	221	71	771	206	1407	28897	1069	893	190	224	247	526	1274	97
Sg_B15_23	413	14666	37124	1382	1579	2062	1544	1087	41286	74356	9968	15111	1570	3379	99357	40928	6779	130	35545	14915	930	95	79	1982	1929	217	809	1761	381	40	2954	320	188	150	1389	269	13	5558	1276	370	1266	81	205	398	12393	29491	9525	89	73	6698	159	407	1498	548	61	2689	1583	48	4373	65	597	3448	3373	964	1169
Sg_B15_25	127	787	125	314	1118	5641	1904	129	216	2157	558	107	1266	4490	992	2431	2999	174	8915	696	1676	3237	318	712	275	6310	653	17253	1989	737	1008	469	66289	405	488	744	616	778	1202	1203	1444	915	373	1122	577	420	239	1479	791	105	357	921	2828	1397	613	8100	501	1649	788	453	1874	1028	359	14894	1036
Sg_B15_35	27	112	34	95	246	287	1955	75	250	31	3564	71	794	946	726	62	183	15169	2491	215	479	3213	496	952	340	464	29964	308	452	21	146	242	814	1440	618	1302	1181	302	136	246	875	680	17732	886	224	621	53	15856	7796	1104	786	1989	366	247	191	180	510	842	443	3896	2652	2587	381	1141	188
Sg_B15_52	6	80	442	35	196	120	7	1419	59	85	4558	132	486	70	143	911	40	723	6241	1749	27	393	26	38	79	312	19594	59	31	452	4768	1445	50	981	307	82	451	166	95	2671	815	511	2129	10509	29	15045	298	3922	7404	23994	690	12174	219	32	1425	42	1408	135	10	40	82	1201	24	52	54
Sg_B19_17	24	88	163	9720	7	2222	207	939	39	166	180	59	99	225	41	68	3976	45	37	24060	6245	268	1078	6809	82	403	175	178	68	4	108	71	204	309	146	146	22	590	55	153	116	127	10800	110	170	731	123	91	135	140	161	261	248	234	39	14992	101	151	182	2967	5514	470	59402	3109	3410
Sg_B19_30	3127	51348	435	2026	79	1425	4004	13025	98	42154	253	367	1378	1715	2878	10106	134568	927	30050	664	31233	677	626	16098	3224	34388	114934	77642	8709	114	55385	397	10327	510	330	32225	179	509	436	33792	1766	542	523	508	4007	274	292	3583	472	335	13672	45739	86239	27132	228	8515	55597	132141	42696	515	40866	572	1896	112499	34977
Sg_B19_40	8134	160	1962	1573	27	313	93	113	2	1	1404	63	701	968	64	76	1683	109	338	233	1125	42	2502	4097	3789	1696	1994	1628	3279	8	17	4267	472	0	7734	452	1	1204	7276	2969	1520	3565	4106	4	1398	471	34	83	966	8	969	0	620	1818	725	775	8094	2273	472	1139	1293	302	1785	8	483
Sg_B19_58	5823	170	220	235	5	142	26	1164	92	72	29	14	60	188	15	92	183	19	54	3721	56	19	59	38	31	60	33	38	70	1	31	36	2139	6	42	61	1	45	45	160	100	48	85	13	196	134	48	36	72	16	40	15	81	17547	29	3121	12	56	233	3611	14439	44	7825	3179	8598
Sg_B23_42	2319	879	539	3135	1776	3560	10034	144	717	1041	457	6038	1472	3646	1632	249	1084	223	402	477	346	295	929	740	496	1054	459	883	2081	208	580	373	614	201	360	384	41	902	333	361	816	622	320	211	955	710	213	890	478	129	962	1361	4074	1179	1399	1318	287	694	413	542	845	613	402	6712	1512
Sg_B25_10	85	78	990	53	207	66	1525	127	508	35	475	1251	426	243	2378	208	149	181	465	226	271	636	355	281	236	185	625	889	213	82	699	539	485	438	263	676	650	258	211	241	497	710	814	223	174	401	188	427	627	355	7034	75	281	1332	609	338	270	356	368	345	430	297	194	451	149
Sg_B25_38	293	1255	433	517	22271	1597	125	1340	323	64	328	376	305	329	284	364	61	4759	183	139	678	3	102	23	367	456	776	83	257	4065	726	4	96	765	151	1075	10277	65	477	139	488	33	821	69	212	21	2293	179	44	231	6	19	30	371	105	220	580	301	314	266	559	75	1350	48	88
Sg_B26_35	5253	241	42	3568	9	8209	13	14	5	25	78	3	107	1054	5	13	1101	15	33	180	83	26	3019	106	2839	71	5	17	13562	1	71	16	185	20	39	3141	6	41	2133	211	65	171	5106	20	67	21	13	50	90	5	88	44	66	13747	12	1403	6	16	966	60	191	24	2400	149	3876
Sg_B26_38	349	752	2417	778	46	737	11275	139	218	1095	1360	423	1316	919	5844	348	1498	991	521	4653	2449	614	464	1472	611	1415	6692	836	522	87	1191	929	516	469	626	1070	62	443	231	1861	1173	1280	448	312	426	468	431	808	529	124	801	726	7465	2751	184	2691	369	2237	825	751	3550	581	2770	1525	1341
Sg_B26_4	402	229	309	5715	21	645	135	43	199	107	99	30	88	321	15	59	208	38	67	535	204	144	370	102	315	244	128	155	125	14	65	72	224	82	79	126	33	211	202	428	291	184	125	103	281	151	104	186	76	7	88	150	167	692	57	184	116	141	343	160	602	241	131	230	383
Sg_B27_18	108	578	179	552	60957	2239	337	459	4273	370	585	216	2040	399	126	312	2001	8424	611	618	509	695	863	801	1100	896	706	1935	405	1417	932	620	551	724	508	2824	190	354	1920	1397	550	924	2821	553	478	1962	3260	623	809	1092	1324	324	458	735	635	5064	479	925	577	1137	886	422	695	684	1502
Sg_B27_6	13	46	12	221	24185	1172	328	2095	2051	1230	8012	3221	471	126	436	905	1808	20988	239	638	231	509	480	295	580	1923	825	1666	58	7	3278	402	233	283	971	328	87	132	5451	482	626	431	12231	194	122	628	357	200	594	7738	3177	135	979	382	65	18435	462	334	3215	1158	1390	208	374	759	157
Sg_C02_30	9283	1793	71	28611	314	1188	1278	14	57	15361	88	61	1273	24628	101	1538	1300	375	30	5481	2946	19	3221	723	2485	20308	38	2297	10705	1393	231	946	21179	4	151	1768	0	2640	1306	1117	2576	1051	560	48	2965	1094	2722	83	183	317	344	13	1348	2392	7177	546	26	1621	1000	1453	695	1082	23486	1575	1059
Sg_C03_36	625	593	43	1506	9041	1047	51	488	2080	140	101	127	253	380	128	240	221	9330	104	139	512	10	174	38	162	336	32992	61	190	1209	10115	35	157	41	66	7113	626	119	172	157	4958	45	6774	111	80	169	455	337	77	150	92	9	117	465	79	302	495	54058	909	779	136	52	3615	70	90
Sg_C04_25	257	934	301	838	82	1738	206	160	67	2200	328	80	4232	3864	1160	99	5401	1542	127	3679	773	554	2677	10804	946	567	305	1824	512	45	304	3552	2733	679	530	1038	80	4440	398	5370	6390	3423	528	679	308	4969	136	287	827	191	1326	561	7785	8588	192	397	301	470	1924	2446	10416	387	3074	441	4384
Sg_C04_33	15175	416	692	7906	13	1518	313	100	13288	187	166	15	280	4731	58	11297	2584	32	137	420	216	15	297	326	159	307	38	49	126	2	111	30	110	12	37	80	3	195	72	105	120	475	73	109	1191	315	94	135	385	7	190	28	235	29596	30	4814	1099	98	330	196	289	118	146	526	5855
Sg_C14_34	34223	14183	33	12890	3960	696	747	52	15	307	18199	16	8686	120	9	1107	18806	1574	44	13179	26359	7005	94208	1990	6232	614	40	20493	4943	11	24740	131	585	43	123	19136	2	81694	1114	12035	893	12120	49	90	43461	276	9506	69	28154	176	52452	146	430	6878	16518	18796	11489	22769	26870	12436	14497	86	2806	128	1562
Sg_CA11_3	30680	4343	544	37835	869	3882	759	233	676	33981	1072	369	13907	12939	578	4537	9783	1214	353	4527	7452	224	13010	12124	6065	11528	296	1345	66726	438	778	28620	24148	315	921	24635	78	14706	3163	16169	53760	7759	20608	808	30723	4616	2156	649	17389	62510	48946	289	7514	8240	6334	43085	2771	113651	14351	98199	5514	727	22534	1337	2541
Sg_CA11_45	37	8793	7446	1837	13	866	37	70	70	30	301	11	868	28188	28	26	4223	39	38	4634	7925	47	17001	112	121	72	85	1264	81	4	73321	300	9447	34	15380	112	193	83910	1627	44	44863	74	958	104	75705	44	30	53014	36438	15	43063	50	104	2341	1709	67838	59822	100	158217	14535	257	2898	86	95	3074
Sg_CA11_52	450	447	1048	428	983	98	285	158	656	1107	14409	366	4862	2218	151	3404	410	22364	574	18854	4286	25826	10433	31821	84124	18757	146871	1366	7717	4215	176875	7126	79762	21228	10911	12158	172	17196	637	10822	18849	36463	2647	53280	38805	2235	659	1042	39184	12622	1664	1902	1398	3135	1066	7248	77624	9776	23788	11171	5974	8525	3599	6974	84
Sg_CA13_9	1696	533	39	1436	1992	970	94	111	63	350	385	40	632	859	50	247	2620	480	118	471	2071	831	1557	1252	335	6384	58	1545	4431	16	480	917	1668	111	886	13236	5	1276	2806	5356	1331	2186	316	1336	874	377	342	65	395	392	1453	47	4037	2025	25362	1176	1439	1264	2075	5366	613	1255	752	1380	1555
Sg_CA25_14	4412	329	93	945	10	247	28	23	49	32	468	10	147	180	11	28	259	29	40	1000	144	154	221	188	171	214	133	151	150	4	98	60	161	57	100	165	25	131	99	726	200	218	216	132	251	67	88	150	1000	13	209	284	185	9465	65	611	66	163	159	57	145	260	90	404	10694
Sg_CA25_21	94	3117	2174	99	33	443	557	440	17614	3355	963	1477	286	9578	3381	2232	232	34	2801	555	204	15	189	443	99	10	41	173	379	2	272	47	15	24	945	60	87	2516	3916	253	576	47	968	10	5270	1605	4906	329	23	428	370	72	142	435	55	444	2	112	1374	27	39	9058	816	84	787
Sg_CA40A_55	29	12	34	2133	5	1663	6	1	14	11	25	1	16	26	2	19	1585	7	7	51	20	22	29	63	33	44	9	5	61	6	6	10	66	0	53	194	0	28	25	41	7	18	24	4	137	65	60	5	5	0	54	3	22	306	10	242	2	9	31	17	280	12	21	18	627
Sg_CA9_20	962	2657	879	2022	793	9506	966	676	10103	2481	24324	2212	35559	26235	3656	566	10234	2263	69997	6164	7764	12843	10730	19952	25500	11417	5435	14957	89354	1408	16435	7254	70890	73418	4152	10578	1814	104985	7288	15613	13635	61823	51449	8899	7275	42692	1895	7551	16555	3527	111752	116441	7359	37635	4865	26912	3313	54642	7606	16058	8380	10431	37569	100545	8816
Sg_CA9_31	21	3464	12	66	266	29	2	57	5852	3	8791	42	441	8416	8	2809	4535	12	39	25	483	92	2803	8703	503	4351	28	3	155	1	57	2594	18	391	7	991	7	3432	3141	15627	25	34	62	2	9340	54	46	4521	11346	4	2335	28	5021	60	1156	56	13	2062	6313	30	22	43	49	76	58
Sg_CB03_1	14	1449	1684	221	0	176	0	478	2509	0	2148	46	1051	546	3	1547	7	29	5	565	1067	70	1736	2578	389	978	425	1583	192	1	22	2406	234	1461	123	510	56	3173	1244	2802	240	1940	4334	2	1	11	1678	7668	712	194	50	1	7	84	202	464	1149	4	2413	385	393	298	1271	723	131
Sg_CB03_2	27	222	470	168	17	496	55	2174	1613	70	649	15	301	359	56	3015	143	49	71	1424	472	225	172	217	226	1050	540	177	448	100	139	183	544	679	441	236	34	323	255	997	241	180	529	110	114	390	397	255	256	65	605	242	284	159	76	1006	367	190	145	227	116	108	237	177	359
Sg_CB03_44	2	0	4	59	5	60	1	6	15	1	24	1	12	146	1	3	19	608	2	385	5	15	206	10	24	32	11	4	31	632	1867	3	3	4	5	1104	1953	3	15	4	1300	42	87	1521	23	11	42	2	10	186	13	2	2	1357	7740	176	3079	4	17	0	1192	14	16	6	3
Sg_CB03_47	7014	2207	2194	1673	111	1043	236	818	341	348	2375	157	841	1166	212	376	1847	795	782	814	1205	562	3615	5558	3603	2131	1745	1313	2293	449	421	2586	1115	757	8072	1130	884	1743	4896	2218	2124	3183	3221	586	1532	1088	659	892	2383	519	1688	1070	1586	1308	1010	1373	5857	2075	1366	2285	1802	908	2158	1039	949
Sg_CD22A_27	5	7	6	18	0	21	7	23	47	4	29	1	5	28	6	2	166	6	3	65	23	11	145	28	15	18	40	54	16	0	237	16	31	1	8	25	1	341	24	13	16	26	10	113	22	308	17	74	41	3	104	32	4	52	5	63	18	29	76	8	6	34	40	29	34
Sg_CD22A_44	977	194	108	1234	236	1330	110	290	670	25	1816	34	347	371	52	491	13698	136	29	253	189	130	193	121	77	3407	389	231	78	577	70	318	146	70	239	348	98	122	633	197	249	282	132	72	26776	12	551	94	118	141	222	111	158	1561	67	349	204	242	676	276	158	461	133	12963	496
Sg_CD23A_20	499	3450	3101	2440	214	1214	1283	735	1396	1850	2829	461	2221	3194	1166	2049	2546	1040	2965	2838	2950	5002	3658	3475	3065	3944	3721	4495	3337	250	2723	2806	5098	3479	3903	2919	2393	3498	2112	3282	3629	3297	2160	3732	2413	4588	1797	3830	3964	985	3235	5759	4383	2224	1226	2366	2307	3043	4279	4354	2394	3300	2468	3957	2847
Sg_CD23A_32	1825	15809	15572	1882	1142	450	110	1012	4802	8523	1298	1178	6716	5312	8879	2842	439	302	17337	497	706	143	521	949	766	1003	1494	972	697	419	99	522	144	461	13327	6103	79	892	1372	681	630	595	1132	170	1026	378	1415	1456	1085	315	707	239	808	314	169	572	2195	530	230	445	581	1109	2846	3653	1920
Sg_CD24A_1	141	595	455	1170	89	5629	898	342	174	590	787	452	1388	68066	207	4260	1659	167	885	68432	989	1135	643	1261	559	978	1296	1617	1848	67	965	1245	834	674	783	1773	89	12888	420	1013	757	1128	715	1339	833	2296	840	1508	820	32	1345	801	1244	2379	930	1012	445	8301	50911	1079	17086	804	721	2264	1913
Sg_CD24A_10	84	735	755	86	56	683	146	4	2514	3250	232	1152	1939	835	2175	605	171	76	1847	3837	79	10	77	5503	73	3	11	60	187	2	46	25	14	10	538	113	35	88	160	626	73	67	22	57	741	340	357	38	97	82	148	52	53	30	25	223	3	27	1531	71	131	63	85	107	170
Sg_CD25A_53	450	110	83	10179	24	3288	563	2	73	9	4	52	5	100	11	696	195	0	96	235	16	0	4	6	10	13	1	2	268	0	3	2	0	3	7	3	0	16	9	52	4	89	12	0	42	8	3	0	10	0	1	2	6	14029	2	177	0	20	48	30	19	4	448	15	28
Sg_CD26A_19	233	2615	806	1092	140	1311	270	71	7779	278	16	1910	235	4881	1157	4637	1148	16	7403	2422	865	1	886	114	52	2	8	20	96	0	8	59	77	3	124	22	6	2511	320	223	546	345	415	10	61	118	545	3	91	29	931	30	540	1075	1	448	0	26	1112	14	360	244	662	167	992
Sg_CD27A_46	31	194	93	62	15	103	19	76	51	10	90	22	81	90	13	38	250	62	47	178	112	145	87	42	34	88	93	94	72	23	253	68	128	39	52	287	27	83	67	41	76	196	247	66	117	71	46	229	121	103	299	67	23	120	25	74	79	150	208	346	332	190	78	550	48
Sg_CD28A_40	212	104	87	375	4	107	8	19578	687	57	50	5	37	2589	5	24	414	6	11	274	634	78	428	36	69	30	72	76	165	3	50	50	73	20	22	50	32	503	74	982	61	63	100	39	43	92	29	25	100	0	42	46	65	81	6	459	35	23	22	40	22	54	43	1770	142
Sg_CD30A_34	107	1732	5832	215	125	236	270	681	4682	5430	2591	4612	136	5795	2298	11895	367	63	6979	2191	167	11	16	411	122	61	199	180	27	5	184	40	15	44	747	75	14	438	81	2824	331	31	55	19	4202	2981	1431	18	9	120	41	13	228	218	4	660	27	3	242	7	65	193	325	101	1252
Sg_CE19A_15	465	7424	18171	3932	10870	1180	512	2	75857	337	36	8485	2366	6278	208	6455	384	282	3840	3456	37	126	192	1183	7007	401	24	156	391	0	26	51	391	377	6344	377	41	31547	2237	4438	1102	154	381	2	249	197	120	156	84	967	360	19	2355	660	93	690	5	99	1432	99	210	1591	9743	1203	748
Sg_CE19A_24	2033	4822	17805	348	404	221	356	147	3411	1209	4219	1120	399	736	7559	7388	357	196	8495	614	166	171	194	157	219	310	1335	337	137	14	307	1206	202	351	227	163	23	1096	202	338	1895	110	341	1915	847	7494	2080	223	440	43	277	397	1637	249	137	646	247	306	273	270	782	631	1767	294	2219
Sg_CE19A_29	20	269	286	189	86	833	21	10	11184	429	2541	145	90	2489	104	512	823	11	3479	532	334	3	121	48	16	110	207	6	50	1	5	36	2	7	38	9	0	1336	37	92	364	6	21	0	6133	10	913	28	12	5	52	3	98	298	130	83	58	5	497	11	34	306	524	337	422
Sg_CE19A_36	405	3961	930	907	324	953	1099	1406	3366	3025	4014	811	1737	2107	1862	1087	1157	738	2826	2825	1943	2462	2710	2533	1635	2734	2498	2098	1759	685	1948	1431	3082	1832	2186	3423	678	2676	1902	1723	2619	2108	2052	3429	2242	10642	3052	2617	3615	2046	2204	2908	3113	986	1080	1760	1617	1611	2775	2526	1353	3689	2384	2850	2194
Sg_CG50A_22	218	967	1531	1311	45	366	223	422	305	251	529	95	443	1313	190	341	619	200	261	953	506	224	628	391	438	853	402	228	632	30	300	317	523	268	341	416	100	658	436	680	1878	622	376	253	4062	1189	558	359	579	161	510	274	681	738	285	620	317	669	550	693	257	515	688	670	618
Sg_CG50A_49	4850	700	55	26020	23	4854	8194	0	185	175	20	141	337	883	517	3316	31408	46	98	48034	615	2	82	584	185	266	124	1	2409	1	58	31	173	15	9	74	23	52	39	6463	6	1377	68	0	28	5	41	1	46	3	11	8	449	7118	66	647	2	191	155	119	177	5	4202	53	1006
Sg_CG50A_74	4017	830	64	1303	17991	3048	19	2990	232	201	850	642	580	342	436	588	85	7133	111	131	204	3	53	7	58	308	1404	10	58	4709	157	6	46	7	209	3500	4120	4	325	219	768	43	1510	225	10	23	3234	483	156	308	3	1	6	370	155	69	248	1215	999	955	1092	104	3871	8	234
Sg_CK05A_18	465	1709	30810	1604	1586	2201	2202	500	43325	34602	15337	9835	1654	3229	15390	5599	393	107	78182	11191	890	91	52	245	1199	224	1651	253	645	1	859	41	218	446	7627	509	228	9760	1414	2524	571	466	422	134	4423	6353	2040	130	301	1613	258	122	700	555	42	2416	132	134	1363	102	146	387	3607	450	483
Sg_CK05A_21	66	772	1012	5472	19	621	116	988	334	77	3274	60	706	254	53	202	271	63	189	7096	247	251	154	580	237	270	448	95	616	8	1100	2666	1177	187	571	863	34	996	434	492	1012	373	2257	863	2799	919	472	988	955	796	366	118	440	167	113	313	101	862	3010	762	172	596	218	1284	7398
Sg_CK05A_46	1480	1006	1427	767	17	465	117	517	1223	304	232	163	195	547	966	407	587	92	411	513	305	194	324	194	204	307	150	206	461	13	254	112	445	137	122	285	34	377	231	251	319	428	206	450	1757	256	215	290	412	72	234	332	425	1604	65	517	241	180	1372	349	558	280	469	486	1165
Sg_CK05A_56	105	1162	1427	1209	266	1615	1213	101	1685	3054	394	1280	366	980	689	607	691	97	4564	1566	1038	372	559	573	1045	266	327	757	5606	223	847	395	1178	225	189	314	305	1270	216	1005	437	362	1882	586	3207	213	1167	390	1765	1057	441	578	1633	826	2176	1484	508	2431	1079	413	760	1203	2856	549	711
Sg_CK28A_36	3	170	349	15	3	12	28	113	28108	1502	152	43	25	580	26	103	42	9	461	76	41	60	45	74	31	55	459	102	89	20	250	144	65	86	48	37	1	152	29	165	195	52	152	57	3212	9483	3113	1473	162	25	55	341	651	59	48	81	45	403	90	88	54	1445	116	64	65
Sg_CK28A_47	1236	5170	1	104	0	1889	2958	2	1	80	9	5	0	1106	2	0	14	2	2	0	1	0	7	18	29	19	146	1	32	0	0	3	0	1	3	9	59	1	11	68	36	988	140	1	12	1	0	1	6	0	2	0	1304	69	13	5	9	70	6	21	243	5	826	3	99
Sg_CK51A_47	1099	7038	3778	1067	127	1546	3450	469	3308	3094	2201	2797	2115	1985	3009	2716	1643	755	2088	2061	889	1227	715	1309	588	1483	1493	1490	1452	100	2609	952	937	886	608	2745	62	986	417	1434	1216	1573	968	1471	1985	1287	588	2558	2789	292	1135	6245	5385	1257	229	1900	511	2245	1361	1011	1142	1993	2031	1703	1055
Sg_CK52A_43	1530	49	778	356	4	92	6	185	47	35	20	7	38	250	19	51	9077	11	19	198	147	36	1129	126	26	66	47	12	61	4	34	52	12	8	29	85	3	4238	39	450	55	136	44	13	132	50	55	69	14	5	31	22	80	417	46	808	26	48	701	59	199	82	62	498	1954
Sg_CK52A_74	67	820	1993	624	39	143	131	3851	1485	3492	3692	1277	212	255	782	1338	53	20	1310	175	122	43	118	28	88	72	66	64	14	14	151	12	66	29	599	37	0	178	125	79	45	47	38	59	2264	838	2041	41	241	11160	41	181	127	44	4	852	52	22	91	32	37	221	7978	937	6642
Sg_CM17_16	6286	34	21	3240	84	2086	17163	0	9	71	7	12	467	1607	16	11740	2614	41	7	652	285	0	135	45	290	285	213	2	3715	4	0	4	133	1	5	109	0	59	52	770	1	359	1901	0	45	7	16	0	25	2	16	0	873	422	269	591	7	407	287	151	158	1	2978	81	113
Sg_CM17_58	110	51	37	3907	7	1344	13	8	18	10	42	5	51	8942	13	42	266	6	26	3058	100	40	37	29	48	62	53	45	57	0	36	38	24	26	49	59	2	34	61	65	17	132	241	120	44	35	24	46	44	19	43	30	86	850	30	88	9	10	60	31	24	66	53	81	167
Sg_CM17_7	1481	792	4733	4188	37	546	165	161	369	231	122	86	400	556	135	1193	1882	821	137	1039	415	142	265	288	220	312	182	158	138	10	145	106	279	20	44	471	4	650	179	1917	380	478	216	138	3009	100	491	472	95	52	397	80	647	2157	529	1248	137	218	817	254	491	89	739	926	3483
Sg_CM21_15	154	2743	3473	17	42	66	193	90	4006	2412	88	5307	267	292	2325	792	24	56	151	300	68	0	2	9	193	50	168	40	98	0	31	1	24	3	246	10	83	141	122	36	53	2	6	6	33	66	164	2	15	224	11	43	17	270	0	414	614	183	19	3	7	75	168	65	29
Sg_CM21_57	47	1753	12026	433	220	309	437	16	9476	28248	1679	10136	187	8355	230811	40808	1475	32	44297	3983	1595	70	66	129	1416	364	629	177	265	161	12090	30	136	143	456	35	13	2101	323	389	885	30	61	170	15221	26868	7845	148	110	2443	21	489	2403	1052	49	1592	68	13	461	20	190	1185	4467	262	1262
Sg_CM29A_16	903	473	474	1305	5	3483	80	95	6071	103	36	4	57	445	11	113	3757	17	64	1249	245	45	295	130	111	28	61	47	46	5	33	21	117	88	35	100	2	66	82	297	220	96	41	27	636	78	79	113	191	3	108	116	66	252	36	668	36	26	3722	212	266	22	320	346	3270
Sg_CM30A_3	2112	10071	15364	4672	370	1203	79636	1530	1586	7148	8520	1703	6774	5427	34537	2339	6153	5780	2704	29582	17060	5910	3982	7431	4459	7464	39325	9173	2990	342	7978	6810	5652	2511	4450	7613	1411	3444	2524	11954	9581	4177	3198	5060	2441	3548	1788	6583	6407	1420	5803	6983	31760	3313	1648	16638	5088	12039	5064	5203	4926	4244	13866	9967	6482
Sg_CM31A_43	121	118	325	96	401	20	75	61	411	343	3216	85	1156	1856	189	753	116	4786	918	4132	928	6275	3109	6747	17571	4978	29080	329	1583	1148	58571	2407	16131	4715	3589	2996	47	5614	305	2517	4643	7652	3848	11853	7883	503	208	356	8584	3610	696	647	398	996	233	1602	15734	2842	5689	4644	1445	1778	805	1896	36
Sg_CM31A_52	789	1303	115	1052	4588	5181	52	7513	297	53	1625	307	1543	584	836	1348	149	6256	215	89	290	22	135	23	164	423	386	25	339	6893	265	32	50	370	341	1808	5572	137	460	352	761	135	807	419	92	47	4150	667	73	893	72	4	12	444	287	237	321	720	256	364	1020	136	627	53	110
Sg_CM32A_26	3633	5181	3562	2076	306	1132	349	928	480	454	1191	156	737	1723	255	769	1103	603	892	1180	871	671	1429	1183	1017	1579	1199	562	1024	264	756	751	1275	1019	1051	651	389	2122	1613	1162	1976	767	930	496	3535	1773	486	889	2291	395	1224	1036	2302	980	361	1203	2282	1329	2380	1411	914	1433	1074	2068	6351
Sg_CM32A_49	495	1378	321	695	650	2366	575	3257	1460	508	1374	403	4405	920	584	804	1453	2416	1077	800	1662	2560	2808	1583	6821	1813	1278	3268	6181	3896	1766	949	3295	1829	1366	4553	3150	1377	1002	3390	1559	9763	9344	1737	1054	1789	3152	2520	1306	1435	2745	2528	1651	6613	2995	661	883	27392	4350	2277	2478	1384	4425	1335	6051
Sg_CM33A_39	9	0	0	7	0	9	3	1	349	5	85	12	3	145	12	2	5	0	0	13	2	0	8	0	3	3	1	39	18	2	11	0	0	0	3	25	1	5	3	16	2	2	3	0	0	53	2	4	1	0	17	1	0	57	1	24	9	1	2	1	2	0	0	2	7
Sg_CM33A_60	1661	656	2391	557	4	482	34	332	316	216	39	6	141	644	8	196	765	16	44	653	150	49	82	688	87	118	14	37	45	8	57	27	86	22	64	119	7	89	130	136	258	82	123	135	319	109	80	54	70	3	109	48	112	1766	45	582	25	52	2184	58	510	36	674	899	1089
Sg_CM33A_9	2164	7655	7104	4005	411	2469	1813	1261	1701	2013	4038	628	2600	4417	994	1513	2405	1235	2196	3647	3701	3754	5916	3831	2867	6060	4027	4005	3769	992	3520	2682	8257	3265	4940	2974	1890	5748	3836	3457	6075	3325	1922	2890	5148	6001	1988	5318	5822	1720	5428	5664	8770	5954	1687	3728	4107	4591	9909	6735	3664	4031	2725	5067	3462
Sg_CM35A_15	614	1241	1048	12363	9	223	51	284	196	145	93	7	111	7789	8	63	382	38	54	1560	336	151	218	211	155	149	209	163	212	9	122	53	293	44	236	191	84	263	119	607	225	502	1239	35	938	146	113	125	273	12	163	69	104	944	157	417	160	147	823	185	386	149	194	482	830
Sg_D02_31	57	11044	151	7002	24	2598	2736	179	33	1511	22374	150	1681	3552	5112	2001	3594	57	190	2576	7583	241	375	1389	157	441	333	788	546	18	590	568	297	208	153	148	33	1779	210	4950	1561	977	885	256	276	116	37	201	377	36	264	197	3992	2680	38	1285	320	420	300	242	1436	1959	2583	490	2092
Sg_D02_32	38	1126	240	233	185	263	108	1685	166	338	32580	161	2150	886	249	220	363	243	866	498	1772	2179	1223	1899	900	1128	2663	5102	814	52	698	1241	2735	2500	1617	932	281	2430	822	922	1785	1828	1396	2919	697	2368	366	3461	1236	1620	2177	3108	1815	437	178	737	1020	1465	3509	1031	1800	2624	983	2216	699
Sg_D02_44	627	3417	108092	24846	6	236	16881	12	144	102	43016	9	2046	445	9	89	3060	21	125	436	4704	62	185	1022	904	13044	64	99	65	9	87	135	451	42	61	76	9	13439	7163	358	140	102	490	78	575	57	30	13530	110	25	126	91	123	4046	2039	7060	56	66	759	86	1112	4043	96	5195	11962
Sg_D02_9	461	470	136	4875	1824	1713	1597	63	658	1365	9826	652	11480	3494	173	822	8721	476	6539	6110	1842	4207	11213	38484	12877	12973	15790	2084	345	491	391	19732	9271	890	262	11347	309	6861	6253	16013	11546	23607	7972	1127	5690	166	5090	3196	1901	601	6333	837	5055	9234	287	4168	15854	9908	12399	13607	10711	4807	14909	9848	8811
Sg_D03_75	154	695	692	434	34	14475	411	214	276	153	403	138	429	939	145	138	7102	131	326	860	592	1674	970	501	384	581	840	1633	498	43	1118	256	683	583	542	794	184	1188	363	629	850	10539	574	1156	670	836	153	677	1112	109	1157	1176	1082	516	161	1461	609	628	999	657	565	885	657	1034	513
Sg_D03_78	9723	7092	471	4281	520	1385	425	122	705	1103	625	275	2544	1862	1117	570	3311	422	990	1922	1171	111	1492	775	1761	6139	595	515	4620	72	211	1026	5114	59	4538	1924	127	1684	1240	1588	2481	1285	1074	552	3135	15442	2859	1246	595	1532	1948	112	2100	1793	961	2546	320	4023	3227	2885	735	478	2796	1192	1128
