	MAG	Group	RA
1	Anaerobutyricum hallii	Centenarian	0.00236491615405362
2	Fusicatenibacter saccharivorans	Centenarian	0.00330417934390173
3	Anaerostipes hadrus	Centenarian	0.00110178476296145
4	Blautia_A massiliensis	Centenarian	0.00327750668847964
5	Hominisplanchenecus faecis	Centenarian	0.000866950241276591
6	Oliverpabstia intestinalis	Centenarian	0.000631451009681247
7	Blautia_A sp905209435	Centenarian	0.000435534785149654
8	Mediterraneibacter faecis	Centenarian	0.00709341904233989
9	Blautia_A sp000436615	Centenarian	0.00027598100135496
10	Schaedlerella sp900066545	Centenarian	0.000194474459373642
11	Blautia_A wexlerae	Centenarian	0.00596574804131522
12	Sg_K15_44	Centenarian	0.00145298096742667
13	Blautia stercoris	Centenarian	0.000316650013342881
14	Faecalibacillus intestinalis	Centenarian	0.00102464096489965
15	Mediterraneibacter lactaris	Centenarian	0.000672302582841766
16	Alistipes communis	Centenarian	0.00201807801245221
17	ER4 sp003522105	Centenarian	0.00283397666018134
18	CAG-177 sp000431775	Centenarian	0.00247549205197934
19	Vescimonas sp900545495	Centenarian	0.00827326040922613
20	Bacteroides fragilis	Centenarian	0.0191230487768252
21	Bacteroides eggerthii	Centenarian	0.00184098899397672
22	Vescimonas sp900545585	Centenarian	0.0013737728237978
23	Alistipes shahii	Centenarian	0.00596806048283479
24	CAG-170 sp002404795	Centenarian	0.00131197352634562
25	CAG-170 sp900548625	Centenarian	0.0025367249416909
26	Vescimonas sp001916855	Centenarian	0.00564572766786284
27	Parabacteroides goldsteinii	Centenarian	0.00234229261181862
28	Desulfovibrio sp900556755	Centenarian	0.00422934319395846
29	Faecousia sp000434635	Centenarian	0.000980830964531903
30	CAG-170 sp900545925	Centenarian	0.00353487113128534
31	Alistipes onderdonkii	Centenarian	0.009354144258453
32	Vescimonas sp000435975	Centenarian	0.00266233639054954
33	Coprenecus sp944326235	Centenarian	0.00176671468306369
34	Alistipes_A ihumii	Centenarian	0.00147046939155039
35	CAG-170 sp000432135	Centenarian	0.012354560535375
36	Anaerobutyricum hallii	Elderly	0.00760627784619609
37	Fusicatenibacter saccharivorans	Elderly	0.00804935381209074
38	Anaerostipes hadrus	Elderly	0.00455332140001164
39	Blautia_A massiliensis	Elderly	0.012614689141576
40	Hominisplanchenecus faecis	Elderly	0.00228216211072622
41	Oliverpabstia intestinalis	Elderly	0.00198382906836731
42	Blautia_A sp905209435	Elderly	0.00134856533881219
43	Mediterraneibacter faecis	Elderly	0.0177600072732371
44	Blautia_A sp000436615	Elderly	0.000571486686066459
45	Schaedlerella sp900066545	Elderly	0.00108237008441404
46	Blautia_A wexlerae	Elderly	0.0230884202178466
47	Sg_K15_44	Elderly	0.00422647370680968
48	Blautia stercoris	Elderly	0.00150697226395851
49	Faecalibacillus intestinalis	Elderly	0.00268343858967955
50	Mediterraneibacter lactaris	Elderly	0.00116537222369395
51	Alistipes communis	Elderly	0.000926245173925187
52	ER4 sp003522105	Elderly	0.00081013626815304
53	CAG-177 sp000431775	Elderly	0.000377080102000578
54	Vescimonas sp900545495	Elderly	0.00227327278593742
55	Bacteroides fragilis	Elderly	0.00700034327117715
56	Bacteroides eggerthii	Elderly	0.00136978456433489
57	Vescimonas sp900545585	Elderly	0.000909337200709214
58	Alistipes shahii	Elderly	0.00432191809216047
59	CAG-170 sp002404795	Elderly	0.000592038861150825
60	CAG-170 sp900548625	Elderly	0.000687342814830393
61	Vescimonas sp001916855	Elderly	0.0020061436609256
62	Parabacteroides goldsteinii	Elderly	0.00149717013330673
63	Desulfovibrio sp900556755	Elderly	0.00182211497736354
64	Faecousia sp000434635	Elderly	0.000333546283919585
65	CAG-170 sp900545925	Elderly	0.00157033503401704
66	Alistipes onderdonkii	Elderly	0.0042722052805454
67	Vescimonas sp000435975	Elderly	0.00220063450399421
68	Coprenecus sp944326235	Elderly	0.00108410441555372
69	Alistipes_A ihumii	Elderly	0.000632581484634641
70	CAG-170 sp000432135	Elderly	0.00590822722877982
71	Anaerobutyricum hallii	Offspring	0.00723308562954586
72	Fusicatenibacter saccharivorans	Offspring	0.00472402104603137
73	Anaerostipes hadrus	Offspring	0.00199156788942337
74	Blautia_A massiliensis	Offspring	0.00892166919548653
75	Hominisplanchenecus faecis	Offspring	0.00229387261570366
76	Oliverpabstia intestinalis	Offspring	0.00161625619050893
77	Blautia_A sp905209435	Offspring	0.0010247662790631
78	Mediterraneibacter faecis	Offspring	0.0129779031124458
79	Blautia_A sp000436615	Offspring	0.000700324917080025
80	Schaedlerella sp900066545	Offspring	0.000431312165946896
81	Blautia_A wexlerae	Offspring	0.0166418105371182
82	Sg_K15_44	Offspring	0.00352290758071452
