	rab.all	rab.win.C	rab.win.L	diff.btw	diff.win	effect	overlap	we.ep	we.eBH	wi.ep	wi.eBH
Gp_MJ3_477	0.850043448138632	0.89282085603475	0.731653677505244	-0.192743437287024	2.14520949546717	-0.0759832371769414	0.46094750341575	0.792649556104806	0.846298078585291	0.426542257406819	0.543732795279517
Gp_MJ4_197	-3.31200526886946	-4.15968563037754	-1.61017724578451	2.23105268608313	4.53481601430323	0.449488555602389	0.301408451992768	0.00000903658738222637	0.0000967565260962453	0.0000160753724649275	0.000207999225597842
Sg_A11_12	1.0782413914919	1.36843761233709	0.500788427147588	-0.831117308210593	4.13819696192329	-0.183098422509698	0.410755442245112	0.0403220173072787	0.0869393514389599	0.0688136982033208	0.131646925072079
Sg_A11_2	1.63043740486372	1.80872852701777	1.16069117818212	-0.390759460628933	4.75848106538329	-0.0715608838119003	0.468237705092401	0.658810757382174	0.754225303838434	0.456164735162348	0.570618833839985
Sg_A19_11	-4.74604366414536	-4.73665872676242	-4.76814313046839	-0.0666351377397731	5.65837200911256	-0.00891738264356275	0.493596311510429	0.812603031135886	0.858973752609244	0.864813228361222	0.904918209000889
Sg_A20_2	-0.47365577242453	-0.783641634283617	0.217823184007724	0.608949790893235	4.48710498918156	0.129752222396797	0.443135246216629	0.174102440969264	0.275111903683308	0.231336675718798	0.344579704897316
Sg_A20_35	-3.57994452656571	-3.65972592811718	-3.49024605889923	0.336032093006722	6.09684662885499	0.0480688960891901	0.474263764545627	0.629070931083599	0.725927844890008	0.697917598708881	0.774876609388881
Sg_A22_19	-0.872173171426388	-0.8934113375454	-0.81385427826683	0.699257813756605	4.87286309963317	0.137068887062826	0.432010243656401	0.0628009133428071	0.119477839096565	0.153409089570626	0.24775150415815
Sg_A22_3	-4.82322974721655	-5.28161107194402	-4.45262128776071	1.0183272756865	4.07062123156976	0.208977993499367	0.390625000628077	0.0154222584259947	0.0373767410216174	0.0209822333503649	0.0486548592980892
Sg_A22_8	3.53804487974444	2.99684474944965	4.48416818660743	1.24882605355821	3.28543382372064	0.357348163105327	0.345454546388321	0.00147757001727988	0.00624883161717541	0.00101088924598496	0.00515032585741304
Sg_A27_23	-0.506734248762689	-0.599044911589637	-0.030549528894138	0.57893234409485	4.7499776151481	0.111731647024742	0.445838668673376	0.29485234306651	0.411499983361938	0.208609460409913	0.319757688922053
Sg_A27_31	1.41551304606136	0.728777756313698	2.55056436246232	1.85060173223487	3.94962632074762	0.450472261286138	0.308913935649714	0.0000273293528857667	0.000239168061422416	0.0000425456022005876	0.000412101107759953
Sg_A28_8	0.39640269151099	-0.800583655570642	2.08591331784527	2.04917484860479	6.11157371646366	0.302552235018352	0.373463115493298	0.0158289192814424	0.0396755825253533	0.00649277323632274	0.0199905998468891
Sg_B03_29	2.27540489315059	2.23266105021608	2.31466900709492	-0.630959640902169	5.63503200649943	-0.111792832510132	0.446862996452473	0.181377371263657	0.284802387265534	0.249291839557387	0.363690960944101
Sg_B04_2	1.4885720057182	0.203389079611331	2.79043886597993	2.22443037986807	3.69278416078233	0.547451599626997	0.274263765954035	0.00000228096920491605	0.0000333151482093398	0.00000144667703116294	0.0000483204151583284
Sg_B07_38	-0.97418285816523	-0.70016360092561	-1.16541203444799	-0.709503550605498	2.71500240039509	-0.233821978834716	0.381306018613115	0.000744848122877194	0.00370470357951156	0.00986870529939172	0.027429907707585
Sg_B07_50	-2.13120073083306	-0.654416295791638	-3.51785967044602	-2.60117802454444	3.75174523718115	-0.595740092900975	0.248463116595415	0.000000000212574479349938	0.0000000544190667135842	0.000000124459085471873	0.000014789530391963
Sg_B07_53	1.27698153370831	1.83627048442467	0.151581456326709	-1.68980221587756	5.04931613697404	-0.3196638929235	0.347503201943168	0.000875719437888849	0.00421290223289424	0.000850332312412746	0.00455746653012822
Sg_B07_62	-2.35449458153989	-1.67792039370119	-3.28346725063338	-1.55190591568951	3.63480889364865	-0.389203389152834	0.319846351963654	0.0000473026160143121	0.000370313891346993	0.000123319512879325	0.000959689948940029
Sg_B08_36	-0.219582789807749	-0.11045450402167	-0.427872905768585	-0.257335386140471	3.25071022030916	-0.0704364829210177	0.466188524775882	0.70464843611563	0.783922918278373	0.494088883395858	0.604347156850601
Sg_B14_1	-2.43642621226937	-2.84277544907715	-1.49237952008939	0.775423869074842	6.48769064094935	0.108381504303528	0.452240717292849	0.378023490093463	0.495372095205006	0.295143610336228	0.411313985619009
Sg_B14_13	0.834244040935476	0.605621921183848	1.07957652693528	0.337778813543617	4.10735486314793	0.0761911439288008	0.461715749250144	0.600733094841523	0.711597598113118	0.41603239927871	0.533438446080554
Sg_B15_22	-0.975760918801967	-1.62698392222278	-0.821987311187492	0.920727248479594	5.16157110075148	0.163382740005312	0.431096311859443	0.0703919308858017	0.130013088181788	0.122263422311784	0.208189835403909
Sg_B15_23	1.92862058815227	1.93280080648133	1.91179279444743	0.0389588129122278	3.47148541261544	0.0112029650056311	0.496157786906255	0.665259318478251	0.758718352441255	0.978991857526176	0.983519209179466
