	MAG	Group	Effect	p_value
1	Sg_A27_31	CvsE	-0.557706315126937	0.00000835048811265205
2	Sg_B04_2	CvsE	-0.548673202376648	0.00000963711094414651
3	Sg_D18_45	CvsE	-0.522981991925702	0.00000889770396962716
4	Sg_M12_6	CvsE	-0.519923633545997	0.00000887251595538949
5	Sg_A11_10	CvsE	-0.51748674488964	0.0000105369184264431
6	Sg_YB37_28	CvsE	-0.517422911640298	0.00000838236858788082
7	Sg_OB03r2_39	CvsE	-0.511282389412188	0.0000082608527480681
8	Sg_OB24r1_18	CvsE	-0.495266068428937	0.0000152957699447652
9	Gp_MJ4_197	CvsE	-0.489727171082666	0.0000209338922759053
10	Gp_NH_148	CvsE	-0.48658609244096	0.0000124044679138992
11	Sg_K36_16	CvsE	-0.48584151230202	0.0000268518418339597
12	Sg_K15_44	CvsE	-0.482992698941122	0.0000179192625255211
13	Sg_M02_5	CvsE	-0.48040779450533	0.0000105695458260465
14	Sg_P27_36	CvsE	-0.478970586265684	0.0000252577849444542
15	Sg_OA11r1_9	CvsE	-0.474641874580173	0.0000170103772233645
16	Sg_M17_3	CvsE	0.228301379965128	0.0161318330192178
17	Sg_M07_4	CvsE	0.230739313679526	0.0369439474436788
18	Sg_M01_13	CvsE	0.233451931750798	0.0168068345297659
19	Sg_CA40A_55	CvsE	0.23910034277406	0.00048753541087633
20	Sg_CM35A_15	CvsE	0.261612591723983	0.0113019217016886
21	Sg_M15_10	CvsE	0.267813274806162	0.0134805995814757
22	Sg_M11_7	CvsE	0.268032518863306	0.0000364747001936504
23	Sg_CM21_15	CvsE	0.278297916578575	0.00538291889973128
24	Sg_Z07_36	CvsE	0.278321104566459	0.0106807807479898
25	Sg_B26_35	CvsE	0.27944035244842	0.00765932156589996
26	Sg_CK52A_74	CvsE	0.285244488869483	0.00488321637904205
27	Sg_CG50A_22	CvsE	0.295463638657375	0.000244965150533512
28	Sg_M01_30	CvsE	0.296071366897109	0.00225884644798091
29	Sg_B07_62	CvsE	0.301817127934096	0.00587225713558923
30	Sg_EM03_7	CvsE	0.302128087098474	0.00216658289025465
31	Sg_CK05A_46	CvsE	0.305612596602483	0.00110367169850531
32	Sg_G26_10	CvsE	0.320595326697212	0.00544953816963653
33	Sg_Z17_26	CvsE	0.323022012514585	0.00299905466120507
34	Sg_CM33A_60	CvsE	0.325452650971662	0.000584510431452994
35	Sg_M07_27	CvsE	0.325706102083682	0.000895192339780462
36	Sg_A27_31	CvsL	-0.450472261286138	0.000239168061422416
37	Sg_B04_2	CvsL	-0.547451599626997	0.0000333151482093398
38	Sg_D18_45	CvsL	-0.403883581325877	0.000439192344388837
39	Sg_M12_6	CvsL	-0.425132137536118	0.000329592341127053
40	Sg_A11_10	CvsL	-0.472832334530079	0.0000203192867559696
41	Sg_YB37_28	CvsL	-0.546084707194086	0.00000964820373621815
42	Sg_OB03r2_39	CvsL	-0.405518861800204	0.000322888188623686
43	Sg_OB24r1_18	CvsL	-0.460758896109167	0.000202889943011947
44	Gp_MJ4_197	CvsL	-0.449488555602389	0.0000967565260962453
45	Gp_NH_148	CvsL	-0.35097035559001	0.00130218790381124
46	Sg_K36_16	CvsL	-0.474439435768849	0.000086240119688713
47	Sg_K15_44	CvsL	-0.4451320512032	0.000191873586133993
48	Sg_M02_5	CvsL	-0.451314231832752	0.000132070538844605
49	Sg_P27_36	CvsL	-0.340878441327215	0.0052859480778723
50	Sg_OA11r1_9	CvsL	-0.414162982297985	0.000683734081409314
51	Sg_M17_3	CvsL	0.278673444040973	0.0177796173493815
52	Sg_M07_4	CvsL	0.297709169669881	0.0157546808582518
53	Sg_M01_13	CvsL	0.330312546915103	0.00152501708656197
54	Sg_CA40A_55	CvsL	0.344381541645341	0.00000215462864953802
55	Sg_CM35A_15	CvsL	0.565609735300769	0.000000301848215513949
56	Sg_M15_10	CvsL	0.244890656955832	0.0241813840265084
57	Sg_M11_7	CvsL	0.458953757010725	0.000000332634798771054
58	Sg_CM21_15	CvsL	0.275310534785221	0.0306663932007954
59	Sg_Z07_36	CvsL	0.590004488097586	0.000000555099622861528
60	Sg_B26_35	CvsL	0.262580784615344	0.022487761543382
61	Sg_CK52A_74	CvsL	0.269238053808666	0.0426063972968787
62	Sg_CG50A_22	CvsL	0.432795825091135	0.00000177518012841555
63	Sg_M01_30	CvsL	0.411120442579316	0.00013200365781236
64	Sg_B07_62	CvsL	0.389203389152834	0.000370313891346993
65	Sg_EM03_7	CvsL	0.245402201954842	0.027536482910833
66	Sg_CK05A_46	CvsL	0.375981179418516	0.000111290023060724
67	Sg_G26_10	CvsL	0.293517398779178	0.0180593693896008
68	Sg_Z17_26	CvsL	0.318194441522692	0.0113327643763884
69	Sg_CM33A_60	CvsL	0.284716388484539	0.00397947757945416
70	Sg_M07_27	CvsL	0.410772927723868	0.0000695557804336658
71	Sg_A27_31	CvsY	-0.921333956011083	0.00000000000000747295529029257
72	Sg_B04_2	CvsY	-0.940195397425734	0.000000000000014858236058159
73	Sg_D18_45	CvsY	-0.865605602412335	0.000000000000117394683550333
74	Sg_M12_6	CvsY	-1.03578457361024	0.000000000000000000919091780321737
75	Sg_A11_10	CvsY	-0.73623012774506	0.0000000000494375394002078
76	Sg_YB37_28	CvsY	-1.02032681645453	0.000000000000000269281720976473
77	Sg_OB03r2_39	CvsY	-1.09123960714706	0.00000000000000000117222611640355
78	Sg_OB24r1_18	CvsY	-0.870858052747339	0.0000000000000448009815316551
79	Gp_MJ4_197	CvsY	-0.814325234756606	0.00000000000056812484129192
80	Gp_NH_148	CvsY	-0.668434298258592	0.000000000157158419572868
81	Sg_K36_16	CvsY	-1.1690785885877	0.0000000000000000000278489824634664
82	Sg_K15_44	CvsY	-1.12585379264657	0.000000000000000000287986255445268
83	Sg_M02_5	CvsY	-0.937991110940117	0.0000000000000124327891048993
84	Sg_P27_36	CvsY	-0.7663936999852	0.000000000111118270878415
85	Sg_OA11r1_9	CvsY	-0.765825359515492	0.0000000000394256365041476
86	Sg_M17_3	CvsY	0.315902683618657	0.000306535966379023
87	Sg_M07_4	CvsY	0.605969144311327	0.0000000416731490783225
88	Sg_M01_13	CvsY	0.563453984308909	0.0000000434178120125364
89	Sg_CA40A_55	CvsY	0.476173020165218	0.000000000391845270711185
90	Sg_CM35A_15	CvsY	0.526685566211456	0.000000015825686067523
91	Sg_M15_10	CvsY	0.657092866415201	0.000000000312689391990982
92	Sg_M11_7	CvsY	0.425424620274088	0.00000000232810983840596
93	Sg_CM21_15	CvsY	0.483645779601092	0.0000105377148464693
94	Sg_Z07_36	CvsY	0.664996025862942	0.000000000457587675287447
95	Sg_B26_35	CvsY	0.486723069572986	0.00000242727878378406
96	Sg_CK52A_74	CvsY	0.543091245878393	0.000000307702989126907
97	Sg_CG50A_22	CvsY	0.422000379107208	0.000000161893994677528
98	Sg_M01_30	CvsY	0.543263422284608	0.0000000419233080156445
99	Sg_B07_62	CvsY	0.577882384034115	0.000000522262424738194
100	Sg_EM03_7	CvsY	0.465941765864481	0.00000541169668783808
101	Sg_CK05A_46	CvsY	0.610228643542566	0.0000000000130409091316479
102	Sg_G26_10	CvsY	0.682177292493737	0.00000000421741249280841
103	Sg_Z17_26	CvsY	0.676106825323845	0.0000000176176999429176
104	Sg_CM33A_60	CvsY	0.567509109251751	0.00000000212699024487535
105	Sg_M07_27	CvsY	0.559822189315761	0.000000290436098842881
106	Sg_A27_31	EvsY	-0.357398819593089	0.00735542077675614
107	Sg_B04_2	EvsY	-0.381765134695337	0.00547750235521991
108	Sg_D18_45	EvsY	-0.282511664996937	0.0188699764829297
109	Sg_M12_6	EvsY	-0.377423871799708	0.00266435074610363
110	Sg_A11_10	EvsY	-0.218408945679424	0.0828915504022748
111	Sg_YB37_28	EvsY	-0.45839504545878	0.00212461594306894
112	Sg_OB03r2_39	EvsY	-0.557333579261496	0.000129537996957507
113	Sg_OB24r1_18	EvsY	-0.340534865373004	0.0152032767403685
114	Gp_MJ4_197	EvsY	-0.343982760881315	0.00341603908132032
115	Gp_NH_148	EvsY	-0.106251533948697	0.454660607965925
116	Sg_K36_16	EvsY	-0.5798626178941	0.0000300072043518947
117	Sg_K15_44	EvsY	-0.584251407512312	0.0000342563494716429
118	Sg_M02_5	EvsY	-0.374966070972957	0.00720974699904657
119	Sg_P27_36	EvsY	-0.301326228719952	0.0266797817834716
120	Sg_OA11r1_9	EvsY	-0.286464263201772	0.0380852785504476
121	Sg_M17_3	EvsY	0.0317298054192592	0.467957038452685
122	Sg_M07_4	EvsY	0.391740670028684	0.00334808737533714
123	Sg_M01_13	EvsY	0.293106370175011	0.012252203189408
124	Sg_CA40A_55	EvsY	0.175931174491706	0.0213171987247438
125	Sg_CM35A_15	EvsY	0.219458813485045	0.0192370565927628
126	Sg_M15_10	EvsY	0.385946227005982	0.00291148230538095
127	Sg_M11_7	EvsY	0.140992589199759	0.0557112582515894
128	Sg_CM21_15	EvsY	0.185922434822497	0.189817331609779
129	Sg_Z07_36	EvsY	0.308796083815469	0.00461510229237687
130	Sg_B26_35	EvsY	0.0977946802905222	0.216732723976294
131	Sg_CK52A_74	EvsY	0.296627593995054	0.0306887211045517
132	Sg_CG50A_22	EvsY	0.19907165350824	0.0672682389816648
133	Sg_M01_30	EvsY	0.225383427243173	0.0364676162824679
134	Sg_B07_62	EvsY	0.239170419196017	0.0664574905097854
135	Sg_EM03_7	EvsY	0.147791525979827	0.335005242882746
136	Sg_CK05A_46	EvsY	0.295050579032175	0.00370773671262428
137	Sg_G26_10	EvsY	0.358911865545033	0.00809189164652975
138	Sg_Z17_26	EvsY	0.342151726615426	0.0165228923317814
139	Sg_CM33A_60	EvsY	0.230514799122641	0.058873087335902
140	Sg_M07_27	EvsY	0.180424116315069	0.238058187583276
