	OTU	p	methods
116	Sg_M07_39	0.00000000017321769407078	Aldex2
117	Sg_M07_4	0.0000000509315566498538	Aldex2
118	Sg_M11_5	0.000084044733198309	Aldex2
119	Sg_M11_7	0.0000547186450861315	Aldex2
120	Sg_M12_21	0.00329653325864784	Aldex2
121	Sg_M12_39	0.0000266257456864691	Aldex2
122	Sg_M12_6	0.0000000000000299555193551081	Aldex2
123	Sg_M15_10	0.0000000424130155136732	Aldex2
124	Sg_M15_29	0.00452296339485128	Aldex2
125	Sg_M17_3	0.00561730630249624	Aldex2
126	Sg_M17_33	0.000000123149287500779	Aldex2
127	Sg_OA11r1_10	0.00000256590955160043	Aldex2
128	Sg_OA11r1_9	0.0000000000147817934594507	Aldex2
129	Sg_OA7r2_4	0.000385761038902472	Aldex2
130	Sg_OB03r2_1	0.000000661499596612552	Aldex2
131	Sg_OB03r2_39	0.0000000000000025451925941162	Aldex2
132	Sg_OB03r2_6	0.000000000331927128175832	Aldex2
133	Sg_OB05r2_32	0.00260818414269121	Aldex2
134	Sg_OB05r2_38	0.000000000972361983786861	Aldex2
135	Sg_OB05r2_8	0.020753395029765	Aldex2
136	Sg_OB24r1_18	0.000000000013309064012483	Aldex2
137	Sg_OG24B2A_25	0.0250269427072734	Aldex2
138	Sg_OG24B2A_8	0.00000000248949678039407	Aldex2
139	Sg_OM21r1_55	0.000000000062666317854215	Aldex2
140	Sg_P15_12	0.0000018951569558462	Aldex2
141	Sg_P15_2	0.0158288874505001	Aldex2
142	Sg_P22_10	0.0000141889037272157	Aldex2
143	Sg_P27_36	0.00000000198044521315479	Aldex2
144	Sg_Y07_14	0.00000848647962836656	Aldex2
145	Sg_Y19_13	0.0000802215255620425	Aldex2
146	Sg_YA03_20	0.00159390606625534	Aldex2
147	Sg_YA04_9	0.000000985271434317605	Aldex2
148	Sg_YA12_28	0.00000000456927495195148	Aldex2
149	Sg_YA12_4	0.0000295988032400191	Aldex2
150	Sg_YA13_10	0.0460511901365789	Aldex2
151	Sg_YB34_1	0.00000000000514443757817762	Aldex2
152	Sg_YB35_19	0.00000000000382515866618898	Aldex2
153	Sg_YB35_7	0.00112855046856477	Aldex2
154	Sg_YB36_42	0.000000000000024542435384317	Aldex2
155	Sg_YB37_28	0.0000000000000284549484043237	Aldex2
156	Sg_YB38_12	0.0000000015429310469278	Aldex2
157	Sg_YB38_6	0.00000649192660799513	Aldex2
158	Sg_YB39_24	0.0000000181091436978724	Aldex2
159	Sg_YB41_11	0.0000000000000207747735947082	Aldex2
160	Sg_YB41_12	0.00000000487970093412407	Aldex2
161	Sg_YB59_31	0.0000112882590764945	Aldex2
162	Sg_Z02_43	0.00000836912685067129	Aldex2
163	Sg_Z03_24	0.00000000000964282964596235	Aldex2
164	Sg_Z06_28	0.00188425230252535	Aldex2
165	Sg_Z07_36	0.0000000348185143563399	Aldex2
166	Sg_Z07_42	0.000000000000286656685724907	Aldex2
167	Sg_Z09_20	0.000304368761830241	Aldex2
168	Sg_Z10_1	0.000000000715846972846793	Aldex2
169	Sg_Z12_45	0.00000000013312938084802	Aldex2
170	Sg_Z14_36	0.0000127525597730778	Aldex2
171	Sg_Z14_45	0.00506946160853149	Aldex2
172	Sg_Z15_39	0.00058147580251429	Aldex2
173	Sg_Z15_51	0.000250018831429088	Aldex2
174	Sg_Z17_26	0.0000000146811344870435	Aldex2
175	Gp_MJ1_12	0.0000000000189979247766214	Aldex2
176	Gp_MJ4_65	0.0000918230572390815	Aldex2
177	Gp_MJ1_272	0.0000328306796615728	Aldex2
178	Gp_NH_148	0.0000000032930196983072	Aldex2
179	Gp_meta27_16	0.000000503695179475345	Aldex2
180	Gp_MJ1_444	0.0000000000240741251623714	Aldex2
181	Sg_B07_12	0.000000298958761767944	Aldex2
182	Gp_MJ3_423	0.00591333009614574	Aldex2
183	Sg_A11_10	0.00000000109389613530743	Aldex2
184	Sg_C04_33	0.000000368909001081127	Aldex2
185	Sg_CM21_15	0.0000086267505615485	Aldex2
186	Sg_B26_4	0.000000391330468159595	Aldex2
187	Sg_CG50A_22	0.0000481757668847233	Aldex2
188	Sg_A34_19	0.00480476711116746	Aldex2
189	Sg_EB03_22	0.00626953410097551	Aldex2
190	Gp_meta27_511	0.00149101405728284	Aldex2
191	Sg_A01_16	0.0000782552589596552	Aldex2
192	Sg_B26_35	0.0000274380010314859	Aldex2
193	Sg_G11_20	0.000485829960773805	Aldex2
194	Sg_M02_8	0.00000000278697632489322	Aldex2
195	Sg_G18_1	0.0000000000123056790900689	Aldex2
196	Sg_M21_45	0.0000849201261321887	Aldex2
