edge_id	source	target	corr	weight	p	p.adjust	cor_type	pairs
edge_1491	Sg_YB46_3	Sg_B08_36	0.5471	0.5471	0.001	0.001	Positive	Sg_YB46_3__Sg_B08_36__Positive
edge_1492	Sg_YB46_3	Sg_B14_13	0.529	0.529	0.001	0.001	Positive	Sg_YB46_3__Sg_B14_13__Positive
edge_1493	Sg_YB46_3	Sg_B15_23	0.6982	0.6982	0.001	0.001	Positive	Sg_YB46_3__Sg_B15_23__Positive
edge_1494	Sg_YB46_3	Sg_CD24A_10	0.4742	0.4742	0.001	0.001	Positive	Sg_YB46_3__Sg_CD24A_10__Positive
edge_1495	Sg_YB46_3	Sg_CK05A_18	0.4971	0.4971	0.001	0.001	Positive	Sg_YB46_3__Sg_CK05A_18__Positive
edge_1496	Sg_YB46_3	Sg_CM21_57	0.6536	0.6536	0.001	0.001	Positive	Sg_YB46_3__Sg_CM21_57__Positive
edge_1497	Sg_YB46_3	Sg_D10_17	0.7289	0.7289	0.001	0.001	Positive	Sg_YB46_3__Sg_D10_17__Positive
edge_1498	Sg_YB46_3	Sg_EB13_4	0.6773	0.6773	0.001	0.001	Positive	Sg_YB46_3__Sg_EB13_4__Positive
edge_1499	Sg_YB46_3	Sg_EM12_46	0.3662	0.3662	0.001	0.001	Positive	Sg_YB46_3__Sg_EM12_46__Positive
edge_1500	Sg_YB46_3	Sg_G26_22	0.5681	0.5681	0.001	0.001	Positive	Sg_YB46_3__Sg_G26_22__Positive
edge_1501	Sg_YB46_3	Sg_M12_21	0.6531	0.6531	0.001	0.001	Positive	Sg_YB46_3__Sg_M12_21__Positive
edge_1502	Sg_YB46_3	Sg_M12_39	0.5308	0.5308	0.001	0.001	Positive	Sg_YB46_3__Sg_M12_39__Positive
edge_1503	Sg_YB46_3	Sg_M15_29	0.6196	0.6196	0.001	0.001	Positive	Sg_YB46_3__Sg_M15_29__Positive
edge_1504	Sg_YB46_3	Sg_P27_4	0.5238	0.5238	0.001	0.001	Positive	Sg_YB46_3__Sg_P27_4__Positive
edge_1505	Sg_YB50_23	Gp_YAB_333	0.7407	0.7407	0.001	0.001	Positive	Sg_YB50_23__Gp_YAB_333__Positive
edge_1506	Sg_YB50_23	Sg_A20_2	0.5937	0.5937	0.001	0.001	Positive	Sg_YB50_23__Sg_A20_2__Positive
edge_1507	Sg_YB50_23	Sg_A20_35	0.7284	0.7284	0.001	0.001	Positive	Sg_YB50_23__Sg_A20_35__Positive
edge_1508	Sg_YB50_23	Sg_A27_23	0.7509	0.7509	0.001	0.001	Positive	Sg_YB50_23__Sg_A27_23__Positive
edge_1509	Sg_YB50_23	Sg_A28_8	0.7426	0.7426	0.001	0.001	Positive	Sg_YB50_23__Sg_A28_8__Positive
edge_1510	Sg_YB50_23	Sg_CD25A_53	0.5483	0.5483	0.001	0.001	Positive	Sg_YB50_23__Sg_CD25A_53__Positive
edge_1511	Sg_YB50_23	Sg_CG50A_49	0.6991	0.6991	0.001	0.001	Positive	Sg_YB50_23__Sg_CG50A_49__Positive
edge_1512	Sg_YB50_23	Sg_CM17_16	0.7004	0.7004	0.001	0.001	Positive	Sg_YB50_23__Sg_CM17_16__Positive
edge_1513	Sg_YB50_23	Sg_EM30_38	0.6125	0.6125	0.001	0.001	Positive	Sg_YB50_23__Sg_EM30_38__Positive
edge_1514	Sg_YB50_23	Sg_G43_29	0.4629	0.4629	0.001	0.001	Positive	Sg_YB50_23__Sg_G43_29__Positive
edge_1515	Sg_YB50_23	Sg_K10_28	0.7027	0.7027	0.001	0.001	Positive	Sg_YB50_23__Sg_K10_28__Positive
edge_1516	Sg_YB50_23	Sg_M03_38	0.6666	0.6666	0.001	0.001	Positive	Sg_YB50_23__Sg_M03_38__Positive
edge_1517	Sg_YB50_23	Sg_OA11r1_12	0.7608	0.7608	0.001	0.001	Positive	Sg_YB50_23__Sg_OA11r1_12__Positive
edge_1518	Sg_YB50_23	Sg_OA7r2_4	0.4639	0.4639	0.001	0.001	Positive	Sg_YB50_23__Sg_OA7r2_4__Positive
edge_1519	Sg_YB50_23	Sg_X05_3	0.6522	0.6522	0.001	0.001	Positive	Sg_YB50_23__Sg_X05_3__Positive
edge_1520	Sg_YB50_23	Sg_YA31_31	0.7254	0.7254	0.001	0.001	Positive	Sg_YB50_23__Sg_YA31_31__Positive
edge_1521	Sg_YB59_31	Sg_K36_6	0.5011	0.5011	0.001	0.001	Positive	Sg_YB59_31__Sg_K36_6__Positive
edge_1522	Sg_YB59_31	Sg_OB05r2_32	0.4542	0.4542	0.001	0.001	Positive	Sg_YB59_31__Sg_OB05r2_32__Positive
edge_1523	Sg_YB59_31	Sg_YB38_12	0.5685	0.5685	0.001	0.001	Positive	Sg_YB59_31__Sg_YB38_12__Positive
edge_1524	Sg_Z02_43	Gp_MJ2_113	0.4767	0.4767	0.001	0.001	Positive	Sg_Z02_43__Gp_MJ2_113__Positive
edge_1525	Sg_Z02_43	Gp_MJ3_477	0.4331	0.4331	0.001	0.001	Positive	Sg_Z02_43__Gp_MJ3_477__Positive
edge_1526	Sg_Z02_43	Sg_B14_13	0.5864	0.5864	0.001	0.001	Positive	Sg_Z02_43__Sg_B14_13__Positive
edge_1527	Sg_Z02_43	Sg_B15_23	0.6764	0.6764	0.001	0.001	Positive	Sg_Z02_43__Sg_B15_23__Positive
edge_1528	Sg_Z02_43	Sg_CA25_21	0.5631	0.5631	0.001	0.001	Positive	Sg_Z02_43__Sg_CA25_21__Positive
edge_1529	Sg_Z02_43	Sg_CD30A_34	0.7312	0.7312	0.001	0.001	Positive	Sg_Z02_43__Sg_CD30A_34__Positive
edge_1530	Sg_Z02_43	Sg_CE19A_29	0.5399	0.5399	0.001	0.001	Positive	Sg_Z02_43__Sg_CE19A_29__Positive
edge_1531	Sg_Z02_43	Sg_CM21_57	0.6429	0.6429	0.001	0.001	Positive	Sg_Z02_43__Sg_CM21_57__Positive
edge_1532	Sg_Z02_43	Sg_D10_17	0.6108	0.6108	0.001	0.001	Positive	Sg_Z02_43__Sg_D10_17__Positive
edge_1533	Sg_Z02_43	Sg_EB13_4	0.6463	0.6463	0.001	0.001	Positive	Sg_Z02_43__Sg_EB13_4__Positive
edge_1534	Sg_Z02_43	Sg_G26_22	0.6156	0.6156	0.001	0.001	Positive	Sg_Z02_43__Sg_G26_22__Positive
edge_1535	Sg_Z02_43	Sg_M12_21	0.6882	0.6882	0.001	0.001	Positive	Sg_Z02_43__Sg_M12_21__Positive
edge_1536	Sg_Z02_43	Sg_M12_39	0.6306	0.6306	0.001	0.001	Positive	Sg_Z02_43__Sg_M12_39__Positive
edge_1537	Sg_Z02_43	Sg_M15_29	0.6458	0.6458	0.001	0.001	Positive	Sg_Z02_43__Sg_M15_29__Positive
edge_1538	Sg_Z02_43	Sg_OG24B2A_8	0.6527	0.6527	0.001	0.001	Positive	Sg_Z02_43__Sg_OG24B2A_8__Positive
edge_1539	Sg_Z02_43	Sg_YB46_3	0.5117	0.5117	0.001	0.001	Positive	Sg_Z02_43__Sg_YB46_3__Positive
edge_1540	Sg_Z03_24	Sg_A22_8	-0.6789	0.6789	0.001	0.001	Negative	Sg_Z03_24__Sg_A22_8__Negative
edge_1541	Sg_Z03_24	Sg_A27_31	-0.6343	0.6343	0.001	0.001	Negative	Sg_Z03_24__Sg_A27_31__Negative
edge_1542	Sg_Z03_24	Sg_B15_35	-0.5974	0.5974	0.001	0.001	Negative	Sg_Z03_24__Sg_B15_35__Negative
edge_1543	Sg_Z03_24	Sg_CA11_52	-0.5584	0.5584	0.001	0.001	Negative	Sg_Z03_24__Sg_CA11_52__Negative
edge_1544	Sg_Z03_24	Sg_CA9_20	-0.6059	0.6059	0.001	0.001	Negative	Sg_Z03_24__Sg_CA9_20__Negative
edge_1545	Sg_Z03_24	Sg_CM17_7	0.5092	0.5092	0.001	0.001	Positive	Sg_Z03_24__Sg_CM17_7__Positive
edge_1546	Sg_Z03_24	Sg_CM31A_43	-0.554	0.554	0.001	0.001	Negative	Sg_Z03_24__Sg_CM31A_43__Negative
edge_1547	Sg_Z03_24	Sg_D02_32	-0.6277	0.6277	0.001	0.001	Negative	Sg_Z03_24__Sg_D02_32__Negative
edge_1548	Sg_Z03_24	Sg_E04_12	-0.5345	0.5345	0.001	0.001	Negative	Sg_Z03_24__Sg_E04_12__Negative
edge_1549	Sg_Z03_24	Sg_EA57_9	-0.6	0.6	0.001	0.001	Negative	Sg_Z03_24__Sg_EA57_9__Negative
edge_1550	Sg_Z03_24	Sg_EB08_12	-0.4828	0.4828	0.001	0.001	Negative	Sg_Z03_24__Sg_EB08_12__Negative
edge_1551	Sg_Z03_24	Sg_EM12_46	0.657	0.657	0.001	0.001	Positive	Sg_Z03_24__Sg_EM12_46__Positive
edge_1552	Sg_Z03_24	Sg_G09_4	0.5998	0.5998	0.001	0.001	Positive	Sg_Z03_24__Sg_G09_4__Positive
edge_1553	Sg_Z03_24	Sg_G26_10	0.5448	0.5448	0.001	0.001	Positive	Sg_Z03_24__Sg_G26_10__Positive
edge_1554	Sg_Z03_24	Sg_G39_28	0.6037	0.6037	0.001	0.001	Positive	Sg_Z03_24__Sg_G39_28__Positive
edge_1555	Sg_Z03_24	Sg_I12_44	0.7943	0.7943	0.001	0.001	Positive	Sg_Z03_24__Sg_I12_44__Positive
edge_1556	Sg_Z03_24	Sg_K09_1	-0.6078	0.6078	0.001	0.001	Negative	Sg_Z03_24__Sg_K09_1__Negative
edge_1557	Sg_Z03_24	Sg_K15_44	-0.7046	0.7046	0.001	0.001	Negative	Sg_Z03_24__Sg_K15_44__Negative
edge_1558	Sg_Z03_24	Sg_K36_16	-0.656	0.656	0.001	0.001	Negative	Sg_Z03_24__Sg_K36_16__Negative
edge_1559	Sg_Z03_24	Sg_K36_27	-0.5674	0.5674	0.001	0.001	Negative	Sg_Z03_24__Sg_K36_27__Negative
edge_1560	Sg_Z03_24	Sg_K36_29	-0.6048	0.6048	0.001	0.001	Negative	Sg_Z03_24__Sg_K36_29__Negative
edge_1561	Sg_Z03_24	Sg_M07_39	0.6868	0.6868	0.001	0.001	Positive	Sg_Z03_24__Sg_M07_39__Positive
edge_1562	Sg_Z03_24	Sg_M12_6	-0.6506	0.6506	0.001	0.001	Negative	Sg_Z03_24__Sg_M12_6__Negative
edge_1563	Sg_Z03_24	Sg_M15_10	0.5015	0.5015	0.001	0.001	Positive	Sg_Z03_24__Sg_M15_10__Positive
edge_1564	Sg_Z03_24	Sg_OB03r2_39	-0.7032	0.7032	0.001	0.001	Negative	Sg_Z03_24__Sg_OB03r2_39__Negative
edge_1565	Sg_Z03_24	Sg_OB24r1_18	-0.6105	0.6105	0.001	0.001	Negative	Sg_Z03_24__Sg_OB24r1_18__Negative
edge_1566	Sg_Z03_24	Sg_OM21r1_55	0.5227	0.5227	0.001	0.001	Positive	Sg_Z03_24__Sg_OM21r1_55__Positive
edge_1567	Sg_Z03_24	Sg_YB35_19	-0.635	0.635	0.001	0.001	Negative	Sg_Z03_24__Sg_YB35_19__Negative
edge_1568	Sg_Z03_24	Sg_YB36_42	-0.6439	0.6439	0.001	0.001	Negative	Sg_Z03_24__Sg_YB36_42__Negative
edge_1569	Sg_Z03_24	Sg_YB38_12	-0.6413	0.6413	0.001	0.001	Negative	Sg_Z03_24__Sg_YB38_12__Negative
edge_1570	Sg_Z06_28	Sg_B14_13	0.5668	0.5668	0.001	0.001	Positive	Sg_Z06_28__Sg_B14_13__Positive
edge_1571	Sg_Z06_28	Sg_CD24A_10	0.4975	0.4975	0.001	0.001	Positive	Sg_Z06_28__Sg_CD24A_10__Positive
edge_1572	Sg_Z06_28	Sg_CD30A_34	0.5088	0.5088	0.001	0.001	Positive	Sg_Z06_28__Sg_CD30A_34__Positive
edge_1573	Sg_Z06_28	Sg_CM21_57	0.5135	0.5135	0.001	0.001	Positive	Sg_Z06_28__Sg_CM21_57__Positive
edge_1574	Sg_Z06_28	Sg_EB13_4	0.5503	0.5503	0.001	0.001	Positive	Sg_Z06_28__Sg_EB13_4__Positive
edge_1575	Sg_Z06_28	Sg_G26_22	0.5637	0.5637	0.001	0.001	Positive	Sg_Z06_28__Sg_G26_22__Positive
edge_1576	Sg_Z06_28	Sg_K36_3	0.5297	0.5297	0.001	0.001	Positive	Sg_Z06_28__Sg_K36_3__Positive
edge_1577	Sg_Z06_28	Sg_M15_29	0.5007	0.5007	0.001	0.001	Positive	Sg_Z06_28__Sg_M15_29__Positive
edge_1578	Sg_Z07_36	Sg_B03_29	0.5167	0.5167	0.001	0.001	Positive	Sg_Z07_36__Sg_B03_29__Positive
edge_1579	Sg_Z07_36	Sg_B26_35	0.4615	0.4615	0.001	0.001	Positive	Sg_Z07_36__Sg_B26_35__Positive
edge_1580	Sg_Z07_36	Sg_B26_4	0.5872	0.5872	0.001	0.001	Positive	Sg_Z07_36__Sg_B26_4__Positive
edge_1581	Sg_Z07_36	Sg_CA25_14	0.6385	0.6385	0.001	0.001	Positive	Sg_Z07_36__Sg_CA25_14__Positive
edge_1582	Sg_Z07_36	Sg_CA40A_55	0.5983	0.5983	0.001	0.001	Positive	Sg_Z07_36__Sg_CA40A_55__Positive
edge_1583	Sg_Z07_36	Sg_CK52A_43	0.6495	0.6495	0.001	0.001	Positive	Sg_Z07_36__Sg_CK52A_43__Positive
edge_1584	Sg_Z07_36	Sg_CM17_7	0.6842	0.6842	0.001	0.001	Positive	Sg_Z07_36__Sg_CM17_7__Positive
edge_1585	Sg_Z07_36	Sg_CM29A_16	0.5961	0.5961	0.001	0.001	Positive	Sg_Z07_36__Sg_CM29A_16__Positive
edge_1586	Sg_Z07_36	Sg_E06_10	0.6132	0.6132	0.001	0.001	Positive	Sg_Z07_36__Sg_E06_10__Positive
edge_1587	Sg_Z07_36	Sg_M01_13	0.6144	0.6144	0.001	0.001	Positive	Sg_Z07_36__Sg_M01_13__Positive
edge_1588	Sg_Z07_36	Sg_M07_27	0.5608	0.5608	0.001	0.001	Positive	Sg_Z07_36__Sg_M07_27__Positive
edge_1589	Sg_Z07_36	Sg_M17_33	0.536	0.536	0.001	0.001	Positive	Sg_Z07_36__Sg_M17_33__Positive
edge_1590	Sg_Z07_42	Gp_MJ1_12	0.7182	0.7182	0.001	0.001	Positive	Sg_Z07_42__Gp_MJ1_12__Positive
edge_1591	Sg_Z07_42	Gp_MJ4_197	0.7028	0.7028	0.001	0.001	Positive	Sg_Z07_42__Gp_MJ4_197__Positive
edge_1592	Sg_Z07_42	Gp_NH_148	0.637	0.637	0.001	0.001	Positive	Sg_Z07_42__Gp_NH_148__Positive
edge_1593	Sg_Z07_42	Sg_A22_8	0.8456	0.8456	0.001	0.001	Positive	Sg_Z07_42__Sg_A22_8__Positive
edge_1594	Sg_Z07_42	Sg_A27_31	0.8084	0.8084	0.001	0.001	Positive	Sg_Z07_42__Sg_A27_31__Positive
edge_1595	Sg_Z07_42	Sg_CA9_20	0.8123	0.8123	0.001	0.001	Positive	Sg_Z07_42__Sg_CA9_20__Positive
edge_1596	Sg_Z07_42	Sg_D02_32	0.6959	0.6959	0.001	0.001	Positive	Sg_Z07_42__Sg_D02_32__Positive
edge_1597	Sg_Z07_42	Sg_D18_45	0.6968	0.6968	0.001	0.001	Positive	Sg_Z07_42__Sg_D18_45__Positive
edge_1598	Sg_Z07_42	Sg_E10_50	0.7102	0.7102	0.001	0.001	Positive	Sg_Z07_42__Sg_E10_50__Positive
edge_1599	Sg_Z07_42	Sg_EA57_9	0.6038	0.6038	0.001	0.001	Positive	Sg_Z07_42__Sg_EA57_9__Positive
edge_1600	Sg_Z07_42	Sg_EM12_46	-0.5486	0.5486	0.001	0.001	Negative	Sg_Z07_42__Sg_EM12_46__Negative
edge_1601	Sg_Z07_42	Sg_G19_41	0.5532	0.5532	0.001	0.001	Positive	Sg_Z07_42__Sg_G19_41__Positive
edge_1602	Sg_Z07_42	Sg_I05_27	-0.6641	0.6641	0.001	0.001	Negative	Sg_Z07_42__Sg_I05_27__Negative
edge_1603	Sg_Z07_42	Sg_I06_25	0.6519	0.6519	0.001	0.001	Positive	Sg_Z07_42__Sg_I06_25__Positive
edge_1604	Sg_Z07_42	Sg_K09_1	0.6861	0.6861	0.001	0.001	Positive	Sg_Z07_42__Sg_K09_1__Positive
edge_1605	Sg_Z07_42	Sg_K15_44	0.9042	0.9042	0.001	0.001	Positive	Sg_Z07_42__Sg_K15_44__Positive
edge_1606	Sg_Z07_42	Sg_K17_22	-0.6562	0.6562	0.001	0.001	Negative	Sg_Z07_42__Sg_K17_22__Negative
edge_1607	Sg_Z07_42	Sg_K22_8	0.6479	0.6479	0.001	0.001	Positive	Sg_Z07_42__Sg_K22_8__Positive
edge_1608	Sg_Z07_42	Sg_K36_16	0.9165	0.9165	0.001	0.001	Positive	Sg_Z07_42__Sg_K36_16__Positive
edge_1609	Sg_Z07_42	Sg_K36_27	0.8057	0.8057	0.001	0.001	Positive	Sg_Z07_42__Sg_K36_27__Positive
edge_1610	Sg_Z07_42	Sg_K36_29	0.8281	0.8281	0.001	0.001	Positive	Sg_Z07_42__Sg_K36_29__Positive
edge_1611	Sg_Z07_42	Sg_M02_5	0.6874	0.6874	0.001	0.001	Positive	Sg_Z07_42__Sg_M02_5__Positive
edge_1612	Sg_Z07_42	Sg_M07_4	-0.5153	0.5153	0.001	0.001	Negative	Sg_Z07_42__Sg_M07_4__Negative
edge_1613	Sg_Z07_42	Sg_M12_6	0.8469	0.8469	0.001	0.001	Positive	Sg_Z07_42__Sg_M12_6__Positive
edge_1614	Sg_Z07_42	Sg_OA11r1_9	0.5629	0.5629	0.001	0.001	Positive	Sg_Z07_42__Sg_OA11r1_9__Positive
edge_1615	Sg_Z07_42	Sg_OB03r2_39	0.8934	0.8934	0.001	0.001	Positive	Sg_Z07_42__Sg_OB03r2_39__Positive
edge_1616	Sg_Z07_42	Sg_OB05r2_38	0.7403	0.7403	0.001	0.001	Positive	Sg_Z07_42__Sg_OB05r2_38__Positive
edge_1617	Sg_Z07_42	Sg_Y07_14	0.6171	0.6171	0.001	0.001	Positive	Sg_Z07_42__Sg_Y07_14__Positive
edge_1618	Sg_Z07_42	Sg_YA04_9	0.7608	0.7608	0.001	0.001	Positive	Sg_Z07_42__Sg_YA04_9__Positive
edge_1619	Sg_Z07_42	Sg_YB34_1	0.6501	0.6501	0.001	0.001	Positive	Sg_Z07_42__Sg_YB34_1__Positive
edge_1620	Sg_Z07_42	Sg_YB35_19	0.7995	0.7995	0.001	0.001	Positive	Sg_Z07_42__Sg_YB35_19__Positive
edge_1621	Sg_Z07_42	Sg_YB36_42	0.7913	0.7913	0.001	0.001	Positive	Sg_Z07_42__Sg_YB36_42__Positive
edge_1622	Sg_Z07_42	Sg_YB37_28	0.7286	0.7286	0.001	0.001	Positive	Sg_Z07_42__Sg_YB37_28__Positive
edge_1623	Sg_Z07_42	Sg_YB38_12	0.659	0.659	0.001	0.001	Positive	Sg_Z07_42__Sg_YB38_12__Positive
edge_1624	Sg_Z07_42	Sg_YB41_11	0.6692	0.6692	0.001	0.001	Positive	Sg_Z07_42__Sg_YB41_11__Positive
edge_1625	Sg_Z07_42	Sg_Z03_24	-0.6548	0.6548	0.001	0.001	Negative	Sg_Z07_42__Sg_Z03_24__Negative
edge_1626	Sg_Z09_20	Sg_D02_32	0.4407	0.4407	0.001	0.001	Positive	Sg_Z09_20__Sg_D02_32__Positive
edge_1627	Sg_Z09_20	Sg_I05_27	-0.4767	0.4767	0.001	0.001	Negative	Sg_Z09_20__Sg_I05_27__Negative
edge_1628	Sg_Z09_20	Sg_M21_45	0.4414	0.4414	0.001	0.001	Positive	Sg_Z09_20__Sg_M21_45__Positive
edge_1629	Sg_Z10_1	Gp_NH_148	0.5259	0.5259	0.001	0.001	Positive	Sg_Z10_1__Gp_NH_148__Positive
edge_1630	Sg_Z10_1	Sg_A22_8	0.5784	0.5784	0.001	0.001	Positive	Sg_Z10_1__Sg_A22_8__Positive
edge_1631	Sg_Z10_1	Sg_A27_31	0.5563	0.5563	0.001	0.001	Positive	Sg_Z10_1__Sg_A27_31__Positive
edge_1632	Sg_Z10_1	Sg_CM17_7	-0.4973	0.4973	0.001	0.001	Negative	Sg_Z10_1__Sg_CM17_7__Negative
edge_1633	Sg_Z10_1	Sg_D02_32	0.5965	0.5965	0.001	0.001	Positive	Sg_Z10_1__Sg_D02_32__Positive
edge_1634	Sg_Z10_1	Sg_E04_12	0.5668	0.5668	0.001	0.001	Positive	Sg_Z10_1__Sg_E04_12__Positive
edge_1635	Sg_Z10_1	Sg_E10_50	0.6036	0.6036	0.001	0.001	Positive	Sg_Z10_1__Sg_E10_50__Positive
edge_1636	Sg_Z10_1	Sg_I05_27	-0.4962	0.4962	0.001	0.001	Negative	Sg_Z10_1__Sg_I05_27__Negative
edge_1637	Sg_Z10_1	Sg_K15_44	0.6528	0.6528	0.001	0.001	Positive	Sg_Z10_1__Sg_K15_44__Positive
edge_1638	Sg_Z10_1	Sg_K36_29	0.5449	0.5449	0.001	0.001	Positive	Sg_Z10_1__Sg_K36_29__Positive
edge_1639	Sg_Z10_1	Sg_OB03r2_39	0.6651	0.6651	0.001	0.001	Positive	Sg_Z10_1__Sg_OB03r2_39__Positive
edge_1640	Sg_Z10_1	Sg_OB24r1_18	0.5518	0.5518	0.001	0.001	Positive	Sg_Z10_1__Sg_OB24r1_18__Positive
edge_1641	Sg_Z10_1	Sg_OM21r1_55	-0.5487	0.5487	0.001	0.001	Negative	Sg_Z10_1__Sg_OM21r1_55__Negative
edge_1642	Sg_Z10_1	Sg_YB36_42	0.6987	0.6987	0.001	0.001	Positive	Sg_Z10_1__Sg_YB36_42__Positive
edge_1643	Sg_Z10_1	Sg_YB38_12	0.5997	0.5997	0.001	0.001	Positive	Sg_Z10_1__Sg_YB38_12__Positive
edge_1644	Sg_Z12_45	Gp_MJ1_12	0.5915	0.5915	0.001	0.001	Positive	Sg_Z12_45__Gp_MJ1_12__Positive
edge_1645	Sg_Z12_45	Sg_D02_9	0.8275	0.8275	0.001	0.001	Positive	Sg_Z12_45__Sg_D02_9__Positive
edge_1646	Sg_Z12_45	Sg_K17_22	-0.5717	0.5717	0.001	0.001	Negative	Sg_Z12_45__Sg_K17_22__Negative
edge_1647	Sg_Z12_45	Sg_M12_6	0.7183	0.7183	0.001	0.001	Positive	Sg_Z12_45__Sg_M12_6__Positive
edge_1648	Sg_Z12_45	Sg_OB05r2_38	0.7577	0.7577	0.001	0.001	Positive	Sg_Z12_45__Sg_OB05r2_38__Positive
edge_1649	Sg_Z12_45	Sg_OB24r1_18	0.8974	0.8974	0.001	0.001	Positive	Sg_Z12_45__Sg_OB24r1_18__Positive
edge_1650	Sg_Z14_36	Gp_MJ1_12	-0.5079	0.5079	0.001	0.001	Negative	Sg_Z14_36__Gp_MJ1_12__Negative
edge_1651	Sg_Z14_36	Gp_MJ2_113	0.6235	0.6235	0.001	0.001	Positive	Sg_Z14_36__Gp_MJ2_113__Positive
edge_1652	Sg_Z14_36	Gp_MJ3_477	0.4811	0.4811	0.001	0.001	Positive	Sg_Z14_36__Gp_MJ3_477__Positive
edge_1653	Sg_Z14_36	Sg_B07_12	0.7213	0.7213	0.001	0.001	Positive	Sg_Z14_36__Sg_B07_12__Positive
edge_1654	Sg_Z14_36	Sg_B07_53	0.5709	0.5709	0.001	0.001	Positive	Sg_Z14_36__Sg_B07_53__Positive
edge_1655	Sg_Z14_36	Sg_B07_62	0.5698	0.5698	0.001	0.001	Positive	Sg_Z14_36__Sg_B07_62__Positive
edge_1656	Sg_Z14_36	Sg_B14_13	0.6046	0.6046	0.001	0.001	Positive	Sg_Z14_36__Sg_B14_13__Positive
edge_1657	Sg_Z14_36	Sg_B15_23	0.6863	0.6863	0.001	0.001	Positive	Sg_Z14_36__Sg_B15_23__Positive
edge_1658	Sg_Z14_36	Sg_CA25_21	0.695	0.695	0.001	0.001	Positive	Sg_Z14_36__Sg_CA25_21__Positive
edge_1659	Sg_Z14_36	Sg_CD24A_10	0.691	0.691	0.001	0.001	Positive	Sg_Z14_36__Sg_CD24A_10__Positive
edge_1660	Sg_Z14_36	Sg_CD30A_34	0.7402	0.7402	0.001	0.001	Positive	Sg_Z14_36__Sg_CD30A_34__Positive
edge_1661	Sg_Z14_36	Sg_CE19A_24	0.5091	0.5091	0.001	0.001	Positive	Sg_Z14_36__Sg_CE19A_24__Positive
edge_1662	Sg_Z14_36	Sg_CK05A_18	0.7051	0.7051	0.001	0.001	Positive	Sg_Z14_36__Sg_CK05A_18__Positive
edge_1663	Sg_Z14_36	Sg_CK52A_74	0.5906	0.5906	0.001	0.001	Positive	Sg_Z14_36__Sg_CK52A_74__Positive
edge_1664	Sg_Z14_36	Sg_CM21_15	0.5719	0.5719	0.001	0.001	Positive	Sg_Z14_36__Sg_CM21_15__Positive
edge_1665	Sg_Z14_36	Sg_CM21_57	0.7098	0.7098	0.001	0.001	Positive	Sg_Z14_36__Sg_CM21_57__Positive
edge_1666	Sg_Z14_36	Sg_D02_9	-0.4837	0.4837	0.001	0.001	Negative	Sg_Z14_36__Sg_D02_9__Negative
edge_1667	Sg_Z14_36	Sg_D10_17	0.7026	0.7026	0.001	0.001	Positive	Sg_Z14_36__Sg_D10_17__Positive
edge_1668	Sg_Z14_36	Sg_EB13_4	0.8069	0.8069	0.001	0.001	Positive	Sg_Z14_36__Sg_EB13_4__Positive
edge_1669	Sg_Z14_36	Sg_G18_19	0.5541	0.5541	0.001	0.001	Positive	Sg_Z14_36__Sg_G18_19__Positive
edge_1670	Sg_Z14_36	Sg_G26_22	0.7468	0.7468	0.001	0.001	Positive	Sg_Z14_36__Sg_G26_22__Positive
edge_1671	Sg_Z14_36	Sg_G43_29	0.6614	0.6614	0.001	0.001	Positive	Sg_Z14_36__Sg_G43_29__Positive
edge_1672	Sg_Z14_36	Sg_K36_27	-0.4879	0.4879	0.001	0.001	Negative	Sg_Z14_36__Sg_K36_27__Negative
edge_1673	Sg_Z14_36	Sg_K36_3	0.6292	0.6292	0.001	0.001	Positive	Sg_Z14_36__Sg_K36_3__Positive
edge_1674	Sg_Z14_36	Sg_M12_21	0.8024	0.8024	0.001	0.001	Positive	Sg_Z14_36__Sg_M12_21__Positive
edge_1675	Sg_Z14_36	Sg_M12_39	0.7422	0.7422	0.001	0.001	Positive	Sg_Z14_36__Sg_M12_39__Positive
edge_1676	Sg_Z14_36	Sg_M12_6	-0.5073	0.5073	0.001	0.001	Negative	Sg_Z14_36__Sg_M12_6__Negative
edge_1677	Sg_Z14_36	Sg_M15_29	0.7329	0.7329	0.001	0.001	Positive	Sg_Z14_36__Sg_M15_29__Positive
edge_1678	Sg_Z14_36	Sg_OG24B2A_8	0.731	0.731	0.001	0.001	Positive	Sg_Z14_36__Sg_OG24B2A_8__Positive
edge_1679	Sg_Z14_36	Sg_P27_4	0.6455	0.6455	0.001	0.001	Positive	Sg_Z14_36__Sg_P27_4__Positive
edge_1680	Sg_Z14_36	Sg_YA04_9	-0.5289	0.5289	0.001	0.001	Negative	Sg_Z14_36__Sg_YA04_9__Negative
edge_1681	Sg_Z14_36	Sg_YB35_19	-0.481	0.481	0.001	0.001	Negative	Sg_Z14_36__Sg_YB35_19__Negative
edge_1682	Sg_Z14_36	Sg_YB46_3	0.5865	0.5865	0.001	0.001	Positive	Sg_Z14_36__Sg_YB46_3__Positive
edge_1683	Sg_Z14_36	Sg_Z02_43	0.6519	0.6519	0.001	0.001	Positive	Sg_Z14_36__Sg_Z02_43__Positive
edge_1684	Sg_Z14_36	Sg_Z07_42	-0.518	0.518	0.001	0.001	Negative	Sg_Z14_36__Sg_Z07_42__Negative
edge_1685	Sg_Z14_45	Sg_B19_40	0.9102	0.9102	0.001	0.001	Positive	Sg_Z14_45__Sg_B19_40__Positive
