Genome	Group	Gp_MJ1_12	Gp_MJ1_272	Gp_MJ1_444	Gp_MJ2_113	Gp_MJ3_423	Gp_MJ3_477	Gp_MJ4_197	Gp_MJ4_65	Gp_NH_148	Gp_YAB_333	Gp_YAB_339	Gp_meta27_16	Gp_meta27_511	Sg_A01_16	Sg_A11_10	Sg_A11_12	Sg_A11_2	Sg_A17_17	Sg_A19_11	Sg_A19_12	Sg_A19_36	Sg_A19_51	Sg_A20_2	Sg_A20_35	Sg_A22_19	Sg_A22_3	Sg_A22_8	Sg_A27_23	Sg_A27_31	Sg_A28_8	Sg_A33_4	Sg_A34_19	Sg_B03_29	Sg_B04_2	Sg_B07_12	Sg_B07_38	Sg_B07_50	Sg_B07_53	Sg_B07_62	Sg_B08_36	Sg_B14_1	Sg_B14_13	Sg_B15_22	Sg_B15_23	Sg_B15_35	Sg_B15_52	Sg_B19_40	Sg_B19_58	Sg_B25_10	Sg_B25_38	Sg_B26_35	Sg_B26_4	Sg_B27_18	Sg_B27_6	Sg_C02_30	Sg_C03_36	Sg_C04_33	Sg_C14_34	Sg_CA11_3	Sg_CA11_45	Sg_CA11_52	Sg_CA13_9	Sg_CA25_14	Sg_CA25_21	Sg_CA40A_55	Sg_CA9_20	Sg_CB03_44	Sg_CB03_47	Sg_CD23A_20	Sg_CD23A_32	Sg_CD24A_10	Sg_CD25A_53	Sg_CD26A_19	Sg_CD30A_34	Sg_CE19A_15	Sg_CE19A_24	Sg_CE19A_29	Sg_CE19A_36	Sg_CG50A_22	Sg_CG50A_49	Sg_CG50A_74	Sg_CK05A_18	Sg_CK05A_46	Sg_CK05A_56	Sg_CK28A_36	Sg_CK51A_47	Sg_CK52A_43	Sg_CK52A_74	Sg_CM17_16	Sg_CM17_58	Sg_CM17_7	Sg_CM21_15	Sg_CM21_57	Sg_CM29A_16	Sg_CM31A_43	Sg_CM31A_52	Sg_CM32A_26	Sg_CM32A_49	Sg_CM33A_60	Sg_CM33A_9	Sg_CM35A_15	Sg_D02_32	Sg_D02_9	Sg_D03_78	Sg_D09_14	Sg_D10_17	Sg_D18_45	Sg_E04_12	Sg_E06_10	Sg_E06_24	Sg_E10_50	Sg_EA47_17	Sg_EA47_9	Sg_EA57_9	Sg_EA61_27	Sg_EB03_22	Sg_EB08_12	Sg_EB09_7	Sg_EB10_11	Sg_EB13_4	Sg_EB21_10	Sg_EM03_7	Sg_EM12_46	Sg_EM22_6	Sg_EM25_40	Sg_EM30_38	Sg_EM34_4	Sg_G06_9	Sg_G09_4	Sg_G10_35	Sg_G11_20	Sg_G18_1	Sg_G18_19	Sg_G19_41	Sg_G21_58	Sg_G22_16	Sg_G26_10	Sg_G26_22	Sg_G29_33	Sg_G33_7	Sg_G39_28	Sg_G43_29	Sg_G47_17	Sg_H04_45	Sg_I05_27	Sg_I06_25	Sg_I07_11	Sg_I12_32	Sg_I12_44	Sg_I12_6	Sg_K01_5	Sg_K09_1	Sg_K09_61	Sg_K10_28	Sg_K14_18	Sg_K15_44	Sg_K16_50	Sg_K16_53	Sg_K17_22	Sg_K22_66	Sg_K22_8	Sg_K31_45	Sg_K32_30	Sg_K34_1	Sg_K36_16	Sg_K36_17	Sg_K36_27	Sg_K36_29	Sg_K36_3	Sg_K36_6	Sg_K40_4	Sg_K46_34	Sg_M01_13	Sg_M01_30	Sg_M02_37	Sg_M02_5	Sg_M02_8	Sg_M03_37	Sg_M03_38	Sg_M07_27	Sg_M07_39	Sg_M07_4	Sg_M08_36	Sg_M11_5	Sg_M11_7	Sg_M12_21	Sg_M12_39	Sg_M12_6	Sg_M15_10	Sg_M15_29	Sg_M17_3	Sg_M17_33	Sg_M21_45	Sg_OA11r1_10	Sg_OA11r1_12	Sg_OA11r1_9	Sg_OA7r2_4	Sg_OB03r2_1	Sg_OB03r2_39	Sg_OB03r2_6	Sg_OB05r2_32	Sg_OB05r2_38	Sg_OB05r2_8	Sg_OB24r1_18	Sg_OG24B2A_25	Sg_OG24B2A_8	Sg_OM21r1_55	Sg_P15_12	Sg_P15_2	Sg_P15_21	Sg_P22_10	Sg_P22_13	Sg_P23_1	Sg_P27_36	Sg_P27_4	Sg_P30_9	Sg_X05_12	Sg_X05_3	Sg_Y07_14	Sg_Y19_10	Sg_Y19_13	Sg_YA03_20	Sg_YA04_9	Sg_YA12_28	Sg_YA12_4	Sg_YA13_10	Sg_YA31_31	Sg_YB34_1	Sg_YB35_19	Sg_YB35_7	Sg_YB36_42	Sg_YB37_28	Sg_YB37_7	Sg_YB38_12	Sg_YB38_21	Sg_YB38_6	Sg_YB39_24	Sg_YB41_11	Sg_YB41_12	Sg_YB46_3	Sg_YB50_23	Sg_YB59_31	Sg_Z02_43	Sg_Z03_24	Sg_Z06_28	Sg_Z07_36	Sg_Z07_42	Sg_Z09_20	Sg_Z10_1	Sg_Z12_45	Sg_Z14_36	Sg_Z14_45	Sg_Z14_58	Sg_Z15_39	Sg_Z15_51	Sg_Z17_26
D05	C	0.048302162	0	0	0	0	0	0	0	0	0.13665695	0	0.012649772	0	0	0	0.14769758	3.3277986	0	0	0	0	0	0.31801775	0	0	0	0.028492233	0.27050462	0.0177177	0.43918777	0	0	5.6924734	0.028801773	0.24684474	0	0.62577915	0	0	0	0	0	0	0	0	0	0.09756924	0.49215388	0	0	2.0519807	0.023131287	0	0	0.51533514	0.06354478	0.07968234	0.49701717	0.06171697	0.04821701	0	3.7169943	1.1644897	0	0.15482906	0.017095456	0	0.17866082	0	0.41330412	0	0.7982746	0	0	0	0	0	0	0	0.30811757	0.6767777	0	0.24768738	0	0	0	0.76071167	0	0.057793576	0.30539855	0.3951535	0	0	0.21779412	0	0.12193234	0.18913652	0	1.4066128	0.102842025	0.8331951	0	0.010702765	0.2612665	0.55733323	0	0	0	0.07228751	0.11531107	0	7.009232	0	0	0.10978901	0	0	3.3595138	0.08549001	0.026145823	0.048175443	0	0	0.044536993	0	0.46886188	2.5682585	0	0	0	0.7133505	0.6709765	0	0.028272541	0	0.16226543	0.62834036	0	0	0.5475867	0	0.22707346	0	0.08367103	1.4507009	0	0.5796267	0	0	0.16970451	0.064710416	0	0.07140534	0.17094015	0	0.011247888	0	0.12388194	0	0	0	0	0.03127457	0.8332459	0.011531524	0.5539009	0.014242993	0	0	0	0.50606394	0.19895115	1.151161	0.07921056	0.102440506	0	0	0	0	0.054021064	0	0	0.20917098	0	0.033124626	0.010350566	0.06174136	0.023437414	0.073465824	0	0.079497196	1.3155764	0	0.09797248	0.17779538	0	0.21278886	0	0	0	0.019645918	0.021632535	0.0974997	0.035446446	0.41859177	0	0.07980863	0	0.36042666	0.3494569	0.09595138	0.006846145	0.09283357	0	0	0	0.49339518	0.39693734	0.018916491	0	0	0.15065852	0	0	0	0.033980433	0.44194666	0	0	0.08823611	0.019972498	0.01905057	0	0	0	0	0.06248357	0.007269878	0	0	0.76717913	0	0	0.3278274	0	0.03843058	0.09515497	0.011108945	0	0.009106321	0.18043078	0.13059284	0.053683374	0	0	0
D06	L	0	0	0	0	0	0	0	0	0	0	0	0.014624949	0	0	0	0.23420276	1.1054802	0	0	0	0	0	0.84341705	0	0	0	0.01562553	0	0	2.1245644	0	0.017976766	0.6095365	0.07925242	0	0	0	0	0	0	0	0	0	0	0	0	0.2542527	0.06568274	0	0.19724809	0	0	0	0	1.27704	0	0.019477889	0.1431579	1.9527951	0	0	0.030699749	0	0	0	0	0	0.3221217	0	0.046828557	0.042201936	0	0	0	0.009025989	0.02513288	0	0	0	0	0.25615183	0	0	0	0	0	0	0	0	0	0.025470622	0	0	0.039978046	0	0.21678747	0	0	0.020273402	0	0	0	0	0.4553059	0.9150627	0	0.012295329	0	0	0.2513765	0.024786323	16.43656	0	0	0.22809055	0.047807485	0	2.1036425	0.21086961	0.034428895	0.13311443	0	0	0.082561016	0	2.2795155	10.778619	0	0.19573572	0	0.34261873	0.0800178	0	0	0.09650991	0	0.04679768	0	0.055641755	0.034327254	0.007438531	0	0	0.2539928	0.165601	0	2.1035018	0	0.028448023	0.28080508	0.15834	0	0.14506623	0.39475024	0	0.015366689	0	0.48358032	0	0	0	0	0	0	0.019386739	0.9890445	0	0	0	0	0	0.30597308	0	0.30378854	0.24435528	0	0.011692029	0	0.76540816	0	0.009324072	0.033269074	0	0	0	0.017605925	0.036951117	0.022916732	0.061795946	0	0	0.052854083	0	0	0	0	0	0	0	0	0	0.014957181	0.16752961	0.029272584	2.398163	0	0	0	0.16993922	2.7494192	0	0.45470294	0.22473328	0	0	0	0.22066227	2.4223783	0.011120009	0	0	0.26871732	0	0	0	0	0.54065627	0	0	0.25259766	0.016685521	0.008244714	0	0	0	0	0.12516858	0	0.229293	0	2.4177577	0	0	0.110089675	0.042448096	0	0	0	0	0.006645622	0	0.3075435	2.4934819	0	0	0.043869384
D09	C	0	0	0	0	0	0	0	0.006048357	0	0	0.21824908	0.21067108	0	0	0.09924603	0	7.0639014	1.1776778	1.5488405	0	0.009697299	0	0	0.01646354	0	0	0.2354726	0.11935864	0.015787486	1.7060206	0	0	0.3855816	0.22934593	0	0	0.09044579	0	0	0.009161172	0	0.007474296	0.072197124	0.05857785	0	0	0.030129792	0.065303	0	0.42007354	0.06728911	0	0	0.015484422	0.43813595	0.29454502	0	3.0630372	0.81099147	0.02125803	1.4886178	0.11875131	0.10959413	0.010774005	0	0.07545118	0.013667423	0.16857618	0	0	0	0	0	0	0.02427392	0	0	0.076159276	0	0.22976223	1.6416922	0.023893334	0.030546395	0	0	0	0.04863203	0	0	0	0.029749146	0	0.01101934	0.03445967	0.46298072	0.3856111	0.09887945	0	0.02061642	0.15617903	0	0	0.07211672	0.2617526	2.635709	0.03058025	0	0	0.05406915	0.054890677	0.141279	0.6809777	0	0.06848906	0.029664515	0.11064502	0	0.39217985	0.021246575	0.053334806	0.016252717	0	0	0.3865712	0	0.8282469	17.104977	0	0	0	0.012993749	0.03065216	0	0	0.06666001	0.1086591	0.057050053	0	0	0.05264658	0.020321764	0	0	1.9266435	0.11832258	0	3.34976	0	0	0.054725725	0.018000325	0	0.13410519	0.206792	0.03558031	0.050039135	0	1.1777536	0	0.04146448	0	0	0	0.037022598	0.076527536	0.22541781	0.10544377	0.054087505	0	0	0.1380327	0.73907834	0	0.070333116	0.025446191	0	0.015802916	0	0	0	0	0.07855144	0.18177415	0.30672094	0	0.03725869	0.058941398	0.041278157	0.045700863	0	0	0.027049296	0	0.22774926	0.23492658	0	0	0.32465672	0	0	0.007429163	0.15773006	0.023234753	0.5976791	2.3342333	0	0.020731332	0	0.22501197	1.2904867	0.07761335	0.2530746	0.028198585	0	0	0	0.12054157	2.528316	0.013284682	0.20715575	0	0.11474716	0.015402767	0	0	0.02715383	0.37751055	0	0.017025825	0.039602246	0.08153914	0	0	0	0	0.011648373	0	0	0	0	0.13822643	0	0.30042523	0.055796955	0.0700495	0	0.03545032	0	0	0.18855195	0	0.020142527	0.27614978	0	0.017970735	0.029780336
D10	Y	0	0	0	0	0.059441596	0	0	0	0.007885523	0	0.024998788	0	0	0	0.2667965	0	0.12049461	0.06947625	0.00758398	0.097268574	0	0	0	0	0	0	0.1452535	0	0.017777482	0	0	0	0	0.46051556	0	0	0	0.33504406	0	0	0	0	0.010873839	0.48187205	0	0.006110848	0	0	0	0	0	0	0	0.18888424	0	0	0	0	0	0	0.031034188	0	0	0	0	0.115873106	0	0	0	0.05054216	0	0	0	0.11317668	0.34220526	0.066327214	0	0.04844224	0	0	0.030667448	0.34759232	0	0	0	0	0	0	0	0	0	0	0.30625045	0	0.009882504	0	0	0	0	0	0	0	0.04496768	0	0.04044059	4.649651	0.09147835	0	0	0	0.07101002	0.079061106	0	0	0	0	0	0.025954248	0	8.884567	0	0	0	0.023013081	0	0	1.2670156	1.4374005	0.4725266	0	0	0	0	0	0	0.10216742	0	0	0	0	0.21333197	0	0	0	0	0.178367	0.22922982	0	0.08363034	0	0	0	0	0	0	0.060657695	0	0	0	0	0	0	0	0	0.1196302	0.01430572	0	0.038415525	0	0.017756008	0	0	0	0	0	0	0	0	0	0	0.008375318	0	0	0	0	28.159166	5.460051	0.14619125	0.015777528	0	0	0	0	0	0	0	0	0.38913628	0	11.113442	0	0.21659245	0	0.14835627	0.20423454	0.067579575	0	0	0	0	0	0	0	0	0	0	0	0	0	0.027262038	0.031137755	0	0	0	0.009694214	0	0	0	0	0	0.106108	0	0	0	0.01780438	0	0	0	0.15428193	0.1325785	0	0	0.30017558	0.099653155	0.91261107	0	0.013019708	0	0	0.036234774	0	0	0	0.6308896	0.02465478	0
D16	C	0	0	0	0.053065218	0	0	0	0	0	0	0	0	0.08463656	0.25800148	0	0	0	0	0	0.37266	0	0	0.08844318	0	0	0	0.2655478	0	0.09084653	0	0	0	0.4553456	0.10496351	0	0	0	0	0	0	0	0	0.02265997	0.073301025	0	0	0	0	0	0	0	0	0	0	1.0508628	0	1.518866	0	2.4051557	0	0.07935152	0	2.3195245	0.07079184	0	0	0	0	0.4124602	0.032260172	0.035984594	0	0.04049181	0	0.42816243	0.022094224	0.020477874	0.19663173	0	0.019994602	0	0.16584061	0.7064641	0	0	0	0	0	0	0.8332311	1.0371138	0	0.048676327	0.09682375	0.022102399	0	0.47665262	0	0.056252494	0	0.14131114	0	0.058277737	0.18331829	0	0.055407397	0.013983958	0	0.15494664	0.013618474	0.26652026	0.050921433	0.022991477	0	0	0	0	0.021971567	0.01088992	1.0403154	0	0.0227334	0	0	0	0	1.9444786	0	0.6678873	0.019937623	0	0.2139009	0	0	0	0	0.22210649	0	0	0.071926184	0	0	0	0.29488063	5.0130773	0.035342522	0.35856768	0	0.033992257	0	0	0	0	0	0.07424518	0.087784	0	0	0	0.06946855	0.025200771	0	0	0	0.06570546	0.021059234	0	0.15058905	0.15126677	0	0.6324671	0.24352416	0.39530256	0.12925296	0	0	0	0	0	0	0.08322374	0.106300145	0	0	0.07855406	2.7509224	0.22276542	0	0.09990544	0	0	0.059324034	0	0	0	0	0	0.70030147	0	1.1788379	0	0.33755928	0.010560867	1.3872595	0.36670035	0.044389393	0.3148047	0	0	0.28440362	0	0	0	0.054630097	0	0	0	0.006243595	0.01620737	0	0.012917271	0.06513271	0	0	0	0	0	0	0.016018374	0.0368463	0.3001955	0	0	0.10251911	0	0.040526167	0	0	0.08721029	0.0458802	0	0	0.12445818	0.19331738	0	0.10881041	0.010224411	0	0.18304592	0.37213856	0.13567317	0.009164701	0.19924767	0.09006633	0	0.11567865
D18	Y	0.11257324	0	0.24095817	0	0.018316196	0	0	0	0	0	0.24136862	0	0	0	0	0	0	1.2686316	0	0.20175606	0	0	0	0	0.42187044	0	2.4990437	0	1.3933223	0.24140087	0.13601024	0.14862627	0.07213835	1.0039134	0	0	0	0.058009807	0	0	0.13114947	0.08230312	0.01396264	0.03839003	0.036661606	0.015967272	0.04050139	0	0	0	0	0	0.062807	0	0.08090304	0	0	0.45026928	0.6823792	0.054740362	0.30124578	0.02924123	0	0	0	1.3843027	0	0.07677687	0	0.21105117	0.06652826	0	0.007809011	0	0.07158545	0.01624809	0	0.080008	0	0	0	0.043246772	0	0	0	0	0	0	0	0	0	0.016430244	0	0	0.08958022	0	0	0	0	0	0	0.1048654	0.6127808	0.18246877	0.05932665	0.016389387	2.3930213	0	0	0.03381977	1.4957731	0.1115099	0.15415084	0.02448846	0.03641789	0	0	0.024434501	0.043925766	0.20465595	0.03697283	0.007663551	0	0	0.1711983	0.14236291	3.6957538	0	0.031886324	0	0	0.12864529	0	0.08963415	0	0.037065115	0.007294936	0	0	0	0.25860345	0	0.050169937	0.08811707	0	0.027633872	0.63124937	0	0.009903505	0.029500388	0.04314215	0	0	0	0	0.965204	3.6182458	0.12662064	0	0	0.1756185	0	0	0	1.8331184	0.012364659	0.35349873	0.7735253	0.007816253	0.051476073	0	0.1878723	0	0	0.05042761	0	0.07808552	0	0	0	0	0	0.1639601	0	0	0.4613305	0.05672824	2.2188578	0.008455254	0.025561256	0	0.5100121	0.20542349	0	0	0	0	0	0.1519054	0.21658117	0.0996131	2.5743394	0.06835095	11.374186	0.44956967	0	0	0	0.39004862	1.0617146	0	0	0.032610036	1.5993863	0.22135916	0	0.10789295	1.2827173	0.050655555	1.2989393	0	0.0623938	0.07805827	0.18696047	1.9657092	0.05603386	0.06620365	0.46347407	0.20307195	0.036691505	0.8153486	0	0	0.22860183	0.21259318	0.49280047	0	0	0.006811226	0.043367907	0	0	0.009511203	0.03979258	0.12636963	0	0.28525916	0	0.20059896	3.4961574	0	0.04818193	0.06302574	0	0.048233155	0.005507596
E04	L	0	0	0	0	0.12948258	0	0	0	0	0	0.026338434	0	0	0	0	0.0912661	0.1214385	6.0283256	0	0.58547205	0.048188526	0.019340616	0.021575086	0	2.005521	0	0.05844044	0	0	0	0.46450907	0.101865105	0	0	0	0.03073703	0	2.05467	0	0	0.33032647	4.143751	0.04615517	0.20338942	0	0.17139263	0.023545131	0	0.7935974	0.1629237	0	0	0.038963843	0.041329876	0	1.9234763	0	0	0	0	0.059103623	0	0	0	0	0	0	0.025143245	0	0.27872807	0	0	0	0	0.1987183	0.026469156	0.009429044	0.14045994	0	0	0.078478016	0.4538183	0	0.048735663	0.38993195	0	0	0	0	0	0	0.2850719	0.13638143	0	0.019886347	0	0	0	0	0	0	0	0	0	0.31511852	0.5359986	0	7.958481	0	0.028721413	0	4.7915206	0	0.023343608	0.018871168	0	0.2741696	0.38590196	0.025429394	3.0999374	0.017270168	0	0	0.11079988	0	0	5.566032	0	0.03745473	0	0	0	0	0	0	0.12631954	0	0	0	0	0.04325364	0	0.44206882	0	0	0	0.9866151	0.08438865	0	0.023991281	0.018235585	0	0.27358395	0	0	0.063406385	0.15842324	0	0	0	0	0	0	0	0.13057141	0.3339374	0	0	0	0.049192805	0	0	0	0	0.029165752	0	0	0	0	0	0	0	0	0.13520767	0	7.595211	0.3121288	0	0	0.08252581	0	0	0	0	0	0	0	0	0	8.529054	0	0	0.02238897	0	0	0	0	0	0	0	0.19211185	0.046234045	0.020685568	0	0.86124635	0	0	0	0	0.044772167	0.3349126	0.044708885	0	0.3137771	0.2793127	0	0	0	0	0.01818855	0.08863478	0	0	0.045590766	0.65421253	0	0	0	0	0	0	0	0	0.01259527	3.6162732	0	0	0	0	0	0	0.015481017	0	0	0.5614907	0
E06	L	0.050879903	0	0.04726615	0.05031953	0.2645071	0.061941545	0.17754008	0	0.012501256	0	0	0.32998377	0.6284432	0	0.081309535	0.04568653	0.12985893	0	0	0	0	0	0	0	0	0	0.37144607	0	0.50927013	0.10464229	0.19829094	0	0.45598045	0.519438	0	0.090717025	0	0.47180873	0	0.2694288	0.1961393	0.53418183	0.017091705	0.64210993	0	0	0.013071684	0.1981021	0	0.06467457	0.34077534	0.035353296	0.079977475	0.13089342	0.7945966	0.019791605	0	0.78317213	0.7061889	0	0.043937296	0.12812072	0.022406012	0.0534773	0.010229785	0.10264273	0	0.06558485	0.08879517	0	0	0	0.08785692	0.16627222	0.9399592	0.022532295	0.010060794	0.07421143	0	0	0.03348073	0.4168743	0	0	0	0	0	0	0.3444795	0	0.03144579	0	0.4089612	0.14208359	0.014626153	0	0.062249202	0.06433938	0.028339908	0.16402777	0	0	0.056208003	0.1967682	0.13714764	0.45604905	0.18302967	0	1.7028439	0.54111665	0.32176268	2.2077672	0.11763948	0.006085682	0.017393688	0.30474576	0	1.0179181	0.009860377	0.32365954	0	0.029103065	0	0.01528172	0.07109357	0.09966209	1.1247182	0.010745971	0.16581735	0.0373385	0	0.12553662	0	0.0908516	0	0.056686	0.023968382	0	0	0.0302151	1.5873882	0	0	0.8822736	0.076080255	0.026539791	0.19963415	0	0.0881376	0.023592439	0.011160421	0	0	0	0.07778871	0.33096105	0.086024635	0.37294668	0	0.03507285	0	0	0	0	0.76529914	0.20042764	0.09354759	0.19920047	0	0.027221711	0.022099476	0.71376306	0	0	0.013689697	0.0489149	0.028765187	0	0	0	0.0360634	0.28277698	0.1428006	0	0	0.63620573	1.7738478	0.3493975	0.22242191	0	0	0.30506492	1.4441575	0	0	0.34882227	0	0	0.04655746	0	0	0.42916512	0.012670643	0.47280377	1.3778158	0.6526483	0	0	0.33801022	0.8950349	0.028619839	0.03905911	0.015297323	0.10811877	0	0	0.78090215	1.1066003	0.25620615	0	0.008198424	0.082043774	0.07250767	0.08093839	0.7042757	0	0	0.028716184	0.09067281	0.020926269	0.42880836	0.38898477	0	0	0	1.0496105	0	0.122909315	0	6.689385	0	0	0.22810456	0.40361676	0.048740625	0.22793569	0.08154702	0.15244325	0.100064404	0.15111008	0.1408531	0	0.29601753	2.7949471	0	0.2633623
E07	L	0.03163522	0	0	0.2536019	0	0.10844081	0	0	0	0	0	0.033375032	0	0	0.03028905	0	0.019336438	0.09267809	0	0.10573011	0	0.032916993	0	0	2.5424922	0	0.20453694	0	0.07246464	0	0	0	0.033855874	0.04313731	0	0.01449958	0	2.5451467	0	0.17282674	0	0	0.005395935	1.0823278	0	0.16777857	0	0	0	0	0	0	0	0.008271288	0	0	0	0.036492944	0.6263007	0	0.015148161	0	0	0.11725391	0	0.027704434	0	0	0	0.18865044	0	0	0.316536	0.1121522	0.5424137	0.42020303	0.10584793	0.14767356	0	0	0	1.7195705	0	0	0.023753999	0	0	0.3159703	0	0	0	0	1.1017282	0	0.012481373	0	0	0	0	0	0	0	0	0.12476246	0.038540073	1.3314577	0.3973957	0	0	0	0.19773892	0.025283678	0.016712273	0	0	0	0	0.012883694	0	3.7621474	0	0.12946662	0	0	0	0	1.1974692	0	0.36988878	0	0	0	0	0	0	0	0	0	0.014931934	0	3.8235562	0	0	0.08948461	0	0	0.19928955	0.031800255	0	0	0	0	0	0	0	0.023997877	0	0	0	0.047147937	0	0	0	0	0.025475174	0	0	0.036138956	0	0.03295227	0	0	0	0	0	0	0	0	0	0	0.024867726	0	0	0	0	11.468061	7.6732144	0.01942538	0.015034426	0	0	0.12370004	0	0	0	0.1060424	0	0	0	0	0.023482325	0.04938728	0	0.5968347	0.23072033	0.5061374	0	0.05389478	0.031084405	0.50160104	0	0	0	0.11612248	0	0	0	0	0	0	0.32181907	0	0	0	0.04674728	0	0	0	0	0	0.15374303	0.080645256	0	0	0	0.27710947	0	0.020627653	0	0.8779151	0	0	0.50812507	0.89280784	11.410984	0	0	0	0	0.14616753	0.42334414	0	0.21764538	0.20311186	0	0
E10	C	0.15770791	0	0	0	0	0	0	0	0	0	0.041075706	0	0	0	0	0	0.030564634	0.06865287	0	0.33454543	0	0	0	0	0	0	1.2350384	0	0.1308412	0.012661641	0	0	0.007877139	0.5350319	0	0	0	0	0	0	0.012773646	0	0.006509818	0.011208972	0	0	0.13289459	0	0	0	0.011717332	0	0.042616572	0	0.030915337	0	0.044286516	0	0	3.073524	0.15720083	0	0	0.023381056	0	1.725659	0	0.22113973	0	0	0	0	0.00947458	0.008732557	0.005248029	0.009455832	0	0.100190654	0	0	0	0.034480065	0	0	0	0	0	0	0	0.018319095	0.02037884	0.017354142	0	0	0.04924094	0	0	0	0	0	0.71174383	0	0.67214954	0.059019346	0.1304113	0.020309523	1.0122203	0	0	0.11178228	3.3322186	0.039331134	0.027861562	0	0.13067877	0	0	0.028072376	0.10958264	0.03554157	0.06939336	0.012380662	0	0	0	0	7.5943685	0.027529147	0.27933127	0	0.25025907	0	0	0.6031931	0	0.07949071	0.1046147	0	0	0	0.29926962	0	0	0.027024565	0.12942527	0	1.3400341	0.035014175	0.032576174	0.108859174	0.0767453	0	0	0	0	1.7114218	0.018421657	0	0	0	0	0	0	0.07054249	5.381542	0.15319411	0.5000816	1.1065246	0	0.05195733	0	0.017127065	0.39814824	0	0.15878882	0	0.21493177	0.011294799	0	0	0.028595379	0.047772642	0	0	0.06183802	0.06843257	0.15736446	0	0.04581395	0	0	0	0	0	0	0.10042614	0	0.68303597	0.2062501	0.004970392	0.024232581	0.052926686	0.12281148	0.1551331	0.9277736	0.008697827	0	0	0	0.15228307	0	0.022918226	0.14111799	0.2130552	0	0	0	0.045368623	0.19867644	0.043566234	0	0.12615445	0.076972775	0.17080782	0.7043147	0.98728955	0	0	0	0.14466193	1.613181	0	0.094511785	0.16831756	0	0.2989536	0.18206249	0	2.6284065	0	0	0	0.018567074	0.055472676	0.10482495	0	0.40871072	0	0.09060493	0.26341796	0	0.10183644	0	0	0	0.068542324
E11	Y	0.056172695	0	0	0	0	0	0	0	0	0	0.101763636	0.021469919	0	5.186649	0.014748177	0	0.47360405	0.014215988	0	0.015921993	0	0	0.402322	0	0	0	0.05284875	0	0	2.985322	0.003521915	0.08940254	1.5422024	0.08207664	0	0	0.012195165	0	0	0	0	0.033110507	0.014811187	0.007916228	0	0	0.43380615	0.27894136	0	0	0.22713281	0.014798163	0	0	0.532982	0.013936087	0.8309187	1.5805207	1.3568072	0	0.022904355	0.06954169	0.22435272	0	0	0.03063502	0	0.5898806	0	0.050347045	0	0	0	0	0.011443165	0.08146469	0	0	0	0	0.119679175	0.010515381	0.07204936	0	0	0	0.07054505	0	0	0.005816049	0.048218615	0	0	0.052354358	0.00773669	0	0.17843777	0	0.10031994	0	0.033026323	0	0.018791256	0.6101309	0.1508258	0	0.008306617	0	0	0.41565672	0.12935188	0.46583524	0	0	0.40942782	0.10112593	0	0.21489637	0.36894056	0.12666124	0.18633536	0.022682022	0	0.024230396	0	1.6404977	1.4526247	0	0.15419263	0	0.16614194	0.0986092	0	0	0.13111627	0	0.23588328	0	0.1175599	0.1285137	2.3591871	0	0	0.26033494	0.28404367	0.00817707	0.3155422	0	0.041014243	0.43429777	0.30827016	0	0.019177504	0.47562647	0.01851566	0.029721405	0	0.09412898	0	0	0	0	0	0.018858815	0.045944765	0.06919357	0.011535636	0.009555049	0.004168535	0	0.7770936	1.5832738	0.17963478	0.031844206	0.38068277	0	0.005331552	0	0	0	0.12140002	0.13699502	0.3573832	0	0.003269323	0.09743692	0.030645227	0.048555855	0.24380516	0.018212039	0.11792823	0.05149992	0	0.2667662	0.24664567	0	0	0.22198038	0	0.006983753	0	0.043001045	0.3288376	0.3788338	2.143328	0	0.06455496	0	2.9103744	3.0492997	0.010326276	1.2693195	0.310032	0.032404337	0.14539796	0	0	4.053602	0.0072728	0.047259867	0	0.30957654	0	0	0.008190436	0	0.7331516	0	0	0.41646284	0.041743793	0.017771885	0	0	0	0	0.16217513	0.021796245	0.14377972	0	0	0	0.028286034	0.36460432	0.02130689	0	0.007359767	0	0	0.11115177	0	0.29892197	4.3183765	0	0	0.13037077
