"SampleID"	"Group"	"Sg_A27_31"	"Sg_B04_2"	"Sg_D18_45"	"Sg_M12_6"	"Sg_A11_10"	"Sg_YB37_28"	"Sg_OB03r2_39"	"Sg_OB24r1_18"	"Gp_MJ4_197"	"Gp_NH_148"	"Sg_K36_16"	"Sg_K15_44"	"Sg_M02_5"	"Sg_P27_36"	"Sg_OA11r1_9"	"Sg_Z17_26"	"Sg_CM33A_60"	"Sg_M07_27"	"Sg_OM21r1_55"	"Sg_B07_53"	"Sg_K36_3"	"Sg_E06_10"	"Sg_Z03_24"	"Sg_CK52A_43"	"Sg_B07_50"	"Sg_K40_4"	"Sg_CA25_21"	"Sg_G18_1"	"Sg_B26_4"	"Sg_CM17_7"	"Sg_G09_4"	"Sg_CM32A_26"	"Sg_G18_19"	"Sg_M07_39"	"Sg_I05_27"
"A01"	"C"	0.00117339087212112	0.00373553862736018	0.0000454998614781995	0.0108552558406656	0.000812930858410498	0.00232908735366739	0.000422137603714406	0.0318675974253145	0.000330126772725159	0.000291704667476901	0.00746096617439187	0.00201109387733642	0.000132455152303203	0.0000298276869690419	0.000113244099679074	0.000271988060836348	0.0000202221606569776	0.00000353887811497107	0.0000242665927883731	0.000333160096823705	0.000231038185505969	0.000515665096752928	0.000477748545521095	0.00000808886426279102	0.0000090999722956399	0.0000313443490183152	0.000625875872333455	0.00946548784951477	0.0000313443490183152	0.000100605249268463	0.000827086370870382	0.000147116218779512	0.000943869348664427	0.00134780700778755	0.00120675743720514
"A02"	"Y"	0.000855902949806575	0.0026622474504911	0.000783103171441456	0.00310207944478036	0.000271482506819924	0.00343068955545624	0.0002027271605862	0.00294181882157381	0.0000217388227062509	0.000388771038630394	0.00238975383563832	0.000718897811355552	0.0000460054154946239	0.000938308254483759	0.0000404443213139551	0.0018740887388854	0.00024367703591658	0.00157783408526067	0.000219410443128206	0.000228510415423846	0.000259854764442162	0.000153688420993029	0.00285031354460099	0.0000465109695110484	0.0000328610110675885	0.000386748822564696	0.000223960429276026	0.0027057250959036	0.000326082340593763	0.000276032492967744	0.00242969260293585	0.000572287146592465	0.00102273577522664	0.0000399387672975307	0.000869552908250035
"A04"	"E"	0.00102324132924306	0.0000733053323815436	0.00184982214609702	0.00330581771339941	0.0032643622840526	0.000359448905677776	0.000400398781008156	0.00310865164699387	0.000940330470549456	0.0000586442659052349	0.00554441089812682	0.00132101264491706	0.000041455429346804	0.0000232554847555242	0.0000465109695110484	0.000767430996932298	0.000663286869548864	0.000304343517887512	0.0000515665096752928	0.00103284685555513	0.000185538324027769	0.000222949321243178	0.017472452361645	0.0000869552908250035	0.0000257832548376464	0.0000894830609071257	0.000290693559444052	0.00174770023477929	0.000146105110746663	0.000326587894610188	0.000534876149377056	0.00061273146790642	0.00187712206298394	0.0000899886149235501	0.000367537769940567
"A07"	"C"	0.0012659072571268	0.0020065438911886	0.00160462844813117	0.00184577771396563	0.000101110803284888	0.000368043323956992	0.000136499584434599	0.00376536631432922	0.000367032215924143	0.0000192110526241287	0.0014231345562348	0.000424665373796529	0.0000343776731168618	0.0000212332686898264	0.000629920304464851	0.0102132022398065	0.000699181204714999	0.000105660789432708	0.000879158434562099	0.0192641357958532	0.0000839219667264569	0.000479770761586793	0.0034711338767702	0.000589475983150896	0.000528303947163539	0.00344383395988328	0.00230684297694471	0.0101080470043902	0.00061728145405424	0.00881736760045864	0.000255304778294342	0.0249071297271828	0.00165113941764222	0.00510660111990326	0.0379484011348677
"A09"	"C"	0.000185538324027769	0.000131949598286779	0.0000904941689399746	0.000147621772795936	0.0000995941412356145	0.000174416135666431	0.0000374109972154085	0.00369509430604622	0.00000505554016424439	0.0000222443767226753	0.000132960706319627	0.0000854386287757302	0.0000293221329526175	0.0000262888088540708	0.0000222443767226753	0.000255810332310766	0.000593520415282291	0.000818491952591167	0.00253687005441783	0.0528895445362755	0.000228004861407422	0.0100428305362715	0.00331087325356365	0.0012805683236031	0.00207883811553729	0.000671881287828079	0.00060363149561078	0.00147015107976227	0.000812425304394073	0.0155604470715278	0.00472440228348638	0.00166428382206925	0.00152576202156896	0.00353685589890537	0.0744559733229257
"A11"	"C"	0.00683054031591059	0.003111179417076	0.00845791869478086	0.0017977500824053	0.00803679219909931	0.00138269023492084	0.0004282042519115	0.00140493461164352	0.000354898919529956	0.000826075262837533	0.00342512846127557	0.000859947381937971	0.0000889775068907012	0.000901402811284775	0.0000500498476260195	0.000342260069119345	0.0000722942243486948	0.0000480276315603217	0.000128916274188232	0.0000601609279545082	0.000403937659123127	0.000207782700750444	0.0000586442659052349	0.0000267943628704953	0.0000343776731168618	0.0000606664819709327	0.000102121911317737	0.000117794085826894	0.00011728853181047	0.000330632326741583	0.0000561164958231127	0.000706764514961366	0.000332654542807281	0.00000505554016424439	0.000274010276902046
"A12"	"L"	0.0425903981136769	0.00871575124315733	0.00297720760272352	0.0458168438464976	0.00177247238158408	0.00441904765756602	0.00203991045627261	0.0141524791357857	0.00875164557832346	0.00179269454224106	0.0206316594102814	0.00559092186763787	0.000213849348947538	0.00321582909847586	0.0103294796635841	0.0000146610664763087	0.000101616357301312	0.0000181999445912798	0.000103133019350586	0.0000899886149235501	0.0000303332409854663	0.000145094002713814	0.00079270869775352	0.000112232991646225	0.0000434776454125017	0.000335182312889403	0.0000535887257409905	0.00000758331024636658	0.000090999722956399	0.000787653157589276	0.000874608448414279	0.0005854315510195	0.000803830886114858	0.000105155235416283	0.00289480229804634
"A13"	"C"	0.0000242665927883731	0.000149138434845209	0.00000151666204927332	0.000057633157872386	0.000144082894680965	0.000135994030418174	0.00000606664819709327	0.000292210221493326	0.00000556109418066883	0.00000556109418066883	0.0000419609833632284	0.000115771869761197	0.00000960552631206434	0.00000404443213139551	0.0000313443490183152	0.0000636998060694793	0.0435276952601278	0.00464705251897344	0.0382835834477571	0.00671830732426437	0.0000677442382008748	0.00202120495766491	0.00404392657737909	0.00472642449955208	0.0876044221820925	0.0170346425834215	0.00102071355916094	0.0157555909218676	0.0139962629447106	0.00464705251897344	0.0012618628249954	0.00589526538552538	0.00233212067776594	0.0000176943905748554	0.0154178808388961
"A15"	"C"	0.00000556109418066883	0.0000181999445912798	0.00000101110803284888	0.0000192110526241287	0.0000176943905748554	0.000103133019350586	0.000012638850410611	0.0000667331301680259	0	0	0.0000192110526241287	0.0000460054154946239	0.00000454998614781995	0.00000505554016424439	0.00000404443213139551	0.0111085384028942	0.000906963905465443	0.0000156721745091576	0.0120079189981133	0.000596553739380838	0.000305860179936785	0.00172646696608946	0.0102152244558722	0.00123607957015775	0.00107480783891836	0.00953879318189631	0.000602620387577931	0.00281593587148412	0.000521731744950021	0.0112020658959327	0.000360460013710625	0.00278155819836726	0.00154750084427521	0.00133264038729482	0.0778512740972322
"A17"	"C"	0.000144082894680965	0.0000409498753303795	0.00000454998614781995	0.000586442659052349	0.0000642053600859037	0.000153688420993029	0.0000869552908250035	0.000348326717316438	0.0000217388227062509	0.000012638850410611	0.000577848240773134	0.000237610387719486	0.0000545998337738394	0.00000353887811497107	0.0000202221606569776	0.0000454998614781995	0.0000854386287757302	0.000012638850410611	0.000436293116174291	0.00989419765544269	0.0315157318298831	0.00013548847640175	0.00925821070278075	0.000523248406999294	0.000222949321243178	0.00451409181265381	0.0019549773815133	0.00160563955616402	0.00302068524813602	0.00230886519301041	0.125050808178651	0.00148683436230427	0.00343726175766976	0.00049089294994813	0.0117334031671948
