ID	Domain	Phylum	Class	Order	Family	Genus	Species
Gp_NX1_283	d__Bacteria	p__Verrucomicrobiota	c__Lentisphaeria	o__Victivallales	f__Victivallaceae	g__Victivallis	s__Victivallis vadensis
Gp_NX1_29	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Instestinimonas_A	s__Instestinimonas_A gabonensis
Gp_NX1_290	d__Bacteria	p__Actinomycetota	c__Actinomycetia	o__Mycobacteriales	f__Mycobacteriaceae	g__Rhodococcus	s__Rhodococcus qingshengii
Gp_NX1_291	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Butyricicoccaceae	g__Agathobaculum	s__Agathobaculum sp900291975
Gp_NX1_42	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__UMGS1783	g__UMGS1783	s__UMGS1783 sp905209135
Gp_NX1_49	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__SFJ001	s__SFJ001 sp934513685
Gp_NX1_72	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Christensenellales	f__MARSEILLE-P3954	g__RGIG9107	s__RGIG9107 sp934613185
Gp_NX2_105	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Hungatella_A	s__Hungatella_A hathewayi_A
Gp_NX2_113	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Opitutales	f__CAG-312	g__Merdousia	s__Merdousia sp944389175
Gp_NX2_126	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Flavobacteriales	f__Flavobacteriaceae	g__Flavobacterium	s__
Gp_NX2_134	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Ruthenibacterium	s__Ruthenibacterium sp944386565
Gp_NX2_150	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__UMGS1623	s__UMGS1623 sp934647945
Gp_NX2_159	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Rikenellaceae	g__Rikenella	s__
Gp_NX2_171	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Christensenellales	f__QAND01	g__QAND01	s__QAND01 sp003150225
Gp_NX2_179	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__CAG-272	g__Flemingibacterium	s__Flemingibacterium sp900546315
Gp_NX2_184	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__UMGS1623	s__UMGS1623 sp944382025
Gp_NX2_19	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Christensenellales	f__CAG-74	g__Pullichristensenella	s__Pullichristensenella excrementigallinarum
Gp_NX2_207	d__Bacteria	p__Actinomycetota	c__Coriobacteriia	o__Coriobacteriales	f__Atopobiaceae	g__Paratractidigestivibacter	s__Paratractidigestivibacter faecalis
