ID	Domain	Phylum	Class	Order	Family	Genus	Species
Sg_K36_6	d__Bacteria	p__Bacillota	c__Bacilli	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Clostridium_AQ	s__Clostridium_AQ innocuum
Sg_K36_8	d__Bacteria	p__Actinomycetota	c__Coriobacteriia	o__Coriobacteriales	f__Eggerthellaceae	g__Adlercreutzia	s__Adlercreutzia equolifaciens
Sg_K40_15	d__Bacteria	p__Bacillota_C	c__Negativicutes	o__Acidaminococcales	f__Acidaminococcaceae	g__URXU01	s__URXU01 sp900541915
Sg_K40_2	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Verrucomicrobiales	f__Akkermansiaceae	g__Akkermansia	s__Akkermansia muciniphila
Sg_K40_29	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__CAG-95	s__CAG-95 sp000438155
Sg_K40_38	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Ruminiclostridium_E	s__Ruminiclostridium_E siraeum
Sg_K40_4	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Vescimonas	s__Vescimonas sp001916855
Sg_K40_48	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Thiopseudomonas	s__Thiopseudomonas sp012719655
Sg_K40_53	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Marinifilaceae	g__Butyricimonas	s__Butyricimonas faecalis
Sg_K40_60	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Alloprevotella	s__
Sg_K40_63	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Muribaculaceae	g__CAG-873	s__CAG-873 sp905193395
Sg_K40_64	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Prevotella	s__Prevotella sp002251385
Sg_K40_73	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__UBA1394	s__UBA1394 sp900066845
Sg_K40_76	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__RUG115	s__RUG115 sp900066395
Sg_K40_94	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Rikenellaceae	g__Alistipes	s__
Sg_K42_30	d__Bacteria	p__Bacillota_A	c__Clostridia	o__UBA1381	f__UBA1381	g__HGM11525	s__HGM11525 sp900770405
Sg_K43_13	d__Bacteria	p__Actinomycetota	c__Coriobacteriia	o__Coriobacteriales	f__Coriobacteriaceae	g__Collinsella	s__Collinsella sp900546115
Sg_K43_42	d__Bacteria	p__Bacillota_C	c__Negativicutes	o__Veillonellales	f__Dialisteraceae	g__Dialister	s__Dialister sp900541605
Sg_K46_34	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Faecalibacterium	s__Faecalibacterium prausnitzii
Sg_M01_13	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Angelakisella	s__Angelakisella sp900547385
Sg_M01_21	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Muribaculaceae	g__JAJPXC01	s__
Sg_M01_30	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Vescimonas	s__Vescimonas sp003487665
Sg_M02_13	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae_A	g__Parasutterella	s__Parasutterella gallistercoris
Sg_M02_34	d__Bacteria	p__Bacillota	c__Bacilli	o__Haloplasmatales	f__Turicibacteraceae	g__Turicibacter	s__Turicibacter bilis
Sg_M02_37	d__Bacteria	p__Actinomycetota	c__Coriobacteriia	o__Coriobacteriales	f__Coriobacteriaceae	g__Collinsella	s__
Sg_M02_43	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Cronobacter	s__Cronobacter malonaticus
Sg_M02_5	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Blautia	s__Blautia stercoris
Sg_M02_50	d__Bacteria	p__Actinomycetota	c__Actinomycetia	o__Propionibacteriales	f__Nocardioidaceae	g__Nocardioides	s__
Sg_M02_6	d__Bacteria	p__Actinomycetota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__
Sg_M02_8	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Limivivens	s__Limivivens sp900543575
Sg_M02_9	d__Bacteria	p__Actinomycetota	c__Actinomycetia	o__Actinomycetales	f__Actinomycetaceae	g__Pauljensenia	s__
Sg_M03_18	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales_A	f__Pasteurellaceae	g__Haemophilus_D	s__Haemophilus_D parainfluenzae_K
Sg_M03_27	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__UBA6398	s__UBA6398 sp003150315
Sg_M03_30	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Muribaculaceae	g__Sodaliphilus	s__Sodaliphilus sp004557565
Sg_M03_37	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Enterococcaceae	g__Enterococcus_B	s__Enterococcus_B hirae
Sg_M03_38	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Alloprevotella	s__Alloprevotella sp900540885
Sg_M03_4	d__Bacteria	p__Bacillota	c__Bacilli	o__RFN20	f__CAG-288	g__Enterosoma	s__Enterosoma sp900549915
Sg_M03_5	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__UBA4372	s__UBA4372 sp900543815
Sg_M03_6	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__CAG-791	s__CAG-791 sp000431495
Sg_M03_9	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Oribacterium	s__Oribacterium sp004554245
Sg_M04_14	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Rikenellaceae	g__Alistipes_A	s__Alistipes_A sp900545315
Sg_M04_48	d__Bacteria	p__Bacillota_A	c__Clostridia	o__TANB77	f__CAG-508	g__CAG-452	s__CAG-452 sp000434035
Sg_M04_66	d__Bacteria	p__Bacillota	c__Bacilli	o__RF39	f__UBA660	g__Faecisoma	s__Faecisoma sp000432255
Sg_M04_71	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__CAJJNI01	s__CAJJNI01 sp905193085
Sg_M07_10	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Rikenellaceae	g__Alistipes	s__Alistipes merdipullorum
Sg_M07_16	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__CAG-632	s__CAG-632 sp000431515
Sg_M07_23	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Acetatifactor	s__Acetatifactor sp003447295
Sg_M07_27	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__CAG-177	s__CAG-177 sp000431775
Sg_M07_36	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Roseburia	s__Roseburia sp900550935
Sg_M07_38	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__CAG-194	s__CAG-194 sp000432915
Sg_M07_39	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Rikenellaceae	g__Alistipes_A	s__Alistipes_A ihumii
Sg_M07_4	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__UBA6398	s__UBA6398 sp900550635
Sg_M07_44	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__UBA1794	s__UBA1794 sp944320955
Sg_M07_45	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Cronobacter	s__Cronobacter sakazakii
Sg_M07_46	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Rikenellaceae	g__Alistipes	s__Alistipes senegalensis
Sg_M07_58	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Barnesiellaceae	g__Barnesiella	s__
Sg_M07_64	d__Bacteria	p__Desulfobacterota	c__Desulfovibrionia	o__Desulfovibrionales	f__Desulfovibrionaceae	g__Bilophila	s__
Sg_M07_66	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__CAG-115	s__CAG-115 sp003531585
Sg_M08_14	d__Bacteria	p__Actinomycetota	c__Coriobacteriia	o__Coriobacteriales	f__Coriobacteriaceae	g__Collinsella	s__Collinsella stercoripullorum
Sg_M08_2	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Lawsonibacter	s__
Sg_M08_22	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__Acutalibacter	s__Acutalibacter sp019416455
Sg_M08_24	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Christensenellales	f__CAG-74	g__Limiplasma	s__Limiplasma pullistercoris
Sg_M08_25	d__Bacteria	p__Actinomycetota	c__Actinomycetia	o__Actinomycetales	f__Actinomycetaceae	g__Pauljensenia	s__Pauljensenia sp916438945
Sg_M08_27	d__Bacteria	p__Actinomycetota	c__Coriobacteriia	o__Coriobacteriales	f__Eggerthellaceae	g__Paraeggerthella	s__Paraeggerthella hongkongensis_A
Sg_M08_31	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Avimicrobium	s__Avimicrobium caecorum
Sg_M08_32	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Neobittarella	s__Neobittarella massiliensis
Sg_M08_36	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Gemmiger	s__Gemmiger sp900539695
Sg_M08_44	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Anaerotruncus	s__Anaerotruncus colihominis
Sg_M08_6	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Negativibacillus	s__Negativibacillus sp019423755
Sg_M11_22	d__Bacteria	p__Synergistota	c__Synergistia	o__Synergistales	f__Synergistaceae	g__Cloacibacillus	s__Cloacibacillus evryensis
Sg_M11_5	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Citrobacter_B	s__Citrobacter_B koseri
Sg_M11_7	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Scatomorpha	s__Scatomorpha intestinigallinarum
Sg_M11_8	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Verrucomicrobiales	f__Akkermansiaceae	g__Akkermansia	s__Akkermansia sp020860705
Sg_M12_1	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Prevotella	s__Prevotella avicola
Sg_M12_12	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Streptococcus alactolyticus
Sg_M12_17	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Agathobacter	s__Agathobacter faecis
Sg_M12_21	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Phocaeicola	s__Phocaeicola vulgatus
Sg_M12_23	d__Bacteria	p__Bacillota_C	c__Negativicutes	o__Veillonellales	f__Veillonellaceae	g__Veillonella_A	s__Veillonella_A magna
Sg_M12_39	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__Bacteroides uniformis
Sg_M12_44	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Prevotella	s__Prevotella sp905214625
Sg_M12_6	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Blautia_A	s__Blautia_A massiliensis
Sg_M14_17	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Lachnoclostridium_B	s__Lachnoclostridium_B monacensis
Sg_M14_22	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Lachnospira	s__Lachnospira sp900316325
Sg_M14_27	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Butyricicoccaceae	g__Agathobaculum	s__Agathobaculum butyriciproducens
Sg_M14_32	d__Bacteria	p__Bacillota_C	c__Negativicutes	o__Veillonellales	f__Veillonellaceae	g__Veillonella	s__Veillonella parvula_A
Sg_M14_34	d__Bacteria	p__Bacillota_C	c__Negativicutes	o__Veillonellales	f__Megasphaeraceae	g__Megasphaera	s__Megasphaera sp000417505
Sg_M14_37	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Copromonas	s__Copromonas sp900066535
Sg_M14_5	d__Bacteria	p__Bacillota_C	c__Negativicutes	o__Veillonellales	f__Dialisteraceae	g__Dialister	s__Dialister hominis
Sg_M15_10	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Dysosmobacter	s__Dysosmobacter sp001916835
Sg_M15_17	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Roseburia	s__Roseburia hominis
Sg_M15_22	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Prevotella	s__Prevotella sp900543975
Sg_M15_29	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Phocaeicola	s__Phocaeicola plebeius
Sg_M15_31	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Peptostreptococcales	f__Anaerovoracaceae	g__CAG-238	s__CAG-238 sp900542245
Sg_M15_43	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Coprobacteraceae	g__Coprobacter	s__Coprobacter fastidiosus
Sg_M16_27	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Vagococcaceae	g__Vagococcus	s__Vagococcus sp003462485
Sg_M16_4	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Leuconostoc	s__Leuconostoc sp900554745
Sg_M17_24	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Gemmiger_A	s__Gemmiger_A avium
Sg_M17_3	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Vescimonas	s__Vescimonas sp000435555
Sg_M17_33	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__CAG-103	s__CAG-103 sp900543625
Sg_M17_6	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Streptococcus anginosus_C
Sg_M18_11	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Prevotella	s__Prevotella lascolaii
Sg_M18_22	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Muribaculaceae	g__CAG-485	s__
Sg_M18_23	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Christensenellales	f__Borkfalkiaceae	g__UBA10281	s__UBA10281 sp900556195
Sg_M18_38	d__Bacteria	p__Bacillota_C	c__Negativicutes	o__Veillonellales	f__Dialisteraceae	g__Dialister	s__Dialister sp900538805
Sg_M18_67	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Muribaculaceae	g__CAG-485	s__CAG-485 sp002361235
Sg_M20_12	d__Bacteria	p__Actinomycetota	c__Coriobacteriia	o__Coriobacteriales	f__Coriobacteriaceae	g__Collinsella	s__Collinsella sp900556875
Sg_M21_28	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Fournierella	s__Fournierella excrementavium
Sg_M21_45	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Agathobacter	s__Agathobacter sp900543445
Sg_M21_53	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Faecousia	s__Faecousia sp900547405
Sg_M21_66	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Pararuminococcus	s__Pararuminococcus gallinarum
Sg_M21_8	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Prevotella	s__
Sg_OA11r1_10	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Prevotella	s__Prevotella sp900548535
Sg_OA11r1_12	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Prevotella	s__Prevotella hominis
Sg_OA11r1_2	d__Bacteria	p__Desulfobacterota	c__Desulfovibrionia	o__Desulfovibrionales	f__Desulfovibrionaceae	g__Desulfovibrio	s__Desulfovibrio sp900319575
Sg_OA11r1_30	d__Bacteria	p__Actinomycetota	c__Coriobacteriia	o__Coriobacteriales	f__Eggerthellaceae	g__Anaerotardibacter	s__Anaerotardibacter sp000435475
Sg_OA11r1_38	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Prevotella	s__Prevotella sp900544495
Sg_OA11r1_9	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Mediterraneibacter	s__Mediterraneibacter lactaris
Sg_OA13r1_14	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Ruminococcus_C	s__Ruminococcus_C callidus
Sg_OA13r1_39	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__UBA5905	s__UBA5905 sp004558485
Sg_OA13r1_52	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Coprococcus	s__Coprococcus sp000154245
Sg_OA7r2_13	d__Bacteria	p__Bacillota_A	c__Clostridia	o__TANB77	f__CAG-508	g__UMGS1901	s__UMGS1901 sp900553755
Sg_OA7r2_22	d__Bacteria	p__Bacillota	c__Bacilli	o__RFN20	f__CAG-288	g__CAG-345	s__CAG-345 sp000433315
Sg_OA7r2_26	d__Bacteria	p__Bacillota_A	c__Clostridia	o__TANB77	f__CAG-508	g__CAG-269	s__CAG-269 sp003525075
Sg_OA7r2_27	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__CAG-353	s__CAG-353 sp900066885
Sg_OA7r2_29	d__Bacteria	p__Actinomycetota	c__Coriobacteriia	o__Coriobacteriales	f__Eggerthellaceae	g__Ellagibacter	s__Ellagibacter isourolithinifaciens
Sg_OA7r2_32	d__Bacteria	p__Actinomycetota	c__Coriobacteriia	o__Coriobacteriales	f__Coriobacteriaceae	g__Collinsella	s__
Sg_OA7r2_34	d__Bacteria	p__Bacillota_A	c__Clostridia	o__TANB77	f__CAG-508	g__CAG-245	s__CAG-245 sp900552135
Sg_OA7r2_37	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Lachnospira	s__Lachnospira rogosae
Sg_OA7r2_38	d__Bacteria	p__Bacillota_A	c__Clostridia	o__TANB77	f__CAG-508	g__CAG-492	s__CAG-492 sp000434015
Sg_OA7r2_4	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__UBA932	g__Cryptobacteroides	s__Cryptobacteroides sp000431015
Sg_OA7r2_45	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__UBA3402	s__UBA3402 sp003478355
Sg_OA7r2_52	d__Bacteria	p__Bacillota_A	c__Clostridia	o__TANB77	f__CAG-508	g__CAG-269	s__CAG-269 sp000437215
Sg_OA9r1_2	d__Bacteria	p__Bacillota	c__Bacilli	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Amedibacterium	s__Amedibacterium intestinale
Sg_OA9r1_4	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Peptostreptococcales	f__Anaerovoracaceae	g__Zhenpiania	s__
Sg_OB03r2_1	d__Bacteria	p__Actinomycetota	c__Actinomycetia	o__Actinomycetales	f__Bifidobacteriaceae	g__Bifidobacterium	s__Bifidobacterium pseudocatenulatum
Sg_OB03r2_39	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Blautia_A	s__Blautia_A sp905209435
Sg_OB03r2_6	d__Bacteria	p__Bacillota_C	c__Negativicutes	o__Selenomonadales	f__Selenomonadaceae	g__Megamonas	s__Megamonas funiformis
Sg_OB05r2_19	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Faecalimonas	s__Faecalimonas sp900550235
Sg_OB05r2_32	d__Bacteria	p__Actinomycetota	c__Coriobacteriia	o__Coriobacteriales	f__Eggerthellaceae	g__Eggerthella	s__Eggerthella lenta
Sg_OB05r2_38	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Dorea_A	s__Dorea_A longicatena_B
Sg_OB05r2_8	d__Bacteria	p__Actinomycetota	c__Coriobacteriia	o__Coriobacteriales	f__Coriobacteriaceae	g__Collinsella	s__
Sg_OB18r1_5	d__Bacteria	p__Actinomycetota	c__Coriobacteriia	o__Coriobacteriales	f__QAMH01	g__CACZQA01	s__
Sg_OB24r1_1	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Lactococcus	s__Lactococcus petauri
Sg_OB24r1_10	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales_A	f__Pasteurellaceae	g__Haemophilus_D	s__Haemophilus_D parainfluenzae
Sg_OB24r1_12	d__Bacteria	p__Actinomycetota	c__Actinomycetia	o__Mycobacteriales	f__Mycobacteriaceae	g__Corynebacterium	s__Corynebacterium argentoratense
Sg_OB24r1_17	d__Bacteria	p__Actinomycetota	c__Coriobacteriia	o__Coriobacteriales	f__Eggerthellaceae	g__Slackia_A	s__
Sg_OB24r1_18	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Mediterraneibacter	s__Mediterraneibacter faecis
Sg_OG24B2A_25	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Faecalibacterium	s__Faecalibacterium prausnitzii_D
Sg_OG24B2A_35	d__Bacteria	p__Bacillota_C	c__Negativicutes	o__Acidaminococcales	f__Acidaminococcaceae	g__Phascolarctobacterium	s__Phascolarctobacterium sp900544795
Sg_OG24B2A_37	d__Bacteria	p__Bacillota_A	c__Clostridia	o__TANB77	f__CAG-508	g__CAG-269	s__CAG-269 sp900551615
Sg_OG24B2A_39	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Eubacterium_G	s__Eubacterium_G ventriosum
Sg_OG24B2A_4	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Lachnospira	s__Lachnospira sp900551945
Sg_OG24B2A_8	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Tannerellaceae	g__Parabacteroides	s__Parabacteroides johnsonii
Sg_OM15r2_23	d__Bacteria	p__Bacillota	c__Bacilli	o__Erysipelotrichales	f__Erysipelotrichaceae	g__NSJ-61	s__NSJ-61 sp003433845
Sg_OM15r2_27	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Pararoseburia	s__Pararoseburia lenta
Sg_OM17r2_41	d__Bacteria	p__Actinomycetota	c__Coriobacteriia	o__Coriobacteriales	f__Eggerthellaceae	g__Gordonibacter	s__
Sg_OM17r2_9	d__Bacteria	p__Actinomycetota	c__Actinomycetia	o__Actinomycetales	f__Bifidobacteriaceae	g__Bifidobacterium	s__Bifidobacterium animalis
Sg_OM21r1_14	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__Caccousia	s__Caccousia sp900752115
Sg_OM21r1_23	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Onthomonas	s__Onthomonas sp900545815
Sg_OM21r1_28	d__Bacteria	p__Actinomycetota	c__Coriobacteriia	o__Coriobacteriales	f__QAMH01	g__CACZQA01	s__
Sg_OM21r1_30	d__Bacteria	p__Bacillota_B	c__Peptococcia	o__Peptococcales	f__Peptococcaceae	g__UMGS1590	s__UMGS1590 sp900553245
Sg_OM21r1_55	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Vescimonas	s__Vescimonas sp900545495
Sg_OM21r1_58	d__Bacteria	p__Actinomycetota	c__Coriobacteriia	o__Coriobacteriales	f__Eggerthellaceae	g__Slackia_A	s__Slackia_A sp900555495
Sg_OM21r1_65	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Peptostreptococcales	f__Anaerovoracaceae	g__Baileyella	s__Baileyella timonense
Sg_OM21r1_67	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Eubacteriales	f__Eubacteriaceae	g__Eubacterium	s__Eubacterium maltosivorans
Sg_OM21r1_74	d__Bacteria	p__Actinomycetota	c__Coriobacteriia	o__Coriobacteriales	f__UMGS124	g__UMGS124	s__UMGS124 sp019420325
Sg_OM21r1_76	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Monoglobales	f__Monoglobaceae	g__CAJTWN01	s__CAJTWN01 sp910580105
Sg_P01_35	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Oxalobacter	s__
Sg_P02_6	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales_A	f__Aeromonadaceae	g__Aeromonas	s__Aeromonas caviae
Sg_P03_12	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__UMGS1783	g__UMGS1783	s__UMGS1783 sp900555065
Sg_P03_29	d__Bacteria	p__Bacillota_A	c__Clostridia	o__TANB77	f__CAG-508	g__CAG-269	s__CAG-269 sp000435535
Sg_P03_31	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Feifaniaceae	g__CAJFTX01	s__CAJFTX01 sp904420075
